symbol,series,ltp,change,pChange,priceBand,highPrice,lowPrice,yearHigh,yearLow,totalTradedVol,turnover
PAISALO,EQ,70.4,11.3,  19.12,20,70.92,60.1,70.92,29.86,897.46472,614.3146008399999
VOGL,EQ,38.68,6.44,  19.98,20,38.68,31.93,38.68,30.42,1655.2715,609.63649345
VISL,EQ,38.78,3.52,   9.98,10,38.78,36.25,38.78,19.06,1132.17339,427.621889403
BHARATSE,EQ,227.84,37.97,  20.00,20,227.84,190.23,239.45,100.05,129.62491,280.806442533
SETL,EQ,282.45,25.65,   9.99,10,282.45,268.25,282.45,104.56,58.055,161.0387645
CEMPRO,EQ,1363.6,64.9,   5.00,5,1363.6,1292,1363.6,503.3,8.00985,107.9887977
EBGNG,EQ,656.7,31.25,   5.00,5,656.7,642,656.7,239,8.50471,55.694794377
SIGMAADV,BE,580,24.9,   4.49,5,582.85,531.15,638.1,92.4,8.15063,45.951621814
CENTRUM,EQ,26.1,4.35,  20.00,20,26.1,21.58,41.9,19.66,156.50389,39.329427557
POWERICA,EQ,613.1,-3.65,  -0.59,5,647.55,610,676.95,365.1,4.65538,29.397328086
SUMEETINDS,EQ,29.21,0.86,   3.03,5,29.76,28.35,34.91,11.72,82.47816,24.28981812
UFBL,EQ,636.1,-1.35,  -0.21,5,669.3,615.6,728.4,172.34,2.79845,18.238338185
IDEAFORGE,BE,856.4,40.75,   5.00,5,856.4,810,992.25,366,1.47512,12.397351016
OMFREIGHT,EQ,110.3,15.02,  15.76,20,114.33,94.35,114.33,58.95,11.15786,11.96122592
UTLSOLAR,EQ,339.25,16.15,   5.00,5,339.25,328.1,365,172,3.01037,10.131701271999999
PFOCUS,BE,232.06,11.05,   5.00,5,232.06,224,367,111.1,3.8817,8.970220529999999
DBREALTY,BE,116.44,5.54,   5.00,5,116.44,108.5,252.67,83.5,7.91493,8.920917603
VELJAN,EQ,1717.9,286.3,  20.00,20,1717.9,1518,1717.9,812,0.44595,7.418244465000001
SASKEN,EQ,2269.6,108,   5.00,5,2269.6,2167.9,2780.2,991,0.31758,7.156474751999999
MSPL,EQ,42.69,2.03,   4.99,5,42.69,40.21,46.12,26.25,13.47092,5.663174768
AQYLON,EQ,42.15,0.95,   2.31,5,43.26,41.4,224.7,38.01,11.44297,4.866695140999999
VIPULLTD,EQ,14.81,0.53,   3.71,5,14.99,14.4,14.99,7.38,30.32907,4.506899802
MON100,EQ,329.91,4.19,   1.29,20,329.91,329.91,342.55,183.15,1.35035,4.454939685
DEEDEV,BE,675.55,32.15,   5.00,5,675.55,636.5,760,183,0.64611,4.251016134
SSFL,ST,292,11.55,   4.12,5,294.45,280.45,294.45,86,1.33,3.869236
EEPL,SM,113.6,18.9,  19.96,20,113.6,96.95,254.55,91,3.2,3.40672
OMAXAUTO,BE,234.05,11.14,   5.00,5,234.05,221.51,263.4,84.5,1.21605,2.82391131
UTSSAV,ST,462,22,   5.00,5,462,438,462,160.05,0.57,2.590194
ARROWGREEN,BE,627.6,29.85,   4.99,5,627.6,597.75,817.95,341.95,0.40129,2.48237994
ZEELEARN,BE,9.35,0.44,   4.94,5,9.35,9.19,10.89,4.17,18.00381,1.681555854
GAYAPROJ,BE,22.41,1.05,   4.92,5,22.42,20.9,26,7.7,6.48131,1.439498951
MAFANG,EQ,186.63,3.53,   1.93,20,186.63,186.63,208.38,132.86,0.75418,1.407526134
BHAGERIA,BE,219.02,8.01,   3.80,5,221.56,210,244.6,127.51,0.57628,1.26435832
URAVIDEF,EQ,130.15,11.83,  10.00,10,130.15,120.1,553.95,108.03,0.75751,0.96582525
STERTOOLS,BE,252.97,11.72,   4.86,5,253.31,241.25,384,155,0.37752,0.9405533279999999
SUMEET-RE,BE,2.5,0,   0.00,10,2.75,2.41,11,2.41,32.83795,0.8570704949999999
LAXMIINDIA,BE,103.5,4.75,   4.81,5,103.68,98.6,180.9,71.06,0.82134,0.8463087359999999
DIVINEHIRA,ST,355.25,16.9,   4.99,5,355.25,323.6,355.25,51,0.232,0.7984976
VIGOR,ST,108.1,4.45,   4.29,5,108.8,104.05,110.5,44.75,0.624,0.671424
GICL,EQ,18.94,0.9,   4.99,5,18.94,18.15,52.4,16.34,3.5487,0.66928482
KCEIL,ST,84.25,4,   4.98,5,84.25,81.5,388.05,74.7,0.79,0.657991
TECHERA,SM,159.75,7.6,   5.00,5,159.75,152.9,325.7,127.55,0.416,0.6574048
MGEL,BE,16.59,0.68,   4.27,5,16.7,15.84,18.4,9.53,3.87589,0.6368087269999999
DIVYADHAN,ST,55.35,2.6,   4.93,5,55.35,55.35,62.4,18.25,1.14,0.63099
PURPLEUTED,ST,465.2,22.15,   5.00,5,465.2,442,587.95,244.45,0.135,0.6246585
HITECHGEAR,BE,675.1,19.4,   2.96,5,688.45,628,897.45,521.25,0.08891,0.6007826519999999
MAHKTECH,EQ,21.34,-0.02,  -0.09,20,21.34,21.34,35.59,20.51,2.70463,0.577168042
BRANDMAN,ST,178.25,8.45,   4.98,5,178.25,176,243.8,109.35,0.304,0.5410896
SALSTEEL,BE,57.03,2.71,   4.99,5,57.03,53.2,65.5,14.37,0.94128,0.5202454559999999
HALDYNGL,BE,116.11,2.96,   2.62,5,118.8,114.02,133.7,85,0.42647,0.500889015
MODINATUR,BE,459,18.25,   4.14,5,462.75,449,524.8,252.3,0.10632,0.489837504
EPWINDIA,ST,221.4,10.5,   4.98,5,221.4,218,221.4,98,0.216,0.4778136
MOS,ST,13.65,0.65,   5.00,5,13.65,12.6,28.55,9.05,3.28,0.444768
MASPTOP50,EQ,76.83,1.08,   1.43,20,76.83,76.83,82.78,53.26,0.56065,0.43074739500000003
AVANA,ST,123.4,5.85,   4.98,5,123.4,112.6,159,60.1,0.34,0.413406
LOKESHMACH,BE,285.7,13.6,   5.00,5,285.7,276.05,300,138.96,0.14358,0.40870047000000004
STYLEBAAZA,BE,293.15,13.95,   5.00,5,293.15,293.15,427,229.95,0.13757,0.403286455
MONQ50,EQ,145.03,0.65,   0.45,20,145.03,145.03,147.03,72.18,0.27776,0.402835328
PRITIKAUTO,BE,16.26,0.77,   4.97,5,16.26,14.75,21.01,10.41,2.4549,0.38320989
BLBLIMITED,EQ,17,1.47,   9.47,10,17.08,15.52,22.47,12,2.30134,0.38156217200000003
RCOM,BE,0.93,0.03,   3.33,5,0.94,0.9,1.9,0.75,39.78805,0.362071255
GREENLEAF,ST,87.85,4.15,   4.96,5,87.85,84.95,185.9,52.5,0.33,0.288222
DSFCL,BE,24.7,1.1,   4.66,5,24.78,23.73,52.5,17.28,1.16328,0.287562816
NGIL,BE,41.54,1.95,   4.93,5,41.56,37.8,43.89,22.01,0.66642,0.268700544
