symbol,series,ltp,change,pChange,priceBand,highPrice,lowPrice,yearHigh,yearLow,totalTradedVol,turnover
CPPLUS,EQ,3150,246.5,   8.49,10,3193.8,3047.5,3193.8,1015,17.21755,541.765706545
RUBICON,EQ,1206.7,201.1,  20.00,20,1206.7,1044.3,1206.7,570.75,38.37907,435.076651241
SUDEEPPHRM,EQ,776.9,34.75,   4.68,10,816.35,755.1,816.35,524.05,17.95562,144.08307712799999
NIITLTD,EQ,81.54,13.59,  20.00,20,81.54,67.56,145.9,49,163.87343,128.607867864
E2E,EQ,4118.5,196.1,   5.00,5,4118.5,4022.7,4118.5,1833.6,2.48727,102.282760575
SIGMAADV,EQ,430,5.2,   1.22,5,446,408.8,446,79.5,15.79281,68.302323969
VIDYAWIRES,EQ,114.08,5.43,   5.00,5,114.08,109.66,117.35,42.51,58.4654,66.36407554
STLTECH,BE,562.95,26.8,   5.00,5,562.95,562.95,562.95,69.76,8.62769,48.569580855
LUXIND,EQ,1417.9,37.6,   2.72,5,1449.3,1377.6,1823.35,824.05,1.38878,19.809280163999997
DEEDEV,BE,623.05,29.65,   5.00,5,623.05,600,623.05,183,2.75517,17.118697761
RELINFRA,BE,67.28,3.2,   4.99,5,67.28,64.11,423.4,64.08,24.01763,15.729145887
SWANDEF,BE,2140,79.8,   3.87,5,2163.2,2094.5,2489,170.59,0.45691,9.843943186
MON100,EQ,335.83,-0.27,  -0.08,20,335.83,335.83,336.1,177.2,2.28292,7.666730236
IBULLSLTD,BE,22.08,1.05,   4.99,5,22.08,22.08,22.78,8.9,33.80379,7.4638768319999995
MODISONLTD,BE,298.8,14.2,   4.99,5,298.8,284,300.95,114,2.52247,7.423881456999999
BHAGYANGR,BE,307.85,14.65,   5.00,5,307.85,292.9,351.9,70.21,2.37184,7.2146629120000005
ANTELOPUS,EQ,813.55,38.7,   4.99,5,813.55,780.6,813.55,357,0.86811,7.018235295
SIGACHI,BE,22.36,1.06,   4.98,5,22.36,22.01,59.59,16.65,27.77531,6.188339068
LAMBODHARA,EQ,119.77,18.95,  18.80,20,120.98,103.05,162,81.8,5.03571,5.8384021740000005
JAIBALAJI,BE,70.7,-1.67,  -2.31,5,75.98,70,139,53.65,6.85689,4.968502494
VENUSREM,EQ,1344.1,64,   5.00,5,1344.1,1344.1,1344.1,397.2,0.35292,4.74359772
UHTL,SM,81.9,13.65,  20.00,20,81.9,77,98,44,5.54,4.507344
COFFEEDAY,EQ,38.25,3.47,   9.98,10,38.25,38.25,51.46,21,10.6956,4.091067
OMAXAUTO,BE,258.24,12.29,   5.00,5,258.24,250,263.4,83.65,1.49361,3.8470912770000005
TERASOFT,EQ,414.15,19.7,   4.99,5,414.15,399,598,252.4,0.87676,3.5879649479999998
BIRLACABLE,BE,203.6,9.69,   5.00,5,203.6,195,215.2,104,1.73783,3.5255357210000002
GAYAPROJ,BE,19.65,0.93,   4.97,5,19.65,18.72,20.7,6.71,17.09243,3.334733093
IZMO,EQ,788.4,37.5,   4.99,5,788.4,788.4,1374.7,295,0.40905,3.2249502
MAFANG,EQ,201.4,2.31,   1.16,20,201.4,201.4,201.4,129.58,1.58692,3.19605688
SILVERTUC,EQ,176.72,8.41,   5.00,5,176.72,172.02,176.72,66.19,1.47408,2.59954008
KSHITIJPOL,BE,4.97,0.23,   4.85,5,4.97,4.96,4.97,1.88,46.71692,2.317159232
WAAREEINDO,EQ,408.15,19.4,   4.99,5,408.15,390.6,725,165.07,0.52738,2.113369874
ESSENTIA,BE,1.73,0.08,   4.85,5,1.73,1.58,2.3,0.95,116.92085,1.9759623649999998
BROOKS,BE,68.55,3.26,   4.99,5,68.55,67.5,164.02,36.3,1.68333,1.1490410580000001
KRITI,BE,74.7,2.97,   4.14,5,75.31,70.65,177.51,53,1.50149,1.12461601
PRIZOR,ST,691.65,32.9,   4.99,5,691.65,691.65,739,177,0.156,1.078974
YAAP,ST,204.95,5,   2.50,5,209.9,197.1,214.4,127,0.52,1.073696
SOFTTECH,BE,471.55,12.25,   2.67,5,482.25,460,482.25,215,0.20997,1.009619748
DHARAN,BZ,0.14,0.01,   7.69,5,0.14,0.13,0.67,0.11,642.64471,0.8354381230000001
SCPL,BE,446,20.95,   4.93,5,446.3,445,480,190.03,0.18115,0.8082913
E2ERAIL,ST,250.3,6.45,   2.65,5,256,244,347.1,171,0.312,0.7896408
MAHKTECH,EQ,24.09,-0.18,  -0.74,20,24.09,24.09,35.59,20.51,3.24151,0.780879759
CUDML,ST,163.95,7.3,   4.66,5,164.45,157,166.5,84.95,0.47,0.766429
SUPREMEINF,EQ,86.98,3.6,   4.32,5,87.54,83.47,130.25,58.11,0.88768,0.764913856
LANCORHOL,EQ,24.1,-0.48,  -1.95,5,25.8,23.41,33.8,18.12,2.96234,0.731105512
SOMATEX,EQ,106.95,0.11,   0.10,10,117.52,105.41,161.25,41.51,0.62809,0.703837654
GENSOL,BZ,19.81,0.94,   4.98,5,19.81,18.2,138.48,18.16,3.42517,0.665853048
MODINATUR,BE,472,9.35,   2.02,5,485.75,457,524.8,252.3,0.13328,0.637824768
MBLINFRA,EQ,27.6,1.31,   4.98,5,27.6,27.01,52.48,18.37,2.08437,0.5727848759999999
KORE,SM,124.6,-2.9,  -2.27,5,133.85,124.6,212.3,85,0.415,0.5196215
HITECHCORP,EQ,266.39,24.21,  10.00,10,266.39,266.39,266.39,112,0.19199,0.5114421610000001
IEML,SM,39.9,1.9,   5.00,5,39.9,37.9,173.57,37.9,1.235,0.488813
