symbol,shortName,price,changePct,volume
PSNY,Polestar Automotive Holding UK ,19.13,-17.11,316473
RDW,Redwire Corporation,20.68,-15.83,56318133
NUVL,"Nuvalent, Inc.",93.01,-15.74,2941821
RKLB,Rocket Lab Corporation,122.39,-14.7,36660305
PLBL,Polibeli Group Ltd,6.17,-14.31,27357
ALHC,"Alignment Healthcare, Inc.",13.3,-13.19,12707216
LUNR,"Intuitive Machines, Inc.",38.21,-12.82,15896717
SOC,Sable Offshore Corp.,13.02,-11.13,10689790
WOLF,"Wolfspeed, Inc.",52.95,-10.68,11467429
SMMT,Summit Therapeutics Inc.,15.71,-10.43,19211616
GRAL,"GRAIL, Inc.",64.4,-10.16,2595976
CBRS,Cerebras Systems Inc.,213.28,-10.0,5667037
CBOE,"Cboe Global Markets, Inc.",300.99,-9.76,2828735
VSAT,"ViaSat, Inc.",72.86,-9.63,4215975
PL,Planet Labs PBC,46.46,-9.15,13466137
