symbol,shortName,price,changePct,volume
STDN,"Standard Nuclear, Inc.",16.11,14.26,1836511
ASST,"Strive, Inc.",24.22,11.41,14946050
CRCL,"Circle Internet Group, Inc.",95.55,9.65,19713591
CHA,Chagee Holdings Limited,11.63,7.69,3992975
RBLX,Roblox Corporation,41.29,7.16,19515477
XE,"X-Energy, Inc.",18.45,7.14,8284727
CAR,"Avis Budget Group, Inc.",147.49,6.78,844979
BMNR,"BitMine Immersion Technologies,",25.32,6.39,41181680
EGIEY,Engie Brasil Energia S A,5.79,6.24,27850
ASND,Ascendis Pharma A/S,263.04,6.1,973381
GLXY,Galaxy Digital Inc.,24.6,5.99,5757962
HNGE,"Hinge Health, Inc.",92.56,5.96,2000547
PLSE,"Pulse Biosciences, Inc",50.33,5.8,657263
CRWD,"CrowdStrike Holdings, Inc.",231.0,5.77,17747398
PURR,Hyperliquid Strategies Inc,12.25,5.51,40334050
