changeInOI,expiryDate,instrument,latestOI,ltp,optionType,pChange,premTurnover,prevClose,prevOI,strikePrice,symbol,turnover,type,underlyingValue,volume,identifier,instrumentType,pChangeInOI
38393,07-Jul-2026,Index Options,100363,32.55,Call,19.01,23135.86908,27.35,61970,24400,NIFTY,23135.86908,RR,24175.7,1165858,OPTIDXNIFTY07-07-2026CE24400,OPTIDX,61.95
19283,07-Jul-2026,Index Options,118133,107.4,Call,44.06,163481.59963,74.55,98850,24200,NIFTY,163481.59963,RR,24175.7,2617716,OPTIDXNIFTY07-07-2026CE24200,OPTIDX,19.51
17709,07-Jul-2026,Index Options,47438,135,Call,45.16,158245.29437,93,29729,24150,NIFTY,158245.29437,RR,24175.7,2037104,OPTIDXNIFTY07-07-2026CE24150,OPTIDX,59.57
12017,07-Jul-2026,Index Options,32432,46,Call,28.13,20290.78291,35.9,20415,24350,NIFTY,20290.78291,RR,24175.7,744138,OPTIDXNIFTY07-07-2026CE24350,OPTIDX,58.86
9356,07-Jul-2026,Index Options,76542,63,Call,36.51,52310.46024,46.15,67186,24300,NIFTY,52310.46024,RR,24175.7,1424635,OPTIDXNIFTY07-07-2026CE24300,OPTIDX,13.93
7666,07-Jul-2026,Index Options,31766,22.8,Call,8.57,9004.12919,21,24100,24450,NIFTY,9004.12919,RR,24175.7,627094,OPTIDXNIFTY07-07-2026CE24450,OPTIDX,31.81
7237,28-Jul-2026,Index Options,111154,52,Call,7,2578.07386,48.6,103917,25000,NIFTY,2578.07386,RR,24175.7,72219,OPTIDXNIFTY28-07-2026CE25000,OPTIDX,6.96
6718,07-Jul-2026,Index Options,32561,83.6,Call,41.22,49351.46481,59.2,25843,24250,NIFTY,49351.46481,RR,24175.7,1015316,OPTIDXNIFTY07-07-2026CE24250,OPTIDX,26
5440,28-Jul-2026,Index Options,20598,112.65,Call,11.31,1967.04612,101.2,15158,24700,NIFTY,1967.04612,RR,24175.7,25945,OPTIDXNIFTY28-07-2026CE24700,OPTIDX,35.89
5257,14-Jul-2026,Index Options,11377,29.5,Call,6.12,718.38538,27.8,6120,24700,NIFTY,718.38538,RR,24175.7,36828,OPTIDXNIFTY14-07-2026CE24700,OPTIDX,85.9
4696,28-Jul-2026,Stock Futures,164558,1404.6,-,1.28,191762.17172,1386.9,159862,0,ICICIBANK,191762.17172,RR,1401,19574,FUTSTKICICIBANK28-07-2026XX0,FUTSTK,2.94
3837,28-Jul-2026,Stock Options,6357,32.75,Call,100.31,1238.07144,16.35,2520,1060,INFY,1238.07144,RR,1042.6,10662,OPTSTKINFY28-07-2026CE1060,OPTSTK,152.26
3712,14-Jul-2026,Index Options,13157,196.65,Call,28.82,6550.18761,152.65,9445,24200,NIFTY,6550.18761,RR,24175.7,54836,OPTIDXNIFTY14-07-2026CE24200,OPTIDX,39.3
3689,14-Jul-2026,Index Options,21663,72.7,Call,20.36,2729.56918,60.4,17974,24500,NIFTY,2729.56918,RR,24175.7,60370,OPTIDXNIFTY14-07-2026CE24500,OPTIDX,20.52
3639,14-Jul-2026,Index Options,8209,105.2,Call,26.21,2251.49048,83.35,4570,24400,NIFTY,2251.49048,RR,24175.7,34753,OPTIDXNIFTY14-07-2026CE24400,OPTIDX,79.63
3613,14-Jul-2026,Index Options,11587,48.95,Call,19.83,1191.39318,40.85,7974,24600,NIFTY,1191.39318,RR,24175.7,39409,OPTIDXNIFTY14-07-2026CE24600,OPTIDX,45.31
3541,28-Jul-2026,Stock Futures,62001,2223,-,1.24,61916.21667,2195.7,58460,0,HINDUNILVR,61916.21667,RR,2209,9317,FUTSTKHINDUNILVR28-07-2026XX0,FUTSTK,6.06
3141,28-Jul-2026,Stock Futures,103711,1027.9,-,0.98,71363.84512,1017.9,100570,0,BAJFINANCE,71363.84512,RR,1020,9315,FUTSTKBAJFINANCE28-07-2026XX0,FUTSTK,3.12
3037,28-Jul-2026,Stock Futures,97419,1051.5,-,0.06,103672.57387,1050.9,94382,0,SBIN,103672.57387,RR,1049,13103,FUTSTKSBIN28-07-2026XX0,FUTSTK,3.22
3000,28-Jul-2026,Index Options,14150,145,Call,14.08,1391.04732,127.1,11150,24600,NIFTY,1391.04732,RR,24175.7,14610,OPTIDXNIFTY28-07-2026CE24600,OPTIDX,26.91
2954,28-Jul-2026,Index Futures,18292,14644,-,0.26,91769.50976,14605.3,15338,0,MIDCPNIFTY,91769.50976,RR,14573.3,5223,FUTIDXMIDCPNIFTY28-07-2026XX0,FUTIDX,19.26
2911,14-Jul-2026,Index Options,8419,255.05,Call,29.73,8264.77821,196.6,5508,24100,NIFTY,8264.77821,RR,24175.7,53923,OPTIDXNIFTY14-07-2026CE24100,OPTIDX,52.85
2812,28-Jul-2026,Index Options,21241,86.4,Call,8.07,1242.32282,79.95,18429,24800,NIFTY,1242.32282,RR,24175.7,20996,OPTIDXNIFTY28-07-2026CE24800,OPTIDX,15.26
2737,28-Jul-2026,Stock Futures,40313,7300,-,1.65,57787.15551,7181.5,37576,0,EICHERMOT,57787.15551,RR,7258,7957,FUTSTKEICHERMOT28-07-2026XX0,FUTSTK,7.28
2347,14-Jul-2026,Index Options,14107,148,Call,30.45,3670.62883,113.45,11760,24300,NIFTY,3670.62883,RR,24175.7,41256,OPTIDXNIFTY14-07-2026CE24300,OPTIDX,19.96
