changeInOI,expiryDate,instrument,latestOI,ltp,optionType,pChange,premTurnover,prevClose,prevOI,strikePrice,symbol,turnover,type,underlyingValue,volume,identifier,instrumentType,pChangeInOI
320215,02-Jun-2026,Index Options,347385,0.05,Put,-99.95,328733.83656,100.7,27170,23450,NIFTY,328733.83656,RS,23483.55,30932377,OPTIDXNIFTY02-06-2026PE23450,OPTIDX,1178.56
301246,02-Jun-2026,Index Options,437993,0.05,Call,-99.92,460192.60462,60.8,136747,23500,NIFTY,460192.60462,RS,23483.55,48129750,OPTIDXNIFTY02-06-2026CE23500,OPTIDX,220.29
174409,02-Jun-2026,Index Options,238877,16.4,Put,-87.44,604258.83202,130.6,64468,23500,NIFTY,604258.83202,RS,23483.55,28951385,OPTIDXNIFTY02-06-2026PE23500,OPTIDX,270.54
131822,02-Jun-2026,Index Options,247192,0.05,Put,-99.93,429866.23737,76.2,115370,23400,NIFTY,429866.23737,RS,23483.55,28359034,OPTIDXNIFTY02-06-2026PE23400,OPTIDX,114.26
120395,02-Jun-2026,Index Options,182932,0.05,Put,-99.91,401840.45122,55.5,62537,23350,NIFTY,401840.45122,RS,23483.55,20745506,OPTIDXNIFTY02-06-2026PE23350,OPTIDX,192.52
107599,02-Jun-2026,Index Options,212042,0.05,Put,-99.87,549690.29823,38.85,104443,23300,NIFTY,549690.29823,RS,23483.55,29882593,OPTIDXNIFTY02-06-2026PE23300,OPTIDX,103.02
90840,02-Jun-2026,Index Options,178411,0.1,Call,-99.78,210879.10006,45.15,87571,23550,NIFTY,210879.10006,RS,23483.55,27013271,OPTIDXNIFTY02-06-2026CE23550,OPTIDX,103.73
78132,02-Jun-2026,Index Options,149624,0.05,Put,-99.81,259140.75624,26.4,71492,23250,NIFTY,259140.75624,RS,23483.55,22260083,OPTIDXNIFTY02-06-2026PE23250,OPTIDX,109.29
62634,02-Jun-2026,Index Options,112616,33.55,Call,-58.83,511104.62842,81.5,49982,23450,NIFTY,511104.62842,RS,23483.55,28163138,OPTIDXNIFTY02-06-2026CE23450,OPTIDX,125.31
61447,02-Jun-2026,Index Options,76215,66.2,Put,-59.87,322246.98702,164.95,14768,23550,NIFTY,322246.98702,RS,23483.55,9387703,OPTIDXNIFTY02-06-2026PE23550,OPTIDX,416.08
51832,02-Jun-2026,Index Options,103568,0.05,Put,-96.97,555.14494,1.65,51736,22700,NIFTY,555.14494,RS,23483.55,1552853,OPTIDXNIFTY02-06-2026PE22700,OPTIDX,100.19
51447,09-Jun-2026,Index Options,77093,75.85,Put,-49.09,48282.17966,149,25646,23300,NIFTY,48282.17966,RS,23483.55,563156,OPTIDXNIFTY09-06-2026PE23300,OPTIDX,200.6
43583,02-Jun-2026,Index Options,52279,0.05,Put,-92.31,108.51504,0.65,8696,22300,NIFTY,108.51504,RS,23483.55,451206,OPTIDXNIFTY02-06-2026PE22300,OPTIDX,501.18
42734,02-Jun-2026,Index Options,81556,0.05,Put,-99.59,34319.99285,12.25,38822,23150,NIFTY,34319.99285,RS,23483.55,9599998,OPTIDXNIFTY02-06-2026PE23150,OPTIDX,110.08
42004,02-Jun-2026,Index Options,118949,0.05,Put,-95,472.84789,1,76945,22500,NIFTY,472.84789,RS,23483.55,1616574,OPTIDXNIFTY02-06-2026PE22500,OPTIDX,54.59
37448,02-Jun-2026,Index Options,178514,0.05,Put,-99.72,129185.54194,17.7,141066,23200,NIFTY,129185.54194,RS,23483.55,19580984,OPTIDXNIFTY02-06-2026PE23200,OPTIDX,26.55
34069,09-Jun-2026,Index Options,67766,1.65,Put,-45,111.47572,3,33697,21100,NIFTY,111.47572,RS,23483.55,76563,OPTIDXNIFTY09-06-2026PE21100,OPTIDX,101.1
33957,02-Jun-2026,Index Options,67244,0.05,Put,-95.83,373.40225,1.2,33287,22600,NIFTY,373.40225,RS,23483.55,1148930,OPTIDXNIFTY02-06-2026PE22600,OPTIDX,102.01
32394,02-Jun-2026,Index Options,37339,0.05,Put,-95.24,165.67278,1.05,4945,22550,NIFTY,165.67278,RS,23483.55,592747,OPTIDXNIFTY02-06-2026PE22550,OPTIDX,655.09
31876,09-Jun-2026,Index Options,68087,27.45,Put,-59.66,13345.30626,68.05,36211,23000,NIFTY,13345.30626,RS,23483.55,409315,OPTIDXNIFTY09-06-2026PE23000,OPTIDX,88.03
29579,09-Jun-2026,Index Options,62711,141,Put,-40.39,50948.1089,236.55,33132,23500,NIFTY,50948.1089,RS,23483.55,445300,OPTIDXNIFTY09-06-2026PE23500,OPTIDX,89.28
28775,02-Jun-2026,Index Options,46617,0.05,Put,-97.22,538.41723,1.8,17842,22750,NIFTY,538.41723,RS,23483.55,1380557,OPTIDXNIFTY02-06-2026PE22750,OPTIDX,161.28
24414,02-Jun-2026,Index Options,52770,0.05,Put,-99.17,5744.27521,6.05,28356,23050,NIFTY,5744.27521,RS,23483.55,4374924,OPTIDXNIFTY02-06-2026PE23050,OPTIDX,86.1
23907,09-Jun-2026,Index Options,45536,103.95,Put,-45.15,33636.81685,189.5,21629,23400,NIFTY,33636.81685,RS,23483.55,339115,OPTIDXNIFTY09-06-2026PE23400,OPTIDX,110.53
23850,02-Jun-2026,Index Options,97797,0.05,Put,-97.56,1025.47988,2.05,73947,22800,NIFTY,1025.47988,RS,23483.55,2390396,OPTIDXNIFTY02-06-2026PE22800,OPTIDX,32.25
