changeInOI,expiryDate,instrument,latestOI,ltp,optionType,pChange,premTurnover,prevClose,prevOI,strikePrice,symbol,turnover,type,underlyingValue,volume,identifier,instrumentType,pChangeInOI
75883,04-Aug-2026,Index Options,180957,9.45,Call,200,17793.68905,3.15,105074,24800,NIFTY,17793.68905,RR,24774.3,3888481,OPTIDXNIFTY04-08-2026CE24800,OPTIDX,72.22
58671,04-Aug-2026,Index Options,243826,51.1,Call,242.95,378905.90037,14.9,185155,24600,NIFTY,378905.90037,RR,24774.3,11372067,OPTIDXNIFTY04-08-2026CE24600,OPTIDX,31.69
38417,04-Aug-2026,Index Options,119114,31.45,Call,241.85,119587.00638,9.2,80697,24650,NIFTY,119587.00638,RR,24774.3,5736826,OPTIDXNIFTY04-08-2026CE24650,OPTIDX,47.61
36987,11-Aug-2026,Index Options,52825,1.15,Call,15,59.89495,1,15838,26000,NIFTY,59.89495,RR,24774.3,88602,OPTIDXNIFTY11-08-2026CE26000,OPTIDX,233.53
35734,04-Aug-2026,Index Options,95707,13.6,Call,227.71,25977.68156,4.15,59973,24750,NIFTY,25977.68156,RR,24774.3,3490451,OPTIDXNIFTY04-08-2026CE24750,OPTIDX,59.58
33053,04-Aug-2026,Index Options,66803,6.55,Call,178.72,4720.9488,2.35,33750,24850,NIFTY,4720.9488,RR,24774.3,1606858,OPTIDXNIFTY04-08-2026CE24850,OPTIDX,97.93
30130,04-Aug-2026,Index Options,79354,78.35,Call,225.78,331480.98587,24.05,49224,24550,NIFTY,331480.98587,RR,24774.3,6644570,OPTIDXNIFTY04-08-2026CE24550,OPTIDX,61.21
28789,11-Aug-2026,Index Options,44757,148,Call,81.26,24743.63788,81.65,15968,24600,NIFTY,24743.63788,RR,24774.3,257541,OPTIDXNIFTY11-08-2026CE24600,OPTIDX,180.29
28207,04-Aug-2026,Index Options,86214,4.85,Call,148.72,3802.21913,1.95,58007,24900,NIFTY,3802.21913,RR,24774.3,1880890,OPTIDXNIFTY04-08-2026CE24900,OPTIDX,48.63
26499,04-Aug-2026,Index Options,44871,2.7,Call,107.69,508.57411,1.3,18372,25050,NIFTY,508.57411,RR,24774.3,468516,OPTIDXNIFTY04-08-2026CE25050,OPTIDX,144.24
24707,11-Aug-2026,Index Options,54745,25.1,Call,119.21,4005.14017,11.45,30038,25000,NIFTY,4005.14017,RR,24774.3,253779,OPTIDXNIFTY11-08-2026CE25000,OPTIDX,82.25
24596,04-Aug-2026,Index Options,77670,2.15,Call,104.76,540.19036,1.05,53074,25100,NIFTY,540.19036,RR,24774.3,585255,OPTIDXNIFTY04-08-2026CE25100,OPTIDX,46.34
24090,11-Aug-2026,Index Options,33339,4.6,Call,109.09,187.00428,2.2,9249,25500,NIFTY,187.00428,RR,24774.3,75910,OPTIDXNIFTY11-08-2026CE25500,OPTIDX,260.46
18870,04-Aug-2026,Index Options,160356,20.5,Call,244.54,74418.12627,5.95,141486,24700,NIFTY,74418.12627,RR,24774.3,5922888,OPTIDXNIFTY04-08-2026CE24700,OPTIDX,13.34
18595,11-Aug-2026,Index Options,25800,8.3,Call,172.13,399.66154,3.05,7205,25300,NIFTY,399.66154,RR,24774.3,90156,OPTIDXNIFTY11-08-2026CE25300,OPTIDX,258.08
18014,04-Aug-2026,Index Options,39329,3.95,Call,132.35,1494.14014,1.7,21315,24950,NIFTY,1494.14014,RR,24774.3,904991,OPTIDXNIFTY04-08-2026CE24950,OPTIDX,84.51
17897,11-Aug-2026,Index Options,20304,1.5,Call,30.43,48.02603,1.15,2407,25800,NIFTY,48.02603,RR,24774.3,50956,OPTIDXNIFTY11-08-2026CE25800,OPTIDX,743.54
17415,11-Aug-2026,Index Options,37086,102,Call,93.36,9830.63588,52.75,19671,24700,NIFTY,9830.63588,RR,24774.3,150638,OPTIDXNIFTY11-08-2026CE24700,OPTIDX,88.53
15991,11-Aug-2026,Index Options,25213,11.3,Call,159.77,631.47113,4.35,9222,25200,NIFTY,631.47113,RR,24774.3,102155,OPTIDXNIFTY11-08-2026CE25200,OPTIDX,173.4
15501,04-Aug-2026,Index Options,183191,3.35,Call,116.13,2636.03945,1.55,167690,25000,NIFTY,2636.03945,RR,24774.3,1922012,OPTIDXNIFTY04-08-2026CE25000,OPTIDX,9.24
11671,11-Aug-2026,Index Options,13936,1.15,Call,15,26.026,1,2265,25900,NIFTY,26.026,RR,24774.3,35750,OPTIDXNIFTY11-08-2026CE25900,OPTIDX,515.28
11394,25-Aug-2026,Index Options,44301,258.05,Call,38.55,7537.39212,186.25,32907,59000,BANKNIFTY,7537.39212,RR,58247.95,92062,OPTIDXBANKNIFTY25-08-2026CE59000,OPTIDX,34.62
9801,11-Aug-2026,Index Options,10723,2.1,Call,40,37.07926,1.5,922,25700,NIFTY,37.07926,RR,24774.3,28101,OPTIDXNIFTY11-08-2026CE25700,OPTIDX,1063.02
9013,04-Aug-2026,Index Options,71943,1.5,Call,76.47,341.7557,0.85,62930,25200,NIFTY,341.7557,RR,24774.3,477980,OPTIDXNIFTY04-08-2026CE25200,OPTIDX,14.32
8829,25-Aug-2026,Index Options,23908,279.7,Call,45.26,10807.5188,192.55,15079,24600,NIFTY,10807.5188,RR,24774.3,60860,OPTIDXNIFTY25-08-2026CE24600,OPTIDX,58.55
