changeInOI,expiryDate,instrument,latestOI,ltp,optionType,pChange,premTurnover,prevClose,prevOI,strikePrice,symbol,turnover,type,underlyingValue,volume,identifier,instrumentType,pChangeInOI
167289,04-Aug-2026,Index Options,178705,59.6,Put,-74.35,358536.17907,232.4,11416,24600,NIFTY,358536.17907,RS,24774.3,7655713,OPTIDXNIFTY04-08-2026PE24600,OPTIDX,1465.39
163395,04-Aug-2026,Index Options,194914,22.95,Put,-85.15,149165.66416,154.5,31519,24500,NIFTY,149165.66416,RS,24774.3,6831963,OPTIDXNIFTY04-08-2026PE24500,OPTIDX,518.4
122440,04-Aug-2026,Index Options,127470,38.4,Put,-79.9,234851.9839,191,5030,24550,NIFTY,234851.9839,RS,24774.3,7256693,OPTIDXNIFTY04-08-2026PE24550,OPTIDX,2434.19
78669,04-Aug-2026,Index Options,172309,9.7,Put,-89.74,33631.04316,94.55,93640,24400,NIFTY,33631.04316,RS,24774.3,3386130,OPTIDXNIFTY04-08-2026PE24400,OPTIDX,84.01
65145,04-Aug-2026,Index Options,87466,14.45,Put,-88.15,40214.25604,121.95,22321,24450,NIFTY,40214.25604,RS,24774.3,2804537,OPTIDXNIFTY04-08-2026PE24450,OPTIDX,291.86
48617,04-Aug-2026,Index Options,230383,4.2,Put,-86.05,6835.84137,30.1,181766,24200,NIFTY,6835.84137,RS,24774.3,1851528,OPTIDXNIFTY04-08-2026PE24200,OPTIDX,26.75
35889,11-Aug-2026,Index Options,38547,141.15,Put,-49.59,19540.15155,280,2658,24600,NIFTY,19540.15155,RS,24774.3,201311,OPTIDXNIFTY11-08-2026PE24600,OPTIDX,1350.23
29192,11-Aug-2026,Index Options,39942,100,Put,-54.23,13614.55538,218.5,10750,24500,NIFTY,13614.55538,RS,24774.3,193117,OPTIDXNIFTY11-08-2026PE24500,OPTIDX,271.55
27507,04-Aug-2026,Index Options,144075,1.8,Put,-46.27,1166.18706,3.35,116568,23500,NIFTY,1166.18706,RS,24774.3,1013635,OPTIDXNIFTY04-08-2026PE23500,OPTIDX,23.6
25859,04-Aug-2026,Index Options,177457,5.75,Put,-89.31,11123.24929,53.8,151598,24300,NIFTY,11123.24929,RS,24774.3,1985231,OPTIDXNIFTY04-08-2026PE24300,OPTIDX,17.06
23957,04-Aug-2026,Index Options,25596,91.55,Put,-66.99,139955.9435,277.3,1639,24650,NIFTY,139955.9435,RS,24774.3,2096153,OPTIDXNIFTY04-08-2026PE24650,OPTIDX,1461.68
22679,04-Aug-2026,Index Options,25811,128.45,Put,-60.34,145445.9786,323.85,3132,24700,NIFTY,145445.9786,RS,24774.3,1591600,OPTIDXNIFTY04-08-2026PE24700,OPTIDX,724.11
21118,11-Aug-2026,Index Options,48675,20,Put,-59.64,1578.5169,49.55,27557,24000,NIFTY,1578.5169,RS,24774.3,117945,OPTIDXNIFTY11-08-2026PE24000,OPTIDX,76.63
18725,25-Aug-2026,Index Options,67361,188.3,Put,-34.9,11482.26105,289.25,48636,24500,NIFTY,11482.26105,RS,24774.3,92487,OPTIDXNIFTY25-08-2026PE24500,OPTIDX,38.5
18549,11-Aug-2026,Index Options,26696,6.15,Put,-27.65,250.62224,8.5,8147,23200,NIFTY,250.62224,RS,24774.3,62089,OPTIDXNIFTY11-08-2026PE23200,OPTIDX,227.68
17453,25-Aug-2026,Index Options,21632,224.2,Put,-33.73,9411.85888,338.3,4179,24600,NIFTY,9411.85888,RS,24774.3,63134,OPTIDXNIFTY25-08-2026PE24600,OPTIDX,417.64
15781,04-Aug-2026,Index Options,20941,0.5,Call,-23.08,55.19241,0.65,5160,25600,NIFTY,55.19241,RS,24774.3,121302,OPTIDXNIFTY04-08-2026CE25600,OPTIDX,305.83
15325,11-Aug-2026,Index Options,43012,34.45,Put,-62.74,2952.11673,92.45,27687,24200,NIFTY,2952.11673,RS,24774.3,118459,OPTIDXNIFTY11-08-2026PE24200,OPTIDX,55.35
14880,11-Aug-2026,Index Options,33217,48.3,Put,-61.34,4329.94598,124.95,18337,24300,NIFTY,4329.94598,RS,24774.3,123911,OPTIDXNIFTY11-08-2026PE24300,OPTIDX,81.15
14792,11-Aug-2026,Index Options,35216,68.15,Put,-58.95,6071.77061,166,20424,24400,NIFTY,6071.77061,RS,24774.3,122878,OPTIDXNIFTY11-08-2026PE24400,OPTIDX,72.42
14640,11-Aug-2026,Index Options,32233,3.15,Put,-30,139.11674,4.5,17593,22500,NIFTY,139.11674,RS,24774.3,64272,OPTIDXNIFTY11-08-2026PE22500,OPTIDX,83.21
14024,04-Aug-2026,Index Options,103041,7.5,Put,-89.6,12534.64534,72.15,89017,24350,NIFTY,12534.64534,RS,24774.3,1720256,OPTIDXNIFTY04-08-2026PE24350,OPTIDX,15.75
10635,11-Aug-2026,Index Options,21259,15.25,Put,-58.1,662.40175,36.4,10624,23900,NIFTY,662.40175,RS,24774.3,66217,OPTIDXNIFTY11-08-2026PE23900,OPTIDX,100.1
10557,11-Aug-2026,Index Options,22006,6.4,Put,-34.02,266.78423,9.7,11449,23300,NIFTY,266.78423,RS,24774.3,61168,OPTIDXNIFTY11-08-2026PE23300,OPTIDX,92.21
9664,11-Aug-2026,Index Options,23658,25.4,Put,-62.67,1359.02612,68.05,13994,24100,NIFTY,1359.02612,RS,24774.3,75047,OPTIDXNIFTY11-08-2026PE24100,OPTIDX,69.06
