symbol,identifier,lastPrice,pChange,quantityTraded,totalTradedVolume,totalTradedValue,previousClose,exDate,purpose,yearHigh,yearLow,change,open,closePrice,dayHigh,dayLow,lastUpdateTime
SWIGGY,SWIGGYEQN,276.1,2.53,184369387,184369387,51118256239.62,269.3,-,,474,235.75,6.8,269.3,276.1,284.4,269.3,2026-09-04 16:00:00
IFCI,IFCIEQN,102.17,6.53,407352536,407352536,41969531784.08,95.91,19-Sep-2024,,107.5,46.23,6.26,96.5,101.38,107.5,96.41,2026-09-04 16:00:00
BSE,BSEEQN,3409.8,3.14,7975058,7975058,27395759740.44,3306.1,10-Jul-2026,,4446.8,2021.5,103.7,3400,3409.8,3474,3391.7,2026-09-04 16:00:00
RELIANCE,RELIANCEEQN,1322,1.5,13031534,13031534,17283462913.52,1302.5,05-Jun-2026,,1611.8,1249.8,19.5,1304.1,1322,1333,1304.1,2026-09-04 16:00:00
LUMINO,LUMINOEQN,114.95,4.2,139069849,139069849,16226669981.32,110.32,-,,122,106.54,4.63,112.4,114.5,122,111.22,2026-09-04 16:00:00
TEJASNET,TEJASNETEQN,612,7.85,26085952,26085952,15898344305.92,567.45,19-Jun-2025,,644.75,294,44.55,570,614.15,622.8,570,2026-09-04 16:00:00
NIACL,NIACLEQN,231,18.26,66928665,66928665,14929777301.55,195.33,10-Jul-2026,,234.39,116.97,35.67,196.49,229.91,234.39,196.49,2026-09-04 16:00:00
ESDS,ESDSEQN,908.4,20,15790052,15790052,13115848793.28,429,-,,908.4,756,151.4,757,908.4,908.4,756,2026-09-04 16:00:00
POLYCAB,POLYCABEQN,8300,-5.76,1559741,1559741,13025475078.05,8807.5,19-Jun-2026,,10126,6663,-507.5,8500,8300,8500,8250,2026-09-04 16:00:00
PCJEWELLER,PCJEWELLEREQN,11.99,13.97,1088942848,1088942848,12424837895.68,10.52,16-Dec-2024,,15.38,7.47,1.47,10.6,11.86,12.17,10.51,2026-09-04 16:00:00
KEI,KEIEQN,4850,-8.95,2381568,2381568,11729984501.76,5327,28-Jan-2026,,5899,3728.7,-477,5000,4850,5028,4820,2026-09-04 16:00:00
HDFCBANK,HDFCBANKEQN,712.1,0.77,14488024,14488024,10338074405.44,706.65,19-Jun-2026,,1020.5,698.5,5.45,708.35,712.1,716.5,708.35,2026-09-04 16:00:00
JINDWORLD,JINDWORLDEQN,57.78,20,188275533,188275533,10238423484.54,48.15,28-Feb-2025,,57.78,17.85,9.63,49.67,57.51,57.78,49.02,2026-09-04 16:00:00
HBLENGINE,HBLENGINEEQN,695,4.42,14312325,14312325,10122534979.5,665.55,13-Feb-2026,,1122,613,29.45,668.5,695.75,724,667,2026-09-04 16:00:00
DHOOTTRANS,DHOOTTRANSEQN,1580,-0.22,6047122,6047122,9814297592.34,1583.5,-,,1665.2,1131,-3.5,1615,1615.7,1665,1570.1,2026-09-04 16:00:00
NETWEB,NETWEBEQN,5190,-1.52,1816227,1816227,9614851466.22,5270,07-Aug-2026,,5813,2281.8,-80,5297.5,5193,5424,5164.5,2026-09-04 16:00:00
ICICIBANK,ICICIBANKEQN,1423.2,-0.48,6693889,6693889,9566839219.91,1430,03-Aug-2026,,1480,1187.6,-6.8,1432.1,1423.2,1438.3,1421.4,2026-09-04 16:00:00
ATHERENERG,ATHERENERGEQN,1584,-3.35,5585636,5585636,8886300025.12,1638.9,-,,1744,485,-54.9,1644,1584,1644.5,1560.9,2026-09-04 16:00:00
ANGELONE,ANGELONEEQN,299.8,4.83,29274355,29274355,8825047058.3,286,21-Jul-2026,,360.45,208.63,13.8,295.1,299.8,308.35,294.75,2026-09-04 16:00:00
GROWW,GROWWEQN,194.5,2.24,44702306,44702306,8674035456.24,190.24,-,,227.2,112,4.26,193,194,195.68,191.85,2026-09-04 16:00:00
