symbol,shortName,price,changePct,volume
MTRN,Materion Corporation,297.08,30.81,832402
WTTR,"Select Water Solutions, Inc.",22.26,20.32,6481930
SHOP,Shopify Inc.,144.24,16.98,40474936
BSP,Bending Spoons S.p.A.,43.75,16.82,5168797
URGN,UroGen Pharma Ltd.,46.43,16.31,2479024
TWST,Twist Bioscience Corporation,115.01,15.65,3275535
FRPT,"Freshpet, Inc.",71.47,14.57,6435933
LIME,"Neutron Holdings, Inc.",35.6,14.54,514375
AUGO,Aura Minerals Inc.,65.76,13.79,2207860
QLYS,"Qualys, Inc.",183.25,13.78,1620568
EGO,Eldorado Gold Corporation,36.0,13.14,4225543
INTA,"Intapp, Inc.",36.96,12.75,1895388
SIND,Sinda Ltd.,14.74,12.69,58573
SHAK,"Shake Shack, Inc.",74.33,12.25,8467338
TVTX,"Travere Therapeutics, Inc.",62.76,12.03,6308104
