symbol,shortName,price,change,changePct,volume,avgVolume,marketCap
SPCX,Space Exploration Technologies ,108.27,-17.06,-13.61,202379662,110321771,1426369150976
NVDA,NVIDIA Corporation,219.22,7.28,3.43,156378175,153482755,5309727768576
ONDS,Ondas Inc,8.87,0.01,0.11,106584354,86276313,5054468096
INTC,Intel Corporation,101.06,0.2,0.2,84200472,127756116,509746610176
PATH,"UiPath, Inc.",13.82,-0.28,-1.99,91792910,59694091,7160421888
SNAP,Snap Inc.,5.33,-0.46,-7.94,70319918,42360203,9014083584
NOK,Nokia Corporation Sponsored,9.58,-0.34,-3.43,65397887,109348462,53480677376
GRAB,Grab Holdings Limited,3.74,0.02,0.54,65634343,49392895,15255459840
OPEN,Opendoor Technologies Inc,3.76,-0.36,-8.74,61012579,56439993,3627409664
NU,Nu Holdings Ltd.,14.48,0.15,1.05,65766152,75146427,69945409536
SOFI,"SoFi Technologies, Inc.",18.25,-0.45,-2.41,56579519,79925375,23548203008
T,AT&T Inc.,23.06,-0.32,-1.37,53446741,63564244,158016012288
PLTR,Palantir Technologies Inc.,158.43,-4.23,-2.6,61261948,40573175,380716515328
ABEV,Ambev S.A.,3.03,-0.01,-0.33,49330547,27682901,46821969920
CDE,"Coeur Mining, Inc.",17.43,1.22,7.53,48689970,32595118,17962217472
EA,Electronic Arts Inc.,209.7,0.0,0.0,48430629,2301555,52925640704
UBER,"Uber Technologies, Inc.",68.18,-3.81,-5.29,46161399,19975062,138787143680
AAL,"American Airlines Group, Inc.",16.58,0.02,0.12,49945594,111196603,10975461376
HL,Hecla Mining Company,16.54,1.15,7.47,43934567,29144963,11093583872
AMD,"Advanced Micro Devices, Inc.",482.05,-36.53,-7.04,47435209,32232616,786030985216
GOOGL,Alphabet Inc.,362.43,-15.22,-4.03,46331184,32892332,4432495378432
SHOP,Shopify Inc.,144.24,20.94,16.98,40474936,10036286,187173715968
FIG,"Figma, Inc.",28.15,1.03,3.8,37824051,21767096,14873800704
AAPL,Apple Inc.,311.0,1.62,0.52,44330978,57053221,4538790051840
CPNG,"Coupang, Inc.",16.0,-0.78,-4.65,39689586,23735208,28721027072
