symbol,latestOI,prevOI,changeInOI,avgInOI,volume,futValue,optValue,total,premValue,underlyingValue
BANKBARODA,71655,42319,29336,69.32,71027,86162.24272,48915121173,96717.14471,10554.90198,264
HDFCAMC,28850,21156,7694,36.37,7802,18100.9353,4159640742,18888.01272,787.07742,2500
NIFTY,8786127,7648032,1138095,14.88,117589371,1308801.14664,179791592885470,7867553.00885,6558751.8622,23366
HINDZINC,59476,52416,7060,13.47,98614,76780.36429,66493472176,89480.74105,12700.37676,568
PNB,64258,56952,7306,12.83,57723,60337.9,45350161280,71732.5528,11394.6528,107
CANBK,68058,60342,7716,12.79,60609,101398.88137,47035701472,113340.6486,11941.76722,136
COCHINSHIP,14803,13240,1563,11.81,8282,11318.07452,3955382104,12460.45556,1142.38104,1433
BSE,69785,63255,6530,10.32,159895,263338.71262,217700259758,317805.5852,54466.87258,3881
NATIONALUM,49550,44920,4630,10.31,47310,55334.712,31957888237,62539.25062,7204.53862,395
DALBHARAT,16379,14899,1480,9.93,6754,7522.1275,3413003863,7867.83114,345.70363,1687
LUPIN,26818,24450,2368,9.69,30354,25110.5283,27982070397,29732.93727,4622.40897,2260
MOTILALOFS,9933,9161,772,8.43,6413,6223.05958,3989102537,6970.77245,747.71287,854
SWIGGY,52976,49009,3967,8.09,19427,23388.6452,4329560146,24555.03166,1166.38646,251
VEDL,93579,86655,6924,7.99,81267,33896.59845,28128379724,41122.40069,7225.80224,317
ULTRACEMCO,74056,68984,5072,7.35,27689,33866.70547,12436085685,35423.81232,1557.10685,10919
CAMS,12732,11877,855,7.2,6580,11661.0142,2716274425,12191.28846,530.27425,761
TATASTEEL,128469,121062,7407,6.12,88271,76847.85212,43337656807,84051.35145,7203.49932,206
TRENT,100585,94828,5757,6.07,48546,42727.75371,16851662042,46509.06327,3781.30956,2770
AMBUJACEM,99834,94261,5573,5.91,26546,32225.9499,9119839204,33860.95444,1635.00454,418
JINDALSTEL,28131,26593,1538,5.78,10849,15157.15212,6770598587,16525.638,1368.48587,1183
MUTHOOTFIN,26041,24700,1341,5.43,15098,23560.25408,11447261683,25781.17091,2220.91683,3154
KALYANKJIL,52768,50057,2711,5.42,38827,31796.39335,14417470534,35858.07369,4061.68034,372
DIVISLAB,51279,48670,2609,5.36,13354,11137.87582,7956276695,12036.04277,898.16695,6615
HEROMOTOCO,54554,51809,2745,5.3,29311,30694.4518,19060876155,34236.03835,3541.58655,4825
COFORGE,75108,71569,3539,4.94,42220,39477.85351,19787782220,44611.68572,5133.8322,1431
BAJAJFINSV,80486,76760,3726,4.85,49782,26213.7144,19738109986,28807.36426,2593.64986,1700
RADICO,2164,2065,99,4.79,2105,1443.3412,891696246,1566.02866,122.68746,3495
BAJFINANCE,150906,144053,6853,4.76,154641,157021.2498,91621046197,176361.01177,19339.76197,889
NAUKRI,53695,51331,2364,4.61,14153,16763.93669,3846984449,17556.21369,792.27699,986
360ONE,13684,13086,598,4.57,4197,5518.4188,1817321095,5818.02975,299.61095,1073
MIDCPNIFTY,107944,103255,4689,4.54,163880,65699.8167,276083716407,98391.52077,32691.70407,14107
ANGELONE,21291,20369,922,4.53,46991,73590.45425,33018430325,82489.6325,8899.17825,333
VMM,9113,8735,378,4.33,5217,17961.92407,1258323527,18237.02335,275.09927,118
MCX,55917,53602,2315,4.32,74160,192155.10617,116610244668,218202.27786,26047.17168,2789
SBIN,251809,241672,10137,4.19,350790,274444.68315,238682106517,313936.22332,39491.54017,977
KFINTECH,16609,15943,666,4.18,10792,16102.57637,3037932467,16706.32605,603.74967,867
BHEL,66714,64039,2675,4.18,50798,91665.75495,45478024830,103621.497,11955.74205,386
ASTRAL,23000,22084,916,4.15,9567,10744.29907,5080402213,11387.2712,642.97213,1523
MARUTI,114325,109890,4435,4.04,62296,35543.75984,38393579276,41489.5026,5945.74276,13035
ETERNAL,129305,124349,4956,3.99,49523,75052.0086,24081867572,81328.9887,6276.98009,256
SUPREMEIND,15538,14952,586,3.92,8616,7950.46672,4403305782,8297.83704,347.37032,3598
FEDERALBNK,69578,67106,2472,3.68,52972,64261.51375,34658480700,71431.63325,7170.1195,304
NTPC,141448,136488,4960,3.63,47301,27759.63645,23991723165,31108.1181,3348.48165,360
BPCL,39162,37829,1333,3.52,12810,10884.92415,6574196384,12249.98549,1365.06134,295
HAVELLS,29971,28952,1019,3.52,5457,7070.2585,2618728995,7450.94845,380.68995,1152
JUBLFOOD,35048,33857,1191,3.52,8672,6754.93675,4111378750,7569.66175,814.725,425
LTF,35153,33967,1186,3.49,24723,37174.61902,12094158757,39811.6566,2637.03757,268
TECHM,59240,57255,1985,3.47,33247,35012.00466,27252871590,39841.24056,4829.2359,1482
PHOENIXLTD,13593,13138,455,3.46,6684,7431.83028,3513220245,8230.64273,798.81245,1742
TCS,487270,471013,16257,3.45,239830,103842.97998,87684934842,119951.0584,16108.07842,2196
HCLTECH,152250,147182,5068,3.44,44919,30553.24832,15799341956,33582.08288,3028.83456,1155
MANAPPURAM,21474,20768,706,3.4,6227,13237.0023,4572390450,14090.9568,853.9545,308
IEX,33397,32324,1073,3.32,7284,5679.39687,2991151015,6236.72002,557.32315,122
WIPRO,221698,214587,7111,3.31,131185,112648.3791,66132203280,123483.0369,10834.6578,198
SAIL,42883,41520,1363,3.28,8724,23157.17918,5892525172,24617.0584,1459.87922,190
NIFTYNXT50,1020,988,32,3.24,380,3796.41118,297956397,3839.62516,43.21397,70191
UNOMINDA,11053,10708,345,3.22,5496,6720.28214,2477584246,6949.2946,229.01246,1095
PFC,63370,61395,1975,3.22,59648,79348.54161,26657878988,85340.77149,5992.22988,431
RELIANCE,492103,476929,15174,3.18,162506,138430.3366,95624353360,155442.9702,17012.6336,1291
BANKINDIA,21879,21264,615,2.89,14650,31134.86272,8073012740,33100.00772,1965.145,141
BAJAJHLDNG,8315,8083,232,2.87,2876,3439.62315,1198172471,3599.74786,160.12471,10200
WAAREEENER,48562,47208,1354,2.87,16304,20230.04142,7094627986,21812.09628,1582.05486,3051
TMPV,151288,147075,4213,2.86,66415,32495.73232,18782709888,36515.7912,4020.05888,397
CHOLAFIN,37673,36624,1049,2.86,22505,66450.009,15353759550,69864.1045,3414.0955,1506
BLUESTARCO,15625,15204,421,2.77,5137,7279.26949,2009208607,7751.88557,472.61607,1587
FINNIFTY,9455,9204,251,2.73,22217,4275.32868,33673009308,9126.46176,4851.13308,25056
TORNTPHARM,32905,32050,855,2.67,18885,18633.18548,8868036890,20030.74188,1397.5564,4416
TATAELXSI,31734,30955,779,2.52,10734,6239.30277,4034284040,6947.33067,708.0279,4292
UNITDSPR,38621,37677,944,2.51,5014,5925.56868,1988494812,6160.6768,235.10812,1247
PREMIERENE,27745,27074,671,2.48,11445,16728.13629,5733068962,18227.16341,1499.02712,1080
ICICIGI,18350,17907,443,2.47,6442,9903.10668,2816488018,10320.65687,417.55018,1755
BHARTIARTL,179560,175271,4289,2.45,38711,46003.46514,29447048858,49878.83372,3875.36858,1798
KEI,12654,12353,301,2.44,9235,12154.48106,7270253945,13689.85801,1535.37695,5336
LAURUSLABS,33161,32378,783,2.42,14525,32891.31346,14719003818,35857.60164,2966.28818,1445
EICHERMOT,61242,59802,1440,2.41,18488,17429.61626,11504318176,19217.59802,1787.98176,7050
DLF,69504,67870,1634,2.41,18091,21971.44,6836301259,23430.81259,1459.37259,577
SUZLON,66293,64758,1535,2.37,17460,19233.69553,7279326543,21172.81971,1939.12418,55
MFSL,29783,29094,689,2.37,8161,15065.64748,3948730572,15797.0332,731.38572,1602
GODFRYPHLP,13426,13126,300,2.29,2342,4198.41312,1100872943,4431.92755,233.51443,2221
JSWENERGY,37647,36809,838,2.28,13467,14735.44329,6729864066,16323.00146,1587.55816,581
SONACOMS,18519,18107,412,2.28,4110,12345.1237,1890671786,12867.96031,522.83661,604
PGEL,30439,29762,677,2.27,15137,13044.62689,6015766586,14571.23775,1526.61086,487
PIIND,33664,32930,734,2.23,6266,4983.78809,2675597030,5453.1834,469.3953,2730
PERSISTENT,48956,47901,1055,2.2,24631,23974.47631,10689155681,26719.17062,2744.69431,5023
AUROPHARMA,41840,40939,901,2.2,21654,17586.48771,16061684947,20368.95718,2782.46947,1458
LTM,41313,40439,874,2.16,11077,15466.4673,5354274486,16637.68716,1171.21986,4025
BRITANNIA,40089,39249,840,2.14,11119,8188.99848,6943182602,8785.94951,596.95102,5129
POWERGRID,68017,66598,1419,2.13,19782,15086.97736,9690738682,16185.20168,1098.22432,285
INDUSINDBK,72464,70982,1482,2.09,25667,30824.13054,13667660139,33669.20193,2845.07139,903
BANKNIFTY,1130276,1107684,22592,2.04,2761990,1061772.08251,4500403366501,1628763.54753,566991.46501,54496
HDFCBANK,1039100,1018365,20735,2.04,338431,185666.67512,125378431719,206286.47232,20619.79719,748
ABCAPITAL,23444,22978,466,2.03,13735,39657.76525,11750849863,42365.82388,2708.05863,357
TATACONSUM,46302,45390,912,2.01,9958,15094.519,4836500669,15701.59569,607.07669,1131
KPITTECH,34691,34025,666,1.96,8551,8016.98364,2108006739,8485.57603,468.59239,775
SUNPHARMA,114621,112453,2168,1.93,40137,30356.0524,22852387138,32901.44378,2545.39138,1783
ALKEM,20055,19682,373,1.9,6498,9174.18605,3539164415,9672.8927,498.70665,5250
HINDPETRO,28566,28042,524,1.87,8199,13771.12934,5313994389,15038.87573,1267.74639,385
AXISBANK,149249,146571,2678,1.83,85609,121443.66643,57293229068,131524.20712,10080.54068,1273
RBLBANK,28402,27897,505,1.81,12771,39930.37543,10673567489,42370.95158,2440.57614,351
PETRONET,25627,25175,452,1.8,3907,9026.97429,1140202160,9224.50589,197.5316,269
YESBANK,61330,60260,1070,1.78,34634,49505.99386,20863621600,53682.41286,4176.419,23
TIINDIA,14638,14384,254,1.77,2482,4264.2793,1186236918,4543.48848,279.20918,3121
GODREJPROP,44125,43369,756,1.74,15544,17322.05254,5889783786,18683.2154,1361.16286,1703
OBEROIRLTY,22513,22132,381,1.72,3117,6501.31097,1201281942,6732.92039,231.60942,1637
RVNL,60651,59634,1017,1.71,14183,16212.50244,3910393526,17159.84771,947.34526,235
COLPAL,35197,34609,588,1.7,12910,4957.28977,5099609023,5279.95001,322.66023,2001
