symbol,shortName,price,changePct,volume
COO,"The Cooper Companies, Inc.",67.34,8.58,9084331
ABM,ABM Industries Incorporated,42.54,6.67,1387823
ARCB,ArcBest Corporation,155.09,6.17,484244
NP,Neptune Insurance Holdings Inc.,25.49,5.86,472943
ARGX,argenx SE,891.32,5.82,794466
TXRH,"Texas Roadhouse, Inc.",170.46,5.68,1397715
COKE,"Coca-Cola Consolidated, Inc.",179.91,5.66,733236
FIZZ,National Beverage Corp.,36.51,5.13,413072
PLMR,"Palomar Holdings, Inc.",108.51,5.07,237562
CLX,Clorox Company (The),94.14,5.03,2673000
KVUE,Kenvue Inc.,17.71,4.92,24611165
KMB,Kimberly-Clark Corporation,99.04,4.84,6324786
ALL,Allstate Corporation (The),221.01,4.82,1267582
UNFI,"United Natural Foods, Inc.",55.52,4.81,665583
HG,"Hamilton Insurance Group, Ltd.",30.49,4.7,469721
