symbol,series,ltp,change,pChange,priceBand,highPrice,lowPrice,yearHigh,yearLow,totalTradedVol,turnover
INDOMIM,EQ,882.1,80.15,   9.99,10,882.1,804,882.1,700,96.44015,826.848914055
GMMPFAUDLR,EQ,982,124.9,  14.57,20,1028.5,850.9,1366.9,735,62.04622,605.1616021479999
SOTL,EQ,791,112,  16.49,20,814.8,756.2,814.8,285.8,60.04735,477.86281603500004
MTARTECH,BE,6959,331,   4.99,5,6959,6700,8714,1390.5,3.46004,240.244071356
ALLCARGO,EQ,9.76,1.62,  19.90,20,9.76,8.3,36.55,7.11,1696.86303,158.317320699
FCL,EQ,41.8,3.15,   8.15,10,42.51,38.73,47.18,19.1,250.11385,103.872281905
MOLDTECH,EQ,199.68,33.28,  20.00,20,199.68,161.1,221,101.1,35.77835,67.567413975
PANAMAPET,EQ,495,39.8,   8.74,10,500.7,472.35,518.5,229,11.03047,54.700100729999996
MON100,EQ,332.58,10.76,   3.34,20,332.58,327.32,342.55,197.81,14.24604,47.373781416
PVP,EQ,33.25,5.54,  19.99,20,33.25,27.6,39.41,18.49,104.96593,33.148240694
AQYLON,EQ,28.01,1.33,   4.99,5,28.01,27.21,224.7,23.5,111.96913,31.317765661000003
MAFANG,EQ,206,7.04,   3.54,20,207.88,200.95,208.38,149.74,13.34265,27.599271525
DIACABS,BE,348.8,16.6,   5.00,5,348.8,334.3,348.8,115.57,7.04735,24.359870009999998
IZMO,EQ,1023.9,-7.9,  -0.77,5,1083.35,1018.95,1374.7,353.75,2.16918,22.855348152
UFBL,EQ,810.4,38.55,   4.99,5,810.4,773.4,810.4,172.34,2.74202,21.99374242
AGL,EQ,14.46,1.31,   9.96,10,14.46,13.12,22,12.03,121.34338,17.073013566
RELINFRA,BE,72.96,3.47,   4.99,5,72.96,70.88,303,60.04,22.62371,16.476847993
IBULLSLTD,BE,30.5,1.45,   4.99,5,30.5,29.63,32.5,8.9,45.89185,13.882284625
STYLEBAAZA,BE,305.65,14.55,   5.00,5,305.65,289.3,427,229.95,3.79067,11.458058209
IDEAFORGE,BE,916,43.6,   5.00,5,916,860,992.25,366,1.14348,10.367132724
WAAREEINDO,EQ,343,14,   4.26,5,345.45,329,725,282.8,2.59128,8.834710031999998
MSPL,EQ,37.31,1.42,   3.96,5,37.68,36.31,46.12,26.25,23.20928,8.629210304
