symbol,identifier,lastPrice,pChange,quantityTraded,totalTradedVolume,totalTradedValue,previousClose,exDate,purpose,yearHigh,yearLow,change,open,closePrice,dayHigh,dayLow,lastUpdateTime
HDFCBANK,HDFCBANKEQN,827.5,-0.28,57611729,57611729,48052214807.03,829.85,19-Jun-2026,,1020.5,726.65,-2.35,843,829.3,843,826.1,2026-07-07 16:00:27
TRENT,TRENTEQN,2921,-12.64,9059505,9059505,27043347185.4,3343.8,12-Jun-2026,,4174,2183.67,-422.8,3080,2927.8,3080,2920,2026-07-07 16:00:27
RITES,RITESEQN,231.19,6.96,100658878,100658878,23837028899.18,216.15,10-Feb-2026,,299.8,175,15.04,226.3,235.43,244.59,226.3,2026-07-07 16:00:27
ICICIBANK,ICICIBANKEQN,1412,-1.04,15664178,15664178,22264905967.42,1426.9,12-Aug-2025,,1500,1187.6,-14.9,1431.6,1414.7,1433,1410,2026-07-07 16:00:27
BSE,BSEEQN,3678.7,-3.26,5680882,5680882,20881217967.4,3802.7,10-Jul-2026,,4446.8,2021.5,-124,3820,3683.4,3820.6,3630.6,2026-07-07 16:00:27
INFY,INFYEQN,1071.9,2.85,18866296,18866296,20279758896.32,1042.2,10-Jun-2026,,1728,982.4,29.7,1040.6,1071.8,1087.5,1040.6,2026-07-07 16:00:27
RELIANCE,RELIANCEEQN,1305,-1.23,14335554,14335554,18839785066.8,1321.3,05-Jun-2026,,1611.8,1253.2,-16.3,1323.5,1308.4,1328,1304.1,2026-07-07 16:00:27
NAUKRI,NAUKRIEQN,1157.95,12.95,16707549,16707549,18819550269.09,1025.15,24-Jul-2026,,1537.2,908.3,132.8,1032,1159.45,1167.15,1029,2026-07-07 16:00:27
CUPID,CUPIDEQN,221.63,4.01,86186965,86186965,18763764150.15,213.09,09-Mar-2026,,221.65,19.4,8.54,217,221.11,221.65,207.35,2026-07-07 16:00:27
HSCL,HSCLEQN,642.4,-6.1,23524955,23524955,15616100378.55,684.15,22-May-2026,,718,418.5,-41.75,685,643.55,693,639,2026-07-07 16:00:27
TITAN,TITANEQN,4591.2,2.38,3385946,3385946,15560961329.5,4484.4,09-Jul-2026,,4655.9,3303.1,106.8,4550,4604.2,4655.9,4505,2026-07-07 16:00:27
MCX,MCXEQN,2643,-2.94,5896736,5896736,15468494777.28,2723.1,02-Jan-2026,,3480,1460.8,-80.1,2730,2643.2,2734,2577.5,2026-07-07 16:00:27
ETERNAL,ETERNALEQN,289.3,2.08,45305615,45305615,13072935208.25,283.4,,,368.45,212.6,5.9,283.8,289.4,291,283.55,2026-07-07 16:00:27
SBIN,SBINEQN,1036.2,-0.14,11053574,11053574,11516055536.16,1037.7,15-May-2026,,1234.7,786.55,-1.5,1039.3,1038.1,1049.6,1035.5,2026-07-07 16:00:27
BHARTIARTL,BHARTIARTLEQN,1922.7,-0.16,5767438,5767438,11156416718.44,1925.7,18-Jul-2025,,2174.5,1740.5,-3,1923.5,1925.8,1956.5,1917,2026-07-07 16:00:27
POLICYBZR,POLICYBZREQN,1603.6,1.45,6861911,6861911,10914692874.82,1580.7,,,1974,1364,22.9,1575,1608,1615.8,1551,2026-07-07 16:00:27
APOLLO,APOLLOEQN,401,-5.39,26468479,26468479,10737732560.72,423.85,08-Sep-2025,,466.5,162.34,-22.85,427,401.35,430.4,397.1,2026-07-07 16:00:27
DIXON,DIXONEQN,13237,-0.5,792499,792499,10515265056.51,13304,16-Sep-2025,,18471,9600,-67,13319,13242,13436,13123,2026-07-07 16:00:27
TCS,TCSEQN,2095.9,1.86,4769048,4769048,10007513394.64,2057.6,25-May-2026,,3489.9,1976.8,38.3,2050,2096.1,2122.7,2049,2026-07-07 16:00:27
LT,LTEQN,3987,-1.34,2442514,2442514,9756182520.48,4041,22-May-2026,,4440,3288.1,-54,4044.5,3991.9,4046.3,3975,2026-07-07 16:00:27
