changeInOI,expiryDate,instrument,latestOI,ltp,optionType,pChange,premTurnover,prevClose,prevOI,strikePrice,symbol,turnover,type,underlyingValue,volume,identifier,instrumentType,pChangeInOI
-76024,09-Jun-2026,Index Options,94035,0.65,Call,-50,381.99512,1.3,170059,25000,NIFTY,381.99512,SS,23123,660320,OPTIDXNIFTY09-06-2026CE25000,OPTIDX,-44.7
-45768,09-Jun-2026,Index Options,42985,0.65,Call,-59.38,154.2862,1.6,88753,24800,NIFTY,154.2862,SS,23123,239761,OPTIDXNIFTY09-06-2026CE24800,OPTIDX,-51.57
-37808,09-Jun-2026,Index Options,47294,0.55,Call,-35.29,55.16914,0.85,85102,25500,NIFTY,55.16914,SS,23123,126680,OPTIDXNIFTY09-06-2026CE25500,OPTIDX,-44.43
-34495,09-Jun-2026,Index Options,39181,0.75,Call,-61.54,196.8773,1.95,73676,24700,NIFTY,196.8773,SS,23123,280452,OPTIDXNIFTY09-06-2026CE24700,OPTIDX,-46.82
-29410,09-Jun-2026,Index Options,48581,1,Call,-75.31,519.87046,4.05,77991,24400,NIFTY,519.87046,SS,23123,536779,OPTIDXNIFTY09-06-2026CE24400,OPTIDX,-37.71
-24510,09-Jun-2026,Index Options,40617,0.75,Call,-70.59,270.2895,2.55,65127,24600,NIFTY,270.2895,SS,23123,346525,OPTIDXNIFTY09-06-2026CE24600,OPTIDX,-37.63
-23564,09-Jun-2026,Index Options,53966,0.5,Put,-47.37,103.98403,0.95,77530,21500,NIFTY,103.98403,SS,23123,210494,OPTIDXNIFTY09-06-2026PE21500,OPTIDX,-30.39
-22987,09-Jun-2026,Index Options,79895,0.45,Put,-40,59.68393,0.75,102882,21100,NIFTY,59.68393,SS,23123,143471,OPTIDXNIFTY09-06-2026PE21100,OPTIDX,-22.34
-21875,09-Jun-2026,Index Options,22382,1.4,Call,-83.82,751.9429,8.65,44257,24150,NIFTY,751.9429,SS,23123,545677,OPTIDXNIFTY09-06-2026CE24150,OPTIDX,-49.43
-18413,09-Jun-2026,Index Options,23999,0.6,Call,-42.86,40.21475,1.05,42412,25200,NIFTY,40.21475,SS,23123,78315,OPTIDXNIFTY09-06-2026CE25200,OPTIDX,-43.41
-17555,09-Jun-2026,Index Options,24243,0.6,Call,-55.56,74.71922,1.35,41798,24900,NIFTY,74.71922,SS,23123,123605,OPTIDXNIFTY09-06-2026CE24900,OPTIDX,-42
-17050,09-Jun-2026,Index Options,23474,0.4,Call,-27.27,29.03764,0.55,40524,26000,NIFTY,29.03764,SS,23123,91170,OPTIDXNIFTY09-06-2026CE26000,OPTIDX,-42.07
-16808,09-Jun-2026,Index Options,248716,1.9,Call,-87.33,3877.6739,15,265524,24000,NIFTY,3877.6739,SS,23123,2071407,OPTIDXNIFTY09-06-2026CE24000,OPTIDX,-6.33
-16703,09-Jun-2026,Index Options,16327,1.15,Call,-74.73,295.02449,4.55,33030,24350,NIFTY,295.02449,SS,23123,273424,OPTIDXNIFTY09-06-2026CE24350,OPTIDX,-50.57
-16085,09-Jun-2026,Index Options,11538,0.65,Call,-40.91,49.04155,1.1,27623,25100,NIFTY,49.04155,SS,23123,88763,OPTIDXNIFTY09-06-2026CE25100,OPTIDX,-58.23
-15822,09-Jun-2026,Index Options,75992,1.5,Call,-85.37,1614.49983,10.25,91814,24100,NIFTY,1614.49983,SS,23123,1079933,OPTIDXNIFTY09-06-2026CE24100,OPTIDX,-17.23
-13724,09-Jun-2026,Index Options,113897,1.25,Call,-82.64,1523.17479,7.2,127621,24200,NIFTY,1523.17479,SS,23123,1183508,OPTIDXNIFTY09-06-2026CE24200,OPTIDX,-10.75
-13369,09-Jun-2026,Index Options,53353,1.1,Call,-79.05,711.2233,5.25,66722,24300,NIFTY,711.2233,SS,23123,643641,OPTIDXNIFTY09-06-2026CE24300,OPTIDX,-20.04
-10045,09-Jun-2026,Index Options,22144,0.9,Call,-68.97,105.1594,2.9,32189,24550,NIFTY,105.1594,SS,23123,124449,OPTIDXNIFTY09-06-2026CE24550,OPTIDX,-31.21
-9320,09-Jun-2026,Index Options,14971,0.8,Call,-64.44,61.04294,2.25,24291,24650,NIFTY,61.04294,SS,23123,86158,OPTIDXNIFTY09-06-2026CE24650,OPTIDX,-38.37
-9309,09-Jun-2026,Index Options,13937,0.3,Call,-40,16.72887,0.5,23246,26100,NIFTY,16.72887,SS,23123,54759,OPTIDXNIFTY09-06-2026CE26100,OPTIDX,-40.05
-9295,09-Jun-2026,Index Options,16046,1.15,Call,-81.89,416.92673,6.35,25341,24250,NIFTY,416.92673,SS,23123,335825,OPTIDXNIFTY09-06-2026CE24250,OPTIDX,-36.68
-8959,30-Jun-2026,Index Options,33483,7.75,Call,-16.22,162.49417,9.25,42442,25500,NIFTY,162.49417,SS,23123,30047,OPTIDXNIFTY30-06-2026CE25500,OPTIDX,-21.11
-7483,09-Jun-2026,Index Options,27004,1.7,Call,-86.29,933.70421,12.4,34487,24050,NIFTY,933.70421,SS,23123,581566,OPTIDXNIFTY09-06-2026CE24050,OPTIDX,-21.7
-7178,09-Jun-2026,Index Options,15204,0.55,Call,-69.44,55.27994,1.8,22382,24750,NIFTY,55.27994,SS,23123,82569,OPTIDXNIFTY09-06-2026CE24750,OPTIDX,-32.07
