changeInOI,expiryDate,instrument,latestOI,ltp,optionType,pChange,premTurnover,prevClose,prevOI,strikePrice,symbol,turnover,type,underlyingValue,volume,identifier,instrumentType,pChangeInOI
-53721,11-Aug-2026,Index Options,75536,0.45,Call,-30.77,105.08565,0.65,129257,26000,NIFTY,105.08565,SS,24583.8,283632,OPTIDXNIFTY11-08-2026CE26000,OPTIDX,-41.56
-43190,11-Aug-2026,Index Options,73051,1.05,Call,-61.11,696.94197,2.7,116241,25300,NIFTY,696.94197,SS,24583.8,800163,OPTIDXNIFTY11-08-2026CE25300,OPTIDX,-37.16
-31403,11-Aug-2026,Index Options,38996,0.4,Call,-50,53.2011,0.8,70399,25900,NIFTY,53.2011,SS,24583.8,141117,OPTIDXNIFTY11-08-2026CE25900,OPTIDX,-44.61
-30590,11-Aug-2026,Index Options,75381,0.55,Call,-56,239.91499,1.25,105971,25600,NIFTY,239.91499,SS,24583.8,455679,OPTIDXNIFTY11-08-2026CE25600,OPTIDX,-28.87
-29091,11-Aug-2026,Index Options,50808,0.45,Call,-55,128.97573,1,79899,25700,NIFTY,128.97573,SS,24583.8,254390,OPTIDXNIFTY11-08-2026CE25700,OPTIDX,-36.41
-22975,11-Aug-2026,Index Options,53135,0.45,Call,-47.06,90.83074,0.85,76110,25800,NIFTY,90.83074,SS,24583.8,214984,OPTIDXNIFTY11-08-2026CE25800,OPTIDX,-30.19
-19941,11-Aug-2026,Index Options,15287,0.45,Put,-64,71.47663,1.25,35228,23200,NIFTY,71.47663,SS,24583.8,139195,OPTIDXNIFTY11-08-2026PE23200,OPTIDX,-56.61
-17027,11-Aug-2026,Index Options,18142,0.6,Put,-53.85,112.11083,1.3,35169,23400,NIFTY,112.11083,SS,24583.8,181556,OPTIDXNIFTY11-08-2026PE23400,OPTIDX,-48.41
-15393,11-Aug-2026,Index Options,66257,0.55,Put,-50,134.79523,1.1,81650,23000,NIFTY,134.79523,SS,24583.8,288024,OPTIDXNIFTY11-08-2026PE23000,OPTIDX,-18.85
-14816,11-Aug-2026,Index Options,15609,0.25,Put,-61.54,26.61266,0.65,30425,22500,NIFTY,26.61266,SS,24583.8,85297,OPTIDXNIFTY11-08-2026PE22500,OPTIDX,-48.7
-14697,11-Aug-2026,Index Options,34507,1.1,Call,-66.15,423.16967,3.25,49204,25250,NIFTY,423.16967,SS,24583.8,409453,OPTIDXNIFTY11-08-2026CE25250,OPTIDX,-29.87
-11237,11-Aug-2026,Index Options,14021,0.6,Call,-42.86,37.12887,1.05,25258,25650,NIFTY,37.12887,SS,24583.8,77191,OPTIDXNIFTY11-08-2026CE25650,OPTIDX,-44.49
-8827,11-Aug-2026,Index Options,35832,0.2,Put,-33.33,16.12977,0.3,44659,21600,NIFTY,16.12977,SS,24583.8,103396,OPTIDXNIFTY11-08-2026PE21600,OPTIDX,-19.77
-7466,11-Aug-2026,Index Options,10215,0.2,Put,-60,11.40499,0.5,17681,22000,NIFTY,11.40499,SS,24583.8,47422,OPTIDXNIFTY11-08-2026PE22000,OPTIDX,-42.23
-7132,11-Aug-2026,Index Options,4840,0.4,Put,-57.89,16.51851,0.95,11972,22900,NIFTY,16.51851,SS,24583.8,37930,OPTIDXNIFTY11-08-2026PE22900,OPTIDX,-59.57
-6916,11-Aug-2026,Index Options,22871,0.65,Put,-50,85.41128,1.3,29787,23300,NIFTY,85.41128,SS,24583.8,152793,OPTIDXNIFTY11-08-2026PE23300,OPTIDX,-23.22
-6861,11-Aug-2026,Index Options,13935,212.65,Call,-12.18,65892.76551,242.15,20796,24400,NIFTY,65892.76551,SS,24583.8,455202,OPTIDXNIFTY11-08-2026CE24400,OPTIDX,-32.99
-6408,11-Aug-2026,Index Options,10477,0.3,Call,-50,9.42852,0.6,16885,26100,NIFTY,9.42852,SS,24583.8,28442,OPTIDXNIFTY11-08-2026CE26100,OPTIDX,-37.95
-6109,11-Aug-2026,Index Options,65384,1,Put,-64.29,1131.8476,2.8,71493,23900,NIFTY,1131.8476,SS,24583.8,870652,OPTIDXNIFTY11-08-2026PE23900,OPTIDX,-8.54
-6063,11-Aug-2026,Index Options,21654,0.6,Call,-55.56,108.6697,1.35,27717,25550,NIFTY,108.6697,SS,24583.8,189982,OPTIDXNIFTY11-08-2026CE25550,OPTIDX,-21.87
-6002,11-Aug-2026,Index Options,7215,312.15,Call,-4.12,21210.92906,325.55,13217,24300,NIFTY,21210.92906,SS,24583.8,105729,OPTIDXNIFTY11-08-2026CE24300,OPTIDX,-45.41
-5554,11-Aug-2026,Index Options,65273,0.8,Call,-58.97,361.58686,1.95,70827,25400,NIFTY,361.58686,SS,24583.8,515081,OPTIDXNIFTY11-08-2026CE25400,OPTIDX,-7.84
-5548,11-Aug-2026,Index Options,113376,1.65,Call,-73.39,2242.13889,6.2,118924,25100,NIFTY,2242.13889,SS,24583.8,1358049,OPTIDXNIFTY11-08-2026CE25100,OPTIDX,-4.67
-5106,11-Aug-2026,Index Options,8862,0.35,Call,-50,11.18559,0.7,13968,25950,NIFTY,11.18559,SS,24583.8,29670,OPTIDXNIFTY11-08-2026CE25950,OPTIDX,-36.55
-5036,11-Aug-2026,Index Options,9673,0.45,Put,-59.09,38.51893,1.1,14709,23100,NIFTY,38.51893,SS,24583.8,84657,OPTIDXNIFTY11-08-2026PE23100,OPTIDX,-34.24
