symbol,identifier,lastPrice,pChange,quantityTraded,totalTradedVolume,totalTradedValue,previousClose,exDate,purpose,yearHigh,yearLow,change,open,closePrice,dayHigh,dayLow,lastUpdateTime
PAYTM,PAYTMEQN,1584.1,9.88,20046110,20046110,31115571942,1441.6,,,1598.5,930.6,142.5,1445,1584.1,1598.5,1445,2026-08-10 16:00:27
POWERINDIA,POWERINDIAEQN,36050,10.58,675953,675953,24062730363.19,32600,21-Aug-2026,,38785,16111,3450,35000,36050,36390,34225,2026-08-10 16:00:27
BSE,BSEEQN,3596.1,4.02,6338788,6338788,22522981521.6,3457.1,10-Jul-2026,,4446.8,2021.5,139,3457.1,3596.1,3615,3427.6,2026-08-10 16:00:27
EMIL,EMILEQN,181.3,9.33,101219512,101219512,18534304842.32,165.83,,,189.6,84.9,15.47,172,180.77,189.6,172,2026-08-10 16:00:27
TITAN,TITANEQN,5090,3.02,3664718,3664718,18529180679.8,4941,09-Jul-2026,,5122.2,3303.1,149,4932,5090,5122.2,4886.2,2026-08-10 16:00:27
ICICIBANK,ICICIBANKEQN,1431.8,0.76,12749354,12749354,18183128674.8,1421,03-Aug-2026,,1480,1187.6,10.8,1428.1,1431.8,1441.9,1415.5,2026-08-10 16:00:27
SBIN,SBINEQN,1071,-2.39,16623448,16623448,18018986459.6,1097.2,15-May-2026,,1234.7,790,-26.2,1108,1071,1113.3,1068.6,2026-08-10 16:00:27
HDFCBANK,HDFCBANKEQN,731,0,23660590,23660590,17338243746.1,731,19-Jun-2026,,1020.5,726.65,0,731.5,731,737.55,728.5,2026-08-10 16:00:27
KAYNES,KAYNESEQN,3735.1,-3.14,4202637,4202637,15691469819.64,3856.3,08-Sep-2023,,7705,2995,-121.2,3535,3735.1,3846,3535,2026-08-10 16:00:27
MCX,MCXEQN,2759.3,4.6,4554692,4554692,12450706051.2,2638,02-Jan-2026,,3480,1460.8,121.3,2640,2759.3,2789,2603.2,2026-08-10 16:00:27
SBCL,SBCLEQN,1105.05,20,10977312,10977312,11361517920,920.9,13-Feb-2026,,1105.05,368.6,184.15,928,1105.05,1105.05,921.25,2026-08-10 16:00:27
INFY,INFYEQN,1183,0.67,9377001,9377001,11113246505.16,1175.1,10-Jun-2026,,1728,982.4,7.9,1178.1,1183,1195,1175.2,2026-08-10 16:00:27
PFC,PFCEQN,385.15,-8.3,27986683,27986683,10988131479.46,420,31-Jul-2026,,486.5,329.9,-34.85,412.1,385.15,414.65,383.2,2026-08-10 16:00:27
RELIANCE,RELIANCEEQN,1327.3,-0.56,8207102,8207102,10890249856.86,1334.8,05-Jun-2026,,1611.8,1249.8,-7.5,1330.1,1327.3,1332.9,1321.3,2026-08-10 16:00:27
BHARATFORG,BHARATFORGEQN,2093.1,-7.6,5058607,5058607,10847474506.52,2265.2,03-Jul-2026,,2295,1100.5,-172.1,2278.8,2093.1,2295,2056.1,2026-08-10 16:00:27
VOGL,VOGLEQN,39.78,13.95,258761421,258761421,10073582119.53,34.91,,,47.6,30.42,4.87,34.9,39.73,40.4,34.43,2026-08-10 16:00:27
KALYANKJIL,KALYANKJILEQN,600.25,-1,14754190,14754190,8991498469.8,606.3,04-Sep-2025,,648.95,327.05,-6.05,610,600.25,619.95,594.7,2026-08-10 16:00:27
GRASIM,GRASIMEQN,3380.5,1.73,2568033,2568033,8687758360.32,3323,07-Aug-2026,,3411.1,2502.5,57.5,3324,3380.5,3411.1,3290.2,2026-08-10 16:00:27
M&M,M&MEQN,3517,0.43,2434928,2434928,8566320196.8,3502,03-Jul-2026,,3839.9,2896,15,3509,3517,3534.6,3491.1,2026-08-10 16:00:27
LUPIN,LUPINEQN,2300,-2.69,3762236,3762236,8551637672.72,2363.5,17-Jul-2026,,2529.5,1855,-63.5,2360,2300,2362.8,2235,2026-08-10 16:00:27
