symbol,shortName,price,change,changePct,volume,marketCap,avgVolume
INTC,Intel Corporation,124.92,15.3,13.96,222288356,627847921664,109583873
NVDA,NVIDIA Corporation,215.2,3.7,1.75,134128204,5230436024320,170732767
IREN,IREN LIMITED,61.2,4.35,7.65,108260255,20303661056,36449014
NOK,Nokia Corporation Sponsored,12.82,0.47,3.81,95627392,71568089088,77215121
CTRA,Coterra Energy Inc.,32.56,-3.07,-8.62,73317709,24724652032,9780324
ABEV,Ambev S.A.,3.29,0.01,0.3,72366122,51313123328,25630303
RKLB,Rocket Lab Corporation,105.47,26.89,34.22,76022604,61040865280,22249391
TSLA,"Tesla, Inc.",428.35,16.54,4.02,63489555,1608764358656,62332293
MU,"Micron Technology, Inc.",746.81,100.34,15.52,64140362,842203070464,42679842
AAL,"American Airlines Group, Inc.",13.35,0.17,1.29,56021983,8829492224,66467590
RDW,Redwire Corporation,11.07,1.87,20.33,53414126,2202030080,20711398
SOFI,"SoFi Technologies, Inc.",15.75,-0.25,-1.56,53715596,20203173888,65844080
AMD,"Advanced Micro Devices, Inc.",455.19,46.73,11.44,57202223,742233079808,38772955
OPEN,Opendoor Technologies Inc,5.01,-0.31,-5.83,52964770,4833330688,39981667
EOSE,"Eos Energy Enterprises, Inc.",8.01,1.65,25.94,53620575,2719417600,24849381
