changeInOI,expiryDate,instrument,latestOI,ltp,optionType,pChange,premTurnover,prevClose,prevOI,strikePrice,symbol,turnover,type,underlyingValue,volume,identifier,instrumentType,pChangeInOI
-21322,15-Sep-2026,Index Options,140524,23.85,Call,-50.67,27026.22994,48.35,161846,23700,NIFTY,27026.22994,SS,23477.8,1326278,OPTIDXNIFTY15-09-2026CE23700,OPTIDX,-13.17
-16755,15-Sep-2026,Index Options,61924,1.5,Put,-50.82,268.08073,3.05,78679,22100,NIFTY,268.08073,SS,23477.8,193630,OPTIDXNIFTY15-09-2026PE22100,OPTIDX,-21.3
-13442,15-Sep-2026,Index Options,33280,0.6,Call,-36.84,44.49229,0.95,46722,25300,NIFTY,44.49229,SS,23477.8,95069,OPTIDXNIFTY15-09-2026CE25300,OPTIDX,-28.77
-12643,15-Sep-2026,Index Options,55966,0.6,Call,-33.33,64.66353,0.9,68609,25500,NIFTY,64.66353,SS,23477.8,140116,OPTIDXNIFTY15-09-2026CE25500,OPTIDX,-18.43
-9500,15-Sep-2026,Index Options,33138,1.15,Put,-48.89,75.37713,2.25,42638,21900,NIFTY,75.37713,SS,23477.8,75794,OPTIDXNIFTY15-09-2026PE21900,OPTIDX,-22.28
-8258,15-Sep-2026,Index Options,40640,4.45,Call,-48.26,1082.18193,8.6,48898,24050,NIFTY,1082.18193,SS,23477.8,298904,OPTIDXNIFTY15-09-2026CE24050,OPTIDX,-16.89
-8014,22-Sep-2026,Index Options,7730,4.85,Call,-27.61,137.16937,6.7,15744,24600,NIFTY,137.16937,SS,23477.8,37955,OPTIDXNIFTY22-09-2026CE24600,OPTIDX,-50.9
-7769,15-Sep-2026,Index Options,15527,1.3,Call,-42.22,69.00566,2.25,23296,24750,NIFTY,69.00566,SS,23477.8,63192,OPTIDXNIFTY15-09-2026CE24750,OPTIDX,-33.35
-6429,22-Sep-2026,Index Options,4109,18.1,Call,-45.07,316.65255,32.95,10538,24050,NIFTY,316.65255,SS,23477.8,22882,OPTIDXNIFTY22-09-2026CE24050,OPTIDX,-61.01
-5233,15-Sep-2026,Index Options,12499,1.6,Put,-50.77,81.56483,3.25,17732,22150,NIFTY,81.56483,SS,23477.8,55037,OPTIDXNIFTY15-09-2026PE22150,OPTIDX,-29.51
-5127,15-Sep-2026,Index Options,23122,0.6,Call,-33.33,19.00813,0.9,28249,25400,NIFTY,19.00813,SS,23477.8,38478,OPTIDXNIFTY15-09-2026CE25400,OPTIDX,-18.15
-4664,29-Sep-2026,Index Options,46222,13.4,Put,-9.76,203.03934,14.85,50886,22000,NIFTY,203.03934,SS,23477.8,21783,OPTIDXNIFTY29-09-2026PE22000,OPTIDX,-9.17
-4374,15-Sep-2026,Index Options,51022,1.35,Call,-42.55,240.72141,2.35,55396,24700,NIFTY,240.72141,SS,23477.8,209232,OPTIDXNIFTY15-09-2026CE24700,OPTIDX,-7.9
-4298,29-Sep-2026,Index Options,90102,7.5,Call,-13.29,162.95194,8.65,94400,25000,NIFTY,162.95194,SS,23477.8,31534,OPTIDXNIFTY29-09-2026CE25000,OPTIDX,-4.55
-3863,15-Sep-2026,Index Options,44866,0.95,Call,-40.63,120.03956,1.6,48729,24900,NIFTY,120.03956,SS,23477.8,152625,OPTIDXNIFTY15-09-2026CE24900,OPTIDX,-7.93
-3608,15-Sep-2026,Index Options,28706,2.7,Call,-47.06,705.94079,5.1,32314,24250,NIFTY,705.94079,SS,23477.8,312087,OPTIDXNIFTY15-09-2026CE24250,OPTIDX,-11.17
-3127,29-Sep-2026,Stock Options,31877,2.85,Call,-25,546.26598,3.8,35004,730,HDFCBANK,546.26598,SS,693.8,31476,OPTSTKHDFCBANK29-09-2026CE730,OPTSTK,-8.93
-3102,22-Sep-2026,Index Options,5051,44,Call,-34.13,690.42031,66.8,8153,23850,NIFTY,690.42031,SS,23477.8,21117,OPTIDXNIFTY22-09-2026CE23850,OPTIDX,-38.05
-2838,29-Sep-2026,Stock Options,29052,2,Call,-27.27,301.21799,2.75,31890,740,HDFCBANK,301.21799,SS,693.8,24011,OPTSTKHDFCBANK29-09-2026CE740,OPTSTK,-8.9
-2768,15-Sep-2026,Index Options,9654,1.4,Put,-50,85.32669,2.8,12422,22050,NIFTY,85.32669,SS,23477.8,69456,OPTIDXNIFTY15-09-2026PE22050,OPTIDX,-22.28
-2722,29-Sep-2026,Index Options,3410,13.35,Call,-24.15,74.02102,17.6,6132,24550,NIFTY,74.02102,SS,23477.8,7347,OPTIDXNIFTY29-09-2026CE24550,OPTIDX,-44.39
-2554,29-Sep-2026,Index Options,1799,3.4,Call,-33.33,7.34134,5.1,4353,64000,BANKNIFTY,7.34134,SS,56471.95,6596,OPTIDXBANKNIFTY29-09-2026CE64000,OPTIDX,-58.67
-2422,29-Sep-2026,Index Options,49380,5.1,Call,-8.11,56.23714,5.55,51802,25500,NIFTY,56.23714,SS,23477.8,16202,OPTIDXNIFTY29-09-2026CE25500,OPTIDX,-4.68
-2389,15-Sep-2026,Index Options,9001,0.55,Call,-38.89,7.51842,0.9,11390,25600,NIFTY,7.51842,SS,23477.8,16065,OPTIDXNIFTY15-09-2026CE25600,OPTIDX,-20.97
-2389,15-Sep-2026,Index Options,6396,0.45,Call,-30.77,6.4493,0.65,8785,26200,NIFTY,6.4493,SS,23477.8,18040,OPTIDXNIFTY15-09-2026CE26200,OPTIDX,-27.19
