symbol,identifier,lastPrice,pChange,quantityTraded,totalTradedVolume,totalTradedValue,previousClose,exDate,purpose,yearHigh,yearLow,change,open,closePrice,dayHigh,dayLow,lastUpdateTime
ICICIBANK,ICICIBANKEQN,1313.9,1.59,35919374,35919374,47294321358.32,1293.3,12-Aug-2025,,1500,1187.6,20.6,1286.5,1317,1333,1286.5,2026-06-11 16:00:26
AEGISLOG,AEGISLOGEQN,942,17.6,40729363,40729363,36433229790.76,801,18-Jul-2025,,960,576.1,141,805,925.9,960,800.15,2026-06-11 16:00:26
MTARTECH,MTARTECHEQN,6325.5,-10.99,4669917,4669917,30433148601.45,7106.5,04-Aug-2023,,8449.5,1390.5,-781,7100,6306,7154,6180,2026-06-11 16:00:26
HDFCBANK,HDFCBANKEQN,745.3,-0.21,32632007,32632007,24370561787.81,746.85,19-Jun-2026,,1020.5,726.65,-1.55,743,744.6,756,740.1,2026-06-11 16:00:26
OLAELEC,OLAELECEQN,45.37,-4.12,384407728,384407728,17498239778.56,47.32,,,71.25,22.25,-1.95,46.75,45.54,48.19,43.42,2026-06-11 16:00:26
RELIANCE,RELIANCEEQN,1264.5,0.45,13117486,13117486,16603720254.22,1258.8,05-Jun-2026,,1611.8,1253.2,5.7,1258,1263,1276,1253.2,2026-06-11 16:00:26
ZEEL,ZEELEQN,111.7,8.52,147507343,147507343,15927842897.14,102.93,29-Aug-2025,,151.7,68,8.77,103,111.45,112.89,102.95,2026-06-11 16:00:26
SBIN,SBINEQN,1001.1,-0.21,13773978,13773978,13820396305.86,1003.25,15-May-2026,,1234.7,781.7,-2.15,998.1,1000.7,1009.4,993,2026-06-11 16:00:26
UNICHEMLAB,UNICHEMLABEQN,447,2.19,24849976,24849976,12112126802.16,437.4,01-Aug-2022,,666.6,278.2,9.6,456,462.6,515.95,442.2,2026-06-11 16:00:26
IDEA,IDEAEQN,14.23,2.52,802424304,802424304,11442570575.04,13.88,20-Aug-2024,,15.25,6.12,0.35,13.78,14.17,14.49,13.73,2026-06-11 16:00:26
AXISBANK,AXISBANKEQN,1317,0.19,8196686,8196686,10855772905.26,1314.5,10-Jul-2026,,1418.3,1042.5,2.5,1308.8,1317.3,1339.5,1307.3,2026-06-11 16:00:26
INFY,INFYEQN,1119.5,-2.25,9372176,9372176,10466283826.24,1145.3,10-Jun-2026,,1728,1089,-25.8,1129.7,1114.6,1133.7,1109,2026-06-11 16:00:26
NETWEB,NETWEBEQN,4219,-1.78,2274319,2274319,9586754935.18,4295.6,22-Aug-2025,,4965,1700.1,-76.6,4245.1,4191.4,4360,4050,2026-06-11 16:00:26
M&M,M&MEQN,3006.7,1.84,3177902,3177902,9447616634.82,2952.5,04-Jul-2025,,3839.9,2896,54.2,2930,3000.9,3012.2,2900.4,2026-06-11 16:00:26
TEJASNET,TEJASNETEQN,574.1,4.23,15848914,15848914,9031662132.04,550.8,19-Jun-2025,,731.9,294,23.3,549,573.5,584.7,541.1,2026-06-11 16:00:26
BHARTIARTL,BHARTIARTLEQN,1786.8,0.65,5020731,5020731,8966121834.42,1775.2,18-Jul-2025,,2174.5,1740.5,11.6,1773,1782.6,1796,1768.6,2026-06-11 16:00:26
HSCL,HSCLEQN,677,-2.31,12918718,12918718,8890015791.7,693,22-May-2026,,707.45,418.5,-16,687.5,680.05,704.5,673.15,2026-06-11 16:00:26
HFCL,HFCLEQN,164.95,-2.46,52686036,52686036,8626811534.64,169.11,08-Sep-2025,,208.98,59.82,-4.16,160.66,163.68,170.7,160.66,2026-06-11 16:00:26
LT,LTEQN,3871.7,-1.17,2224659,2224659,8620642611.36,3917.5,22-May-2026,,4440,3288.1,-45.8,3900,3862,3909.8,3854.4,2026-06-11 16:00:26
BSE,BSEEQN,3895.1,-0.88,2199536,2199536,8610567569.92,3929.5,10-Jul-2026,,4446.8,2021.5,-34.4,3909.9,3888.3,3954.1,3865,2026-06-11 16:00:26
