type,symbol,instrument,expiryDate,optionType,strikePrice,ltp,prevClose,pChange,latestOI,prevOI,changeInOI,volume,turnover,premTurnover,underlyingValue,identifier,instrumentType,pChangeInOI
RR,NIFTY,Index Options,12-May-2026,Put,23500,9.6,6.3,52.38,160733,126040,34693,3491441,24736.85948,24736.85948,23815.85,OPTIDXNIFTY12-05-2026PE23500,OPTIDX,27.53
RR,NIFTY,Index Options,12-May-2026,Put,23800,70.95,25.2,181.55,103897,69403,34494,6926594,277610.96092,277610.96092,23815.85,OPTIDXNIFTY12-05-2026PE23800,OPTIDX,49.7
RR,NIFTY,Index Options,12-May-2026,Put,23600,19.45,9.8,98.47,99724,65380,34344,3297328,41364.97976,41364.97976,23815.85,OPTIDXNIFTY12-05-2026PE23600,OPTIDX,52.53
RR,NIFTY,Index Options,12-May-2026,Put,23850,93,31.85,191.99,57863,25935,31928,5382699,280355.18606,280355.18606,23815.85,OPTIDXNIFTY12-05-2026PE23850,OPTIDX,123.11
RR,NIFTY,Index Options,12-May-2026,Put,23400,4.8,4.35,10.34,83999,54645,29354,1730510,6805.23057,6805.23057,23815.85,OPTIDXNIFTY12-05-2026PE23400,OPTIDX,53.72
RR,NIFTY,Index Options,12-May-2026,Put,23650,27.1,12.45,117.67,46888,21797,25091,2068218,34737.78952,34737.78952,23815.85,OPTIDXNIFTY12-05-2026PE23650,OPTIDX,115.11
RR,NIFTY,Index Options,12-May-2026,Put,23750,53.55,19.85,169.77,48284,26495,21789,3006989,91492.1508,91492.1508,23815.85,OPTIDXNIFTY12-05-2026PE23750,OPTIDX,82.24
RR,NIFTY,Index Options,12-May-2026,Put,23900,118.45,40.05,195.76,79152,60339,18813,9740966,615497.54815,615497.54815,23815.85,OPTIDXNIFTY12-05-2026PE23900,OPTIDX,31.18
RR,NIFTY,Index Options,19-May-2026,Put,22500,11.3,5.75,96.52,41749,23285,18464,76321,472.27434,472.27434,23815.85,OPTIDXNIFTY19-05-2026PE22500,OPTIDX,79.3
RR,NIFTY,Index Options,19-May-2026,Put,22000,6.9,3.65,89.04,34653,16913,17740,58308,201.25006,201.25006,23815.85,OPTIDXNIFTY19-05-2026PE22000,OPTIDX,104.89
RR,NIFTY,Index Options,19-May-2026,Put,23900,268.8,130.5,105.98,18317,4966,13351,140953,22112.35425,22112.35425,23815.85,OPTIDXNIFTY19-05-2026PE23900,OPTIDX,268.85
RR,NIFTY,Index Options,19-May-2026,Put,23000,35.15,14.6,140.75,32069,19880,12189,126723,2519.69677,2519.69677,23815.85,OPTIDXNIFTY19-05-2026PE23000,OPTIDX,61.31
RR,NIFTY,Index Options,26-May-2026,Put,22800,63.85,31.9,100.16,18832,7849,10983,35930,1287.53358,1287.53358,23815.85,OPTIDXNIFTY26-05-2026PE22800,OPTIDX,139.93
RR,NIFTY,Index Options,19-May-2026,Put,24000,322,161.95,98.83,24745,14124,10621,154222,28807.20449,28807.20449,23815.85,OPTIDXNIFTY19-05-2026PE24000,OPTIDX,75.2
RR,NIFTY,Index Options,12-May-2026,Put,23550,13.65,8.05,69.57,39125,30622,8503,1675364,15518.05905,15518.05905,23815.85,OPTIDXNIFTY12-05-2026PE23550,OPTIDX,27.77
RR,NIFTY,Index Options,19-May-2026,Put,23700,180.25,82.6,118.22,16813,8771,8042,67068,6948.47953,6948.47953,23815.85,OPTIDXNIFTY19-05-2026PE23700,OPTIDX,91.69
RR,NIFTY,Index Options,19-May-2026,Put,21400,3.75,2.5,50,18163,10190,7973,19744,39.78416,39.78416,23815.85,OPTIDXNIFTY19-05-2026PE21400,OPTIDX,78.24
RR,NIFTY,Index Options,12-May-2026,Put,23450,6.85,5.3,29.25,35020,27150,7870,1256049,6368.16843,6368.16843,23815.85,OPTIDXNIFTY12-05-2026PE23450,OPTIDX,28.99
RR,NIFTY,Index Options,19-May-2026,Put,23500,116.2,50.95,128.07,22966,15285,7681,135618,8931.53024,8931.53024,23815.85,OPTIDXNIFTY19-05-2026PE23500,OPTIDX,50.25
RR,NIFTY,Index Options,19-May-2026,Put,22700,17.15,7.35,133.33,10435,2975,7460,42353,394.49701,394.49701,23815.85,OPTIDXNIFTY19-05-2026PE22700,OPTIDX,250.76
RR,NIFTY,Index Options,12-May-2026,Put,23700,39.5,15.85,149.21,80852,73445,7407,4294490,97476.33402,97476.33402,23815.85,OPTIDXNIFTY12-05-2026PE23700,OPTIDX,10.09
RR,NIFTY,Index Options,26-May-2026,Put,23850,340.7,187.1,82.1,8168,1091,7077,13144,2808.36675,2808.36675,23815.85,OPTIDXNIFTY26-05-2026PE23850,OPTIDX,648.67
RR,NIFTY,Index Options,26-May-2026,Put,24000,409.55,236.2,73.39,74312,67450,6862,114024,27757.77451,27757.77451,23815.85,OPTIDXNIFTY26-05-2026PE24000,OPTIDX,10.17
RR,NIFTY,Index Options,26-May-2026,Put,23900,355.8,202.8,75.44,15499,8782,6717,45983,9921.03917,9921.03917,23815.85,OPTIDXNIFTY26-05-2026PE23900,OPTIDX,76.49
RR,NIFTY,Index Options,26-May-2026,Put,23000,90.5,45.3,99.78,62137,55510,6627,90113,4787.7938,4787.7938,23815.85,OPTIDXNIFTY26-05-2026PE23000,OPTIDX,11.94
