changeInOI,expiryDate,instrument,latestOI,ltp,optionType,pChange,premTurnover,prevClose,prevOI,strikePrice,symbol,turnover,type,underlyingValue,volume,identifier,instrumentType,pChangeInOI
-2770,25-Aug-2026,Stock Options,2070,10.25,Call,28.13,1315.7082,8,4840,405,BEL,1315.7082,SR,410.5,9052,OPTSTKBEL25-08-2026CE405,OPTSTK,-57.23
-2149,25-Aug-2026,Stock Futures,50157,14095,-,2.5,55145.954,13751,52306,0,DIXON,55145.954,SR,14035,7925,FUTSTKDIXON25-08-2026XX0,FUTSTK,-4.11
-2024,25-Aug-2026,Index Options,46453,555,Put,6.1,13767.01943,523.1,48477,58000,BANKNIFTY,13767.01943,SR,57635.25,77789,OPTIDXBANKNIFTY25-08-2026PE58000,OPTIDX,-4.18
-1536,25-Aug-2026,Stock Options,1958,22.45,Call,58.1,1080.2192,14.2,3494,930,GODREJCP,1080.2192,SR,936.9,11443,OPTSTKGODREJCP25-08-2026CE930,OPTSTK,-43.96
-1387,25-Aug-2026,Stock Options,976,25.35,Call,41.62,2971.82925,17.9,2363,610,KALYANKJIL,2971.82925,SR,613.4,9230,OPTSTKKALYANKJIL25-08-2026CE610,OPTSTK,-58.7
-1344,25-Aug-2026,Stock Options,2433,13.2,Call,53.49,589.363,8.6,3777,950,GODREJCP,589.363,SR,936.9,10814,OPTSTKGODREJCP25-08-2026CE950,OPTSTK,-35.58
-1160,25-Aug-2026,Stock Futures,68874,411.15,-,1.39,50328.81661,405.5,70034,0,BEL,50328.81661,SR,410.5,8613,FUTSTKBEL25-08-2026XX0,FUTSTK,-1.66
-1113,25-Aug-2026,Stock Options,2109,17.3,Call,56.56,741.03705,11.05,3222,940,GODREJCP,741.03705,SR,936.9,10089,OPTSTKGODREJCP25-08-2026CE940,OPTSTK,-34.54
-1085,25-Aug-2026,Stock Options,1286,28.35,Call,59.27,1030.90965,17.8,2371,920,GODREJCP,1030.90965,SR,936.9,9111,OPTSTKGODREJCP25-08-2026CE920,OPTSTK,-45.76
-1083,25-Aug-2026,Stock Options,5534,362.7,Call,47.8,2191.46316,245.4,6617,14000,DIXON,2191.46316,SR,14035,14694,OPTSTKDIXON25-08-2026CE14000,OPTSTK,-16.37
-1047,25-Aug-2026,Stock Options,609,1591.6,Call,224.52,6349.93968,490.45,1656,19000,SOLARINDS,6349.93968,SR,20324,16222,OPTSTKSOLARINDS25-08-2026CE19000,OPTSTK,-63.22
-1030,25-Aug-2026,Stock Options,9024,10.85,Put,17.93,510.6816,9.2,10054,1300,RELIANCE,510.6816,SR,1317,8448,OPTSTKRELIANCE25-08-2026PE1300,OPTSTK,-10.24
-893,25-Aug-2026,Stock Options,994,43,Call,56.08,745.0754,27.55,1887,900,GODREJCP,745.0754,SR,936.9,4219,OPTSTKGODREJCP25-08-2026CE900,OPTSTK,-47.32
-872,25-Aug-2026,Stock Options,1272,5.75,Call,35.29,126.4146,4.25,2144,980,GODREJCP,126.4146,SR,936.9,5118,OPTSTKGODREJCP25-08-2026CE980,OPTSTK,-40.67
-838,25-Aug-2026,Stock Options,6225,31.45,Call,21.19,980.96076,25.95,7063,2400,TCS,980.96076,SR,2375,15384,OPTSTKTCS25-08-2026CE2400,OPTSTK,-11.86
-806,25-Aug-2026,Stock Futures,33104,4076.7,-,0.66,12480.90699,4050.1,33910,0,DMART,12480.90699,SR,4070,2047,FUTSTKDMART25-08-2026XX0,FUTSTK,-2.38
-799,25-Aug-2026,Stock Options,532,23.5,Call,162.57,1005.97612,8.95,1331,520,CONCOR,1005.97612,SR,533.65,4977,OPTSTKCONCOR25-08-2026CE520,OPTSTK,-60.03
-699,25-Aug-2026,Stock Options,4896,16,Put,2.89,1166.54422,15.55,5595,1080,SBIN,1166.54422,SR,1083,9619,OPTSTKSBIN25-08-2026PE1080,OPTSTK,-12.49
-643,25-Aug-2026,Stock Options,6943,174.95,Call,45.25,651.34104,120.45,7586,14500,DIXON,651.34104,SR,14035,9492,OPTSTKDIXON25-08-2026CE14500,OPTSTK,-8.48
-612,25-Aug-2026,Stock Futures,32677,936.4,-,2.88,55253.95925,910.2,33289,0,GODREJCP,55253.95925,SR,936.9,11885,FUTSTKGODREJCP25-08-2026XX0,FUTSTK,-1.84
-598,25-Aug-2026,Stock Options,1082,9.8,Call,47.37,261.4831,6.65,1680,960,GODREJCP,261.4831,SR,936.9,6211,OPTSTKGODREJCP25-08-2026CE960,OPTSTK,-35.6
-598,25-Aug-2026,Stock Options,3702,13.8,Call,28.97,926.15737,10.7,4300,400,BEL,926.15737,SR,410.5,4950,OPTSTKBEL25-08-2026CE400,OPTSTK,-13.91
-593,25-Aug-2026,Stock Options,372,133.9,Call,247.79,925.32241,38.5,965,1460,ASTRAL,925.32241,SR,1592,2201,OPTSTKASTRAL25-08-2026CE1460,OPTSTK,-61.45
-593,25-Aug-2026,Stock Options,1268,9.45,Put,119.77,788.09662,4.3,1861,400,NATIONALUM,788.09662,SR,400.5,6154,OPTSTKNATIONALUM25-08-2026PE400,OPTSTK,-31.86
-579,25-Aug-2026,Stock Options,1567,90.75,Call,23.98,738.46692,73.2,2146,2300,TCS,738.46692,SR,2375,4066,OPTSTKTCS25-08-2026CE2300,OPTSTK,-26.98
