symbol,shortName,price,changePct,volume
WIX,Wix.com Ltd.,55.32,-27.1,10968232
REZI,"Resideo Technologies, Inc.",30.11,-17.91,5710864
BIRK,Birkenstock Holding plc,33.07,-12.86,8556037
CAI,"Caris Life Sciences, Inc.",14.69,-12.35,6952579
BGSI,Boyd Group Services Inc.,98.12,-12.13,140373
PAGS,PagSeguro Digital Ltd.,8.63,-11.76,10525839
ALM,Almonty Industries Inc.,19.53,-11.71,5501512
YSS,York Space Systems Inc.,28.24,-11.67,4403382
DT,"Dynatrace, Inc.",34.73,-11.43,20598738
DOCS,"Doximity, Inc.",23.39,-11.57,9483345
BELFA,Bel Fuse Inc.,239.92,-10.88,34829
BELFB,Bel Fuse Inc.,266.92,-10.5,421736
SGML,Sigma Lithium Corporation,18.83,-9.82,3917160
GLBE,Global-E Online Ltd.,27.54,-8.9,3674225
EXLS,"ExlService Holdings, Inc.",27.16,-8.64,3354716
