symbol,latestOI,prevOI,changeInOI,avgInOI,volume,futValue,optValue,total,premValue,underlyingValue
ALKEM,30160,20154,10006,49.65,132821,52623.20332,86183583332,63270.03665,10646.83332,5368
PAGEIND,41747,28896,12851,44.47,199850,73011.48691,145819131298,86389.5999,13378.11298,36750
BDL,49344,37152,12192,32.82,268919,136204.25143,149762138974,166416.75117,30212.49974,1398
VOLTAS,48161,38934,9227,23.7,149854,50937.00056,71640168858,65584.31415,14647.31358,1320
TIINDIA,20350,16532,3818,23.09,46628,17032.56312,24343842294,20860.58606,3828.02294,2733
ASHOKLEY,73993,61971,12022,19.4,191185,150056.266,158458718800,172979.579,22923.313,171
JUBLFOOD,55818,46985,8833,18.8,209285,100644.14512,125497151100,122335.03112,21690.886,504
NATIONALUM,62997,54542,8455,15.5,108370,57174.87993,74364819375,68224.19868,11049.31875,376
TMPV,125746,109516,16230,14.82,244855,131229.56656,122323593856,145837.66512,14608.09856,334
SOLARINDS,53208,46465,6743,14.51,307683,119429.20498,300876740376,154597.10875,35167.90376,19969
MFSL,37145,33027,4118,12.47,146107,81284.15604,84298246720,95049.58324,13765.4272,1538
OFSS,33368,30396,2972,9.78,50622,43184.33365,56266248691,51930.32056,8745.98691,11828
NIFTY,8510143,7829505,680638,8.69,73926392,501231.32822,117404564652819,3298729.78642,2797498.45819,24366
APLAPOLLO,33050,30845,2205,7.15,34537,40151.91621,21440829585,43169.87206,3017.95585,2083
MAXHEALTH,45279,42305,2974,7.03,62591,39769.06652,30006709099,43587.21501,3818.14849,1008
COCHINSHIP,28039,26231,1808,6.89,22483,17648.987,12098911984,19689.30684,2040.31984,1496
BSE,167442,156655,10787,6.89,156316,90938.2267,104512336060,105103.1873,14164.9606,3447
SBICARD,52539,49210,3329,6.76,22567,25305.56232,9276543336,26319.87568,1014.31336,633
BANKNIFTY,1271705,1191671,80034,6.72,2491211,247062.78022,4311895228370,487745.11392,240682.3337,57491
MAZDOCK,53907,50517,3390,6.71,53783,26802.83079,29541718098,31930.41177,5127.58098,2580
HAVELLS,27170,25509,1661,6.51,25401,16356.9567,15078055730,18021.814,1664.8573,1298
PATANJALI,56576,53144,3432,6.46,25251,17402.30059,8039317195,19154.27754,1751.97695,352
FINNIFTY,25952,24398,1554,6.37,29242,2212.28196,46471569730,4187.48926,1975.2073,26213
SBILIFE,29568,27809,1759,6.33,13985,10885.90672,8608697673,11675.00846,789.10173,1795
CIPLA,50760,47742,3018,6.32,25056,15080.07984,14337263174,16654.43658,1574.35674,1450
RECLTD,57496,54135,3361,6.21,42001,28997.25585,20038358875,31202.61086,2205.355,335
DRREDDY,57584,54277,3307,6.09,18002,38590.82781,9755605450,39550.31981,959.492,1200
LODHA,37858,35924,1934,5.38,25097,20129.26825,17882459737,22690.99062,2561.72237,1243
ANGELONE,34072,32378,1694,5.23,15699,18190.64725,10140435975,19393.007,1202.35975,287
JIOFIN,194017,184915,9102,4.92,92515,72813.15341,49625903042,79458.49633,6645.34292,249
AMBER,50417,48128,2289,4.76,210370,87234.69816,146126655711,104198.25527,16963.55711,7222
KFINTECH,17154,16377,777,4.74,10317,9943.64474,4681278653,10563.46127,619.81653,940
CONCOR,32653,31294,1359,4.34,33946,20283.62737,21221780600,23801.43337,3517.806,527
TRENT,107077,102621,4456,4.34,67089,60289.14163,40658230831,65786.65245,5497.51081,2978
RELIANCE,487482,467235,20247,4.33,200530,93688.53465,124640248185,104480.7665,10792.23185,1310
NBCC,27295,26183,1112,4.25,8425,11039.19245,4020707210,11560.83955,521.6471,89
HDFCAMC,43011,41273,1738,4.21,15329,18182.78463,9987287448,19140.40911,957.62448,2485
BHARTIARTL,197733,189887,7846,4.13,364063,193739.48628,329244028657,223836.54786,30097.06157,1992
360ONE,16115,15482,633,4.09,7071,8745.67565,3395912770,9201.20335,455.5277,1180
FORCEMOT,27716,26628,1088,4.09,34464,5781.83407,14846693885,6605.52292,823.68885,18361
SHREECEM,24050,23109,941,4.07,14461,12964.29214,7984422179,13581.76394,617.47179,24795
ASIANPAINT,72603,69776,2827,4.05,44849,27049.21942,28387555662,29508.52605,2459.30662,2696
ADANIENSOL,45376,43624,1752,4.02,33718,54387.24588,32201009453,59676.94541,5289.69953,1616
MOTILALOFS,14473,13929,544,3.91,7167,11595.87333,3826306168,12028.08501,432.21168,903
HINDZINC,66676,64208,2468,3.84,61274,37763.52335,40099111192,42523.11777,4759.59442,561
MIDCPNIFTY,128939,124318,4621,3.72,176939,16252.85014,318463026988,32081.67003,15828.81988,14971
AXISBANK,222391,214458,7933,3.7,61537,53668.20068,42630198225,57501.05793,3832.85725,1217
NMDC,80917,78045,2872,3.68,26821,19766.50087,13697089605,21841.14442,2074.64355,84
JSWENERGY,39010,37635,1375,3.65,11360,7331.83733,6164596702,7831.26685,499.42952,560
SIEMENS,46325,44718,1607,3.59,41650,17956.06744,28055788467,21525.96461,3569.89717,3940
CAMS,22764,21991,773,3.52,9539,5704.10494,5732475383,6176.45877,472.35383,762
ICICIPRULI,29893,28930,963,3.33,7224,8699.50364,2569025014,8989.06878,289.56514,509
ZYDUSLIFE,26616,25845,771,2.98,26062,22456.99458,25469980596,24956.91054,2499.91596,1135
CGPOWER,45627,44316,1311,2.96,14242,14779.44546,9523697483,15970.04029,1190.59483,890
HINDALCO,119666,116314,3352,2.88,78189,52439.36166,52528100702,58308.74868,5869.38702,1029
UNITDSPR,30195,29382,813,2.77,18815,11945.67348,10638992624,13396.55972,1450.88624,1536
KAYNES,51452,50090,1362,2.72,20676,14939.45667,10494708991,16679.87158,1740.41491,3660
ONGC,67094,65323,1771,2.71,26200,14904.261,12907240830,16133.8068,1229.5458,236
ULTRACEMCO,71124,69271,1853,2.68,35234,22055.28098,18637174935,23719.68034,1664.39935,11619
AUROPHARMA,32648,31811,837,2.63,27364,20104.27996,22912627903,22953.95899,2849.67903,1622
AUBANK,37863,36893,970,2.63,10696,13210.8699,10436623240,14342.3023,1131.4324,1081
UNIONBANK,46501,45311,1190,2.63,20438,34823.49418,13746218958,37090.98189,2267.4877,187
LTF,38263,37290,973,2.61,11619,14713.0038,6905539080,15501.1446,788.1408,306
NHPC,36963,36037,926,2.57,6462,9722.04225,2589663894,9995.07369,273.03144,76
NAM-INDIA,17057,16656,401,2.41,3434,8240.262,1771370787,8353.09487,112.83287,1167
IRFC,46554,45485,1069,2.35,9830,5013.85227,4421303932,5813.60034,799.74807,87
TECHM,50269,49142,1127,2.29,21933,42791.3907,17614416072,44659.45542,1868.06472,1632
INDUSTOWER,84016,82211,1805,2.2,32467,36182.96626,17911165626,38287.46052,2104.49426,384
BPCL,33126,32421,705,2.17,10153,13811.16315,5089428692,14464.80757,653.64442,319
NIFTYFPI,240,235,5,2.13,78,35.101,137411208,36.96308,1.86208,1583
WAAREEENER,81054,79427,1627,2.05,13466,13915.30152,5144018292,14390.05944,474.75792,2682
YESBANK,60147,58962,1185,2.01,6669,12871.668,3606834007,13252.13607,380.46807,22
RADICO,14739,14451,288,1.99,9375,9903.5518,5607517605,10659.32785,755.77605,4650
WIPRO,124786,122483,2303,1.88,49453,18803.5308,26510093100,21061.2618,2257.731,184
BHEL,54815,53812,1003,1.86,77356,67172.20203,81796227948,81423.66277,14251.46073,421
LUPIN,51959,51018,941,1.84,22073,13677.63237,20567250891,15222.72628,1545.09391,2235
GMRAIRPORT,36225,35571,654,1.84,12326,10573.33275,8100214044,11382.78219,809.44944,101
VMM,16407,16111,296,1.84,3424,3929.00634,1428722215,4145.28724,216.2809,105
VEDL,110149,108193,1956,1.81,39886,15746.54152,11335541329,17308.55731,1562.01579,267
LICHSGFIN,66910,65744,1166,1.77,13097,8032.207,5909618180,8499.8888,467.6818,500
BANKBARODA,82558,81202,1356,1.67,23241,22350.34005,15012937104,24321.00235,1970.66229,248
ETERNAL,116654,114781,1873,1.63,92182,79138.8434,64804972815,88692.9828,9554.1394,318
TATASTEEL,146236,143901,2335,1.62,72353,45992.4157,32761812847,49941.38792,3948.97222,183
COALINDIA,105861,104228,1633,1.57,19981,14472.61803,9806676507,15345.6606,873.04257,407
IDFCFIRSTB,68759,67704,1055,1.56,11833,15461.24506,7968769102,16341.76533,880.52027,85
ADANIPOWER,75363,74211,1152,1.55,25359,29227.73788,16533654234,31005.84022,1778.10234,205
HINDPETRO,33823,33308,515,1.55,13756,31474.26153,7369880377,32455.59374,981.33221,373
RBLBANK,22158,21824,334,1.53,4062,11341.93439,3903194790,11742.06979,400.1354,385
HDFCBANK,1023748,1008932,14816,1.47,211663,83720.03165,95632307381,93731.18046,10011.14881,727
DABUR,51469,50729,740,1.46,12467,10162.56037,5580709487,10524.96775,362.40737,405
LTM,39624,39064,560,1.43,15095,14967.06796,9368772877,16299.12174,1332.05377,4715
ICICIGI,30514,30089,425,1.41,6811,4749.94461,3258695531,5050.35992,300.41531,1630
AMBUJACEM,98611,97251,1360,1.4,14924,12940.92924,6463801632,13561.58556,620.65632,417
INDIGO,77074,76029,1045,1.37,23359,12900.51078,17676759522,14805.156,1904.64522,5310
COLPAL,41295,40753,542,1.33,11804,7259.82801,6032614315,7605.00617,345.17815,1981
DMART,55596,54872,724,1.32,32673,20631.6097,18291715248,22662.71218,2031.10248,4060
IREDA,42831,42298,533,1.26,9698,11147.84384,4281092228,12153.94275,1006.0989,116
PRESTIGE,20375,20125,250,1.24,5735,5598.33448,3679902423,6010.17871,411.84423,1592
KALYANKJIL,66570,65757,813,1.24,34230,25064.8506,26605760890,30838.882,5774.0314,608
SBIN,305870,302171,3699,1.22,169427,77084.89162,131900899642,88898.86305,11813.97142,1067
PFC,114825,113500,1325,1.17,28661,18950.45178,12877134738,19981.91416,1031.46238,376
VBL,75511,74672,839,1.12,15362,12092.64939,7730834643,12986.03832,893.38893,435
M&M,131556,130143,1413,1.09,51669,33214.15184,32663961208,36520.10392,3305.95208,3428
ABB,44731,44263,468,1.06,39978,22820.60135,37158556338,27384.16473,4563.56338,7649
LT,132256,130878,1378,1.05,40190,24494.44607,26367010089,27250.37946,2755.93339,4057
DIVISLAB,70867,70154,713,1.02,43288,24082.64061,34750921058,27679.55119,3596.91058,8477
CDSL,51904,51390,514,1,14066,7372.78261,8564490464,8285.95225,913.16964,1344
PREMIERENE,20717,20516,201,0.98,10427,8054.58563,6626888820,8506.94383,452.3582,1017
TITAN,85621,84792,829,0.98,52948,23359.42766,45311434084,27884.3685,4524.94084,5056
SUZLON,72435,71734,701,0.98,10370,11382.01559,5519076465,11978.40124,596.38565,47
DLF,78320,77563,757,0.98,26997,22979.99868,15126151066,25111.36434,2131.36566,665
ITC,228451,226379,2072,0.92,52575,21867.00338,23636648780,23573.80618,1706.8028,278
ABCAPITAL,27253,27032,221,0.82,7432,13272.84468,8263733333,14083.50801,810.66333,401
