changeInOI,expiryDate,instrument,latestOI,ltp,optionType,pChange,premTurnover,prevClose,prevOI,strikePrice,symbol,turnover,type,underlyingValue,volume,identifier,instrumentType,pChangeInOI
-3449,21-Jul-2026,Index Options,15469,2.25,Put,-51.09,350.81524,4.6,18918,22700,NIFTY,350.81524,SS,24078.5,171884,OPTIDXNIFTY21-07-2026PE22700,OPTIDX,-18.23
-3122,21-Jul-2026,Index Options,24535,2.65,Put,-50,459.24319,5.3,27657,22800,NIFTY,459.24319,SS,24078.5,197907,OPTIDXNIFTY21-07-2026PE22800,OPTIDX,-11.29
-1957,28-Jul-2026,Stock Options,3269,4.65,Call,-5.1,266.1235,4.9,5226,1380,RELIANCE,266.1235,SS,1296,10355,OPTSTKRELIANCE28-07-2026CE1380,OPTSTK,-37.45
-1706,28-Jul-2026,Index Options,2038,1220.25,Put,-20.04,3918.5016,1526.1,3744,58800,BANKNIFTY,3918.5016,SS,57757.85,10400,OPTIDXBANKNIFTY28-07-2026PE58800,OPTIDX,-45.57
-1464,28-Jul-2026,Index Options,35606,1924.7,Put,-2.26,2868.26139,1969.15,37070,26000,NIFTY,2868.26139,SS,24078.5,2409,OPTIDXNIFTY28-07-2026PE26000,OPTIDX,-3.95
-1409,21-Jul-2026,Index Options,4687,1.2,Put,-42.86,20.19232,2.1,6096,21700,NIFTY,20.19232,SS,24078.5,20304,OPTIDXNIFTY21-07-2026PE21700,OPTIDX,-23.11
-1282,21-Jul-2026,Index Options,13066,462.4,Put,-10.95,19776.39149,519.25,14348,24500,NIFTY,19776.39149,SS,24078.5,76661,OPTIDXNIFTY21-07-2026PE24500,OPTIDX,-8.94
-1240,28-Jul-2026,Stock Options,1487,13,Put,-37.5,1153.39572,20.8,2727,510,KALYANKJIL,1153.39572,SS,544.6,5428,OPTSTKKALYANKJIL28-07-2026PE510,OPTSTK,-45.47
-1160,28-Jul-2026,Index Options,9253,112.85,Put,-34.56,883.89146,172.45,10413,55500,BANKNIFTY,883.89146,SS,57757.85,26596,OPTIDXBANKNIFTY28-07-2026PE55500,OPTIDX,-11.14
-1130,28-Jul-2026,Index Options,13883,7,Put,-27.08,9.10967,9.6,15013,50000,BANKNIFTY,9.10967,SS,57757.85,4137,OPTIDXBANKNIFTY28-07-2026PE50000,OPTIDX,-7.53
-1069,28-Jul-2026,Index Options,14601,19,Put,-33.91,91.19419,28.75,15670,53000,BANKNIFTY,91.19419,SS,57757.85,15056,OPTIDXBANKNIFTY28-07-2026PE53000,OPTIDX,-6.82
-999,28-Jul-2026,Index Options,41003,1360.8,Put,-16.97,5283.14589,1639,42002,59000,BANKNIFTY,5283.14589,SS,57757.85,13805,OPTIDXBANKNIFTY28-07-2026PE59000,OPTIDX,-2.38
-971,21-Jul-2026,Index Options,67495,1.2,Put,-38.46,70.99686,1.95,68466,21600,NIFTY,70.99686,SS,24078.5,73306,OPTIDXNIFTY21-07-2026PE21600,OPTIDX,-1.42
-936,28-Jul-2026,Stock Options,12111,29.5,Call,-7.23,2774.90466,31.8,13047,2200,TCS,2774.90466,SS,2187,41096,OPTSTKTCS28-07-2026CE2200,OPTSTK,-7.17
-864,28-Jul-2026,Index Options,16611,7.3,Call,-17.98,145.08936,8.9,17475,25200,NIFTY,145.08936,SS,24078.5,25835,OPTIDXNIFTY28-07-2026CE25200,OPTIDX,-4.94
-840,28-Jul-2026,Index Options,17325,36.75,Put,-36.09,516.88751,57.5,18165,54000,BANKNIFTY,516.88751,SS,57757.85,46341,OPTIDXBANKNIFTY28-07-2026PE54000,OPTIDX,-4.62
-812,28-Jul-2026,Index Options,48120,1.7,Call,-20.93,21.13622,2.15,48932,26000,NIFTY,21.13622,SS,24078.5,17769,OPTIDXNIFTY28-07-2026CE26000,OPTIDX,-1.66
-812,28-Jul-2026,Index Options,14293,1027.9,Put,-20.1,8197.13721,1286.45,15105,58500,BANKNIFTY,8197.13721,SS,57757.85,27787,OPTIDXBANKNIFTY28-07-2026PE58500,OPTIDX,-5.38
-800,28-Jul-2026,Stock Options,3743,67.55,Put,-47.08,168.2032,127.65,4543,12500,DIXON,168.2032,SS,13701,4024,OPTSTKDIXON28-07-2026PE12500,OPTSTK,-17.61
-742,28-Jul-2026,Stock Options,10148,5,Put,-16.67,105.2973,6,10890,2000,TCS,105.2973,SS,2187,7932,OPTSTKTCS28-07-2026PE2000,OPTSTK,-6.81
-718,28-Jul-2026,Stock Options,10193,14.75,Put,-12.2,742.96026,16.8,10911,2100,TCS,742.96026,SS,2187,19021,OPTSTKTCS28-07-2026PE2100,OPTSTK,-6.58
-716,28-Jul-2026,Stock Options,1037,10.85,Put,-19.93,77.38621,13.55,1753,1300,ASTRAL,77.38621,SS,1359,1427,OPTSTKASTRAL28-07-2026PE1300,OPTSTK,-40.84
-715,28-Jul-2026,Index Options,21868,26.25,Call,-0.19,357.06295,26.3,22583,61000,BANKNIFTY,357.06295,SS,57757.85,42462,OPTIDXBANKNIFTY28-07-2026CE61000,OPTIDX,-3.17
-694,28-Jul-2026,Index Options,1189,125.5,Put,-36.68,241.28719,198.2,1883,55700,BANKNIFTY,241.28719,SS,57757.85,6351,OPTIDXBANKNIFTY28-07-2026PE55700,OPTIDX,-36.86
-682,28-Jul-2026,Stock Options,2937,11.4,Put,-13.31,210.53097,13.15,3619,2080,TCS,210.53097,SS,2187,6988,OPTSTKTCS28-07-2026PE2080,OPTSTK,-18.84
