symbol,shortName,price,changePct,volume
CELC,Celcuity Inc.,91.51,-17.6,8748592
PNR,Pentair plc.,64.33,-15.0,11103676
UTI,Universal Technical Institute I,40.33,-13.55,1857545
AAOI,"Applied Optoelectronics, Inc.",109.09,-13.04,10125182
CVSA,Covista Inc.,115.82,-12.33,651850
ERIE,Erie Indemnity Company,210.19,-11.86,641157
STUB,"StubHub Holdings, Inc.",9.46,-11.34,12868588
ALM,Almonty Industries Inc.,14.01,-11.27,5663700
PRDO,Perdoceo Education Corporation,32.345,-10.94,2013432
LEGN,Legend Biotech Corporation,23.04,-10.25,5220938
DELL,Dell Technologies Inc.,412.68,-9.8,12231829
CBRS,Cerebras Systems Inc.,184.01,-9.71,4323054
OUST,"Ouster, Inc.",37.95,-9.58,4650082
PGR,Progressive Corporation (The),205.22,-9.43,7220480
YSS,York Space Systems Inc.,19.27,-9.36,629069
