changeInOI,expiryDate,instrument,latestOI,ltp,optionType,pChange,premTurnover,prevClose,prevOI,strikePrice,symbol,turnover,type,underlyingValue,volume,identifier,instrumentType,pChangeInOI
-157693,15-Sep-2026,Index Options,54650,181.3,Put,254.79,549003.43219,51.1,212343,23300,NIFTY,549003.43219,SR,23118.6,17699511,OPTIDXNIFTY15-09-2026PE23300,OPTIDX,-74.26
-97214,15-Sep-2026,Index Options,41089,282.15,Put,249.63,488208.99125,80.7,138303,23400,NIFTY,488208.99125,SR,23118.6,9419247,OPTIDXNIFTY15-09-2026PE23400,OPTIDX,-70.29
-84828,15-Sep-2026,Index Options,38843,131.35,Put,220.37,341667.95598,41,123671,23250,NIFTY,341667.95598,SR,23118.6,14245068,OPTIDXNIFTY15-09-2026PE23250,OPTIDX,-68.59
-77549,15-Sep-2026,Index Options,92267,81.25,Put,149.62,353270.46641,32.55,169816,23200,NIFTY,353270.46641,SR,23118.6,18122475,OPTIDXNIFTY15-09-2026PE23200,OPTIDX,-45.67
-68804,15-Sep-2026,Index Options,24801,230.9,Put,258.82,434153.33507,64.35,93605,23350,NIFTY,434153.33507,SR,23118.6,10757420,OPTIDXNIFTY15-09-2026PE23350,OPTIDX,-73.5
-40136,15-Sep-2026,Index Options,25181,381.05,Put,202.66,342497.30892,125.9,65317,23500,NIFTY,342497.30892,SR,23118.6,4587888,OPTIDXNIFTY15-09-2026PE23500,OPTIDX,-61.45
-37222,15-Sep-2026,Index Options,17366,332.2,Put,228.59,289458.19879,101.1,54588,23450,NIFTY,289458.19879,SR,23118.6,4976758,OPTIDXNIFTY15-09-2026PE23450,OPTIDX,-68.19
-13035,15-Sep-2026,Index Options,8361,480.4,Put,152.84,126094.58436,190,21396,23600,NIFTY,126094.58436,SR,23118.6,1001299,OPTIDXNIFTY15-09-2026PE23600,OPTIDX,-60.92
-11869,15-Sep-2026,Index Options,11222,583.1,Put,116.52,37582.17698,269.3,23091,23700,NIFTY,37582.17698,SR,23118.6,196937,OPTIDXNIFTY15-09-2026PE23700,OPTIDX,-51.4
-11679,29-Sep-2026,Stock Options,32898,11.85,Call,26.06,7317.92587,9.4,44577,720,HDFCBANK,7317.92587,SR,716.55,80705,OPTSTKHDFCBANK29-09-2026CE720,OPTSTK,-26.2
-11373,15-Sep-2026,Index Options,8423,883.8,Put,59.39,13591.43728,554.5,19796,24000,NIFTY,13591.43728,SR,23118.6,32729,OPTIDXNIFTY15-09-2026PE24000,OPTIDX,-57.45
-9214,15-Sep-2026,Index Options,7927,781,Put,71.03,8249.0355,456.65,17141,23900,NIFTY,8249.0355,SR,23118.6,22594,OPTIDXNIFTY15-09-2026PE23900,OPTIDX,-53.75
-8440,29-Sep-2026,Stock Futures,190043,1080.9,-,3.68,203283.2592,1042.5,198483,0,INFY,203283.2592,SR,1077,46584,FUTSTKINFY29-09-2026XX0,FUTSTK,-4.25
-8236,15-Sep-2026,Index Options,5923,432.65,Put,179.13,114917.8484,155,14159,23550,NIFTY,114917.8484,SR,23118.6,1259146,OPTIDXNIFTY15-09-2026PE23550,OPTIDX,-58.17
-5454,15-Sep-2026,Index Options,10421,683.15,Put,90.03,11090.08317,359.5,15875,23800,NIFTY,11090.08317,SR,23118.6,39958,OPTIDXNIFTY15-09-2026PE23800,OPTIDX,-34.36
-4500,15-Sep-2026,Index Options,2282,633,Put,99.31,9257.76823,317.6,6782,23750,NIFTY,9257.76823,SR,23118.6,38291,OPTIDXNIFTY15-09-2026PE23750,OPTIDX,-66.35
-4442,29-Sep-2026,Stock Options,13756,16.7,Call,25.09,4153.21049,13.35,18198,710,HDFCBANK,4153.21049,SR,716.55,31306,OPTSTKHDFCBANK29-09-2026CE710,OPTSTK,-24.41
-4118,15-Sep-2026,Index Options,4025,532.25,Put,134.68,39458.14922,226.8,8143,23650,NIFTY,39458.14922,SR,23118.6,262428,OPTIDXNIFTY15-09-2026PE23650,OPTIDX,-50.57
-3975,29-Sep-2026,Stock Options,24353,1.3,Call,30,221.65006,1,28328,800,HDFCBANK,221.65006,SR,716.55,30177,OPTSTKHDFCBANK29-09-2026CE800,OPTSTK,-14.03
-3262,29-Sep-2026,Stock Options,18564,23.5,Call,24.34,4755.89088,18.9,21826,700,HDFCBANK,4755.89088,SR,716.55,25836,OPTSTKHDFCBANK29-09-2026CE700,OPTSTK,-14.95
-3175,29-Sep-2026,Index Options,27043,609.6,Put,49.87,5397.865,406.75,30218,23800,NIFTY,5397.865,SR,23118.6,16446,OPTIDXNIFTY29-09-2026PE23800,OPTIDX,-10.51
-2964,29-Sep-2026,Stock Options,8362,6.25,Call,86.57,772.61632,3.35,11326,1140,INFY,772.61632,SR,1077,24637,OPTSTKINFY29-09-2026CE1140,OPTSTK,-26.17
-2647,15-Sep-2026,Index Options,2239,1384.2,Put,31.77,3881.67952,1050.45,4886,24500,NIFTY,3881.67952,SR,23118.6,5173,OPTIDXNIFTY15-09-2026PE24500,OPTIDX,-54.18
-2393,29-Sep-2026,Index Options,53332,1637.1,Put,68.21,3903.03607,973.25,55725,57500,BANKNIFTY,3903.03607,SR,55794.75,10029,OPTIDXBANKNIFTY29-09-2026PE57500,OPTIDX,-4.29
-2329,29-Sep-2026,Stock Options,14459,2.45,Call,63.33,247.88232,1.5,16788,1200,INFY,247.88232,SR,1077,22617,OPTSTKINFY29-09-2026CE1200,OPTSTK,-13.87
