symbol,shortName,price,changePct,volume
ENVA,"Enova International, Inc.",173.61,-23.43,1840281
ALHC,"Alignment Healthcare, Inc.",10.37,-19.86,28542568
ARWR,"Arrowhead Pharmaceuticals, Inc.",70.67,-12.4,4324239
WING,Wingstop Inc.,100.84,-12.09,2885761
CRCL,"Circle Internet Group, Inc.",86.3,-11.41,22582884
RML,Resolution Minerals Ltd American Depositary Shares,6.66,-10.72,82321
BOOT,"Boot Barn Holdings, Inc.",128.37,-10.13,1892140
COIN,"Coinbase Global, Inc.",172.11,-10.1,18642816
AXON,"Axon Enterprise, Inc.",442.08,-9.81,2772376
ASND,Ascendis Pharma A/S,239.77,-9.49,2961189
CAVA,"CAVA Group, Inc.",49.99,-8.93,7385234
DFTX,"Definium Therapeutics, Inc.",36.82,-8.52,4520977
BMNR,"BitMine Immersion Technologies,",23.6,-8.39,51660507
SHAK,"Shake Shack, Inc.",58.27,-8.25,1645643
IONS,"Ionis Pharmaceuticals, Inc.",47.25,-8.15,6786112
