symbol,shortName,price,change,changePct,volume,avgVolume,marketCap
NOK,Nokia Corporation Sponsored,9.84,0.19,1.97,83579001,85342837,55090663424
INTC,Intel Corporation,97.14,-0.05,-0.05,83570756,109706588,513492254720
AAL,"American Airlines Group, Inc.",12.77,-0.33,-2.52,82583688,97548195,8453356032
PATH,"UiPath, Inc.",14.23,-0.43,-2.93,71784524,70190198,7416041472
SPCX,Space Exploration Technologies ,143.49,-4.66,-3.15,71511608,99514872,1890364162048
GRAB,Grab Holdings Limited,2.91,-0.11,-3.64,69285333,46603435,11905688576
ONDS,Ondas Inc,7.24,0.01,0.14,67505743,81724806,4137331456
RIG,Transocean Ltd (Switzerland),5.94,0.49,8.99,66936233,41120824,6634268160
NVDA,NVIDIA Corporation,212.17,1.21,0.57,85131691,131800961,5123268935680
KVUE,Kenvue Inc.,17.92,0.01,0.06,53824402,22244566,34420260864
BMNR,"BitMine Immersion Technologies,",23.6,-2.16,-8.39,51660507,38976359,14236142592
NU,Nu Holdings Ltd.,14.19,-0.22,-1.53,59505968,77380535,68547473408
BAC,Bank of America Corporation,59.52,0.05,0.08,50692495,32814440,416208388096
SOFI,"SoFi Technologies, Inc.",17.07,-0.58,-3.29,49666513,66694661,22047105024
MARA,"MARA Holdings, Inc.",11.24,-0.26,-2.26,48844540,47481312,4342004224
HL,Hecla Mining Company,18.68,-0.14,-0.74,46522071,36654238,12528907264
SNAP,Snap Inc.,5.83,-0.01,-0.17,45666487,40188066,9859682304
PLUG,"Plug Power, Inc.",2.05,-0.01,-0.49,42982603,55200598,2864250112
OPEN,Opendoor Technologies Inc,2.65,-0.14,-5.02,42198638,55857141,2556552192
CDE,"Coeur Mining, Inc.",19.91,0.03,0.15,40170835,38178456,20466184192
PFE,"Pfizer, Inc.",27.55,-0.17,-0.61,38711616,41678680,157026009088
HBAN,Huntington Bancshares Incorpora,16.75,-0.02,-0.12,37013405,22760388,33841948672
T,AT&T Inc.,26.72,0.21,0.79,36533759,59959993,183095738368
AMZN,"Amazon.com, Inc.",248.42,-5.12,-2.02,35783529,46950495,2679535828992
F,Ford Motor Company,13.5,-0.36,-2.6,45292940,49376472,53832544256
