changeInOI,expiryDate,instrument,latestOI,ltp,optionType,pChange,premTurnover,prevClose,prevOI,strikePrice,symbol,turnover,type,underlyingValue,volume,identifier,instrumentType,pChangeInOI
14775,22-Sep-2026,Index Options,41551,151.7,Call,7.44,213509.03595,141.2,26776,23250,NIFTY,213509.03595,RR,23217.6,2005467,OPTIDXNIFTY22-09-2026CE23250,OPTIDX,55.18
11113,22-Sep-2026,Index Options,67543,125.6,Call,5.41,204217.28245,119.15,56430,23300,NIFTY,204217.28245,RR,23217.6,2278486,OPTIDXNIFTY22-09-2026CE23300,OPTIDX,19.69
10257,22-Sep-2026,Index Options,66335,181.95,Call,8.69,289213.24749,167.4,56078,23200,NIFTY,289213.24749,RR,23217.6,2332111,OPTIDXNIFTY22-09-2026CE23200,OPTIDX,18.29
6611,29-Sep-2026,Index Options,36509,206.3,Call,4.85,12714.90347,196.75,29898,23300,NIFTY,12714.90347,RR,23217.6,91434,OPTIDXNIFTY29-09-2026CE23300,OPTIDX,22.11
5609,29-Sep-2026,Index Options,19289,265,Call,6.02,11956.98212,249.95,13680,23200,NIFTY,11956.98212,RR,23217.6,67847,OPTIDXNIFTY29-09-2026CE23200,OPTIDX,41
5219,22-Sep-2026,Index Options,26533,102.85,Call,3.84,75588.79869,99.05,21314,23350,NIFTY,75588.79869,RR,23217.6,1021077,OPTIDXNIFTY22-09-2026CE23350,OPTIDX,24.49
4854,29-Dec-2026,Index Options,5354,1341.35,Call,1.44,5318.26471,1322.25,500,22500,NIFTY,5318.26471,RR,23217.6,6084,OPTIDXNIFTY29-12-2026CE22500,OPTIDX,970.8
3026,29-Sep-2026,Stock Options,3028,4.1,Put,105,129.18351,2,2,1260,ASTRAL,129.18351,RR,1382.5,8171,OPTSTKASTRAL29-09-2026PE1260,OPTSTK,151300
2839,27-Oct-2026,Stock Futures,33973,1367,-,0.07,31097.20894,1366.1,31134,0,ICICIBANK,31097.20894,RR,1358.8,3254,FUTSTKICICIBANK27-10-2026XX0,FUTSTK,9.12
2616,27-Oct-2026,Stock Futures,94139,725,-,0.23,24535.5578,723.35,91523,0,HDFCBANK,24535.5578,RR,721.5,5218,FUTSTKHDFCBANK27-10-2026XX0,FUTSTK,2.86
2582,22-Sep-2026,Index Options,14845,248,Call,9.35,70259.97981,226.8,12263,23100,NIFTY,70259.97981,RR,23217.6,427851,OPTIDXNIFTY22-09-2026CE23100,OPTIDX,21.06
2562,29-Dec-2026,Index Options,23613,84.55,Put,0.83,805.55701,83.85,21051,21000,NIFTY,805.55701,RR,23217.6,14964,OPTIDXNIFTY29-12-2026PE21000,OPTIDX,12.17
2552,27-Oct-2026,Index Futures,52752,23372,-,0.17,95860.50289,23332,50200,0,NIFTY,95860.50289,RR,23217.6,6308,FUTIDXNIFTY27-10-2026XX0,FUTIDX,5.08
2500,29-Sep-2026,Index Options,18212,400,Call,6.79,8046.72268,374.55,15712,23000,NIFTY,8046.72268,RR,23217.6,30392,OPTIDXNIFTY29-09-2026CE23000,OPTIDX,15.91
2337,27-Oct-2026,Stock Futures,5155,1480.3,-,1.52,12592.41285,1458.1,2818,0,BLUESTARCO,12592.41285,RR,1504,2627,FUTSTKBLUESTARCO27-10-2026XX0,FUTSTK,82.93
1842,29-Sep-2026,Index Options,11359,237.5,Call,6.48,3421.09049,223.05,9517,23250,NIFTY,3421.09049,RR,23217.6,21662,OPTIDXNIFTY29-09-2026CE23250,OPTIDX,19.35
1794,22-Sep-2026,Index Options,10474,212.55,Call,8.28,77143.57844,196.3,8680,23150,NIFTY,77143.57844,RR,23217.6,540399,OPTIDXNIFTY22-09-2026CE23150,OPTIDX,20.67
1772,29-Sep-2026,Index Options,5351,297.4,Call,6.71,1580.65432,278.7,3579,23150,NIFTY,1580.65432,RR,23217.6,8068,OPTIDXNIFTY29-09-2026CE23150,OPTIDX,49.51
1667,27-Oct-2026,Index Options,35477,133.5,Call,0.79,2172.17728,132.45,33810,24000,NIFTY,2172.17728,RR,23217.6,24320,OPTIDXNIFTY27-10-2026CE24000,OPTIDX,4.93
1642,29-Sep-2026,Stock Options,1818,8.2,Call,925,986.75712,0.8,176,370,PATANJALI,986.75712,RR,365,13824,OPTSTKPATANJALI29-09-2026CE370,OPTSTK,932.95
1630,29-Sep-2026,Stock Options,6943,3.25,Call,0.93,1547.865,3.22,5313,185,TATASTEEL,1547.865,RR,183,17700,OPTSTKTATASTEEL29-09-2026CE185,OPTSTK,30.68
1625,27-Oct-2026,Stock Futures,10335,184.9,-,0.28,12559.67955,184.39,8710,0,TATASTEEL,12559.67955,RR,183,2469,FUTSTKTATASTEEL27-10-2026XX0,FUTSTK,18.66
1503,29-Sep-2026,Stock Options,4238,38.5,Call,10.47,1657.62422,34.85,2735,3100,M&M,1657.62422,RR,3070,17423,OPTSTKM&M29-09-2026CE3100,OPTSTK,54.95
1413,23-Nov-2026,Index Futures,14753,23471.9,-,0.15,39929.94907,23436,13340,0,NIFTY,39929.94907,RR,23217.6,2616,FUTIDXNIFTY23-11-2026XX0,FUTIDX,10.59
1377,29-Sep-2026,Index Options,3878,331.5,Call,7.8,2529.535,307.5,2501,23100,NIFTY,2529.535,RR,23217.6,11616,OPTIDXNIFTY29-09-2026CE23100,OPTIDX,55.06
