changeInOI,expiryDate,instrument,latestOI,ltp,optionType,pChange,premTurnover,prevClose,prevOI,strikePrice,symbol,turnover,type,underlyingValue,volume,identifier,instrumentType,pChangeInOI
52075,22-Sep-2026,Index Options,125115,69,Put,-30.93,98715.84849,99.9,73040,23000,NIFTY,98715.84849,RS,23217.6,1943321,OPTIDXNIFTY22-09-2026PE23000,OPTIDX,71.3
44834,22-Sep-2026,Index Options,114879,126.6,Put,-26.82,326918.01571,173,70045,23200,NIFTY,326918.01571,RS,23217.6,3561470,OPTIDXNIFTY22-09-2026PE23200,OPTIDX,64.01
36518,22-Sep-2026,Index Options,50485,146.75,Put,-25.72,215238.75285,197.55,13967,23250,NIFTY,215238.75285,RS,23217.6,2077133,OPTIDXNIFTY22-09-2026PE23250,OPTIDX,261.46
32700,22-Sep-2026,Index Options,96789,10.4,Call,-19.07,6441.61164,12.85,64089,23800,NIFTY,6441.61164,RS,23217.6,787772,OPTIDXNIFTY22-09-2026CE23800,OPTIDX,51.02
32275,22-Sep-2026,Index Options,57927,9.8,Put,-31.47,2461.35552,14.3,25652,22300,NIFTY,2461.35552,RS,23217.6,369795,OPTIDXNIFTY22-09-2026PE22300,OPTIDX,125.82
32165,22-Sep-2026,Index Options,102560,16.6,Put,-30.98,7272.33932,24.05,70395,22500,NIFTY,7272.33932,RS,23217.6,649345,OPTIDXNIFTY22-09-2026PE22500,OPTIDX,45.69
31612,22-Sep-2026,Index Options,65309,93.7,Put,-29.18,131276.74747,132.3,33697,23100,NIFTY,131276.74747,RS,23217.6,1903886,OPTIDXNIFTY22-09-2026PE23100,OPTIDX,93.81
31207,22-Sep-2026,Index Options,78119,38.5,Put,-31.13,21596.60131,55.9,46912,22800,NIFTY,21596.60131,RS,23217.6,792594,OPTIDXNIFTY22-09-2026PE22800,OPTIDX,66.52
27982,22-Sep-2026,Index Options,99133,5.8,Put,-24.18,1745.04106,7.65,71151,22000,NIFTY,1745.04106,RS,23217.6,471824,OPTIDXNIFTY22-09-2026PE22000,OPTIDX,39.33
27501,22-Sep-2026,Index Options,133191,5.05,Call,-26.81,2483.69192,6.9,105690,24000,NIFTY,2483.69192,RS,23217.6,694739,OPTIDXNIFTY22-09-2026CE24000,OPTIDX,26.02
25954,22-Sep-2026,Index Options,115909,49.65,Call,-6.32,66303.66927,53,89955,23500,NIFTY,66303.66927,RS,23217.6,1720743,OPTIDXNIFTY22-09-2026CE23500,OPTIDX,28.85
25715,22-Sep-2026,Index Options,55011,50.6,Put,-32.22,29433.8861,74.65,29296,22900,NIFTY,29433.8861,RS,23217.6,797515,OPTIDXNIFTY22-09-2026PE22900,OPTIDX,87.78
24869,22-Sep-2026,Index Options,53084,13.1,Put,-28.22,3187.49798,18.25,28215,22400,NIFTY,3187.49798,RS,23217.6,372067,OPTIDXNIFTY22-09-2026PE22400,OPTIDX,88.14
24764,22-Sep-2026,Index Options,83502,17.1,Call,-17.59,12235.14913,20.75,58738,23700,NIFTY,12235.14913,RS,23217.6,885386,OPTIDXNIFTY22-09-2026CE23700,OPTIDX,42.16
23527,22-Sep-2026,Index Options,69015,6.9,Call,-25.41,2432.21678,9.25,45488,23900,NIFTY,2432.21678,RS,23217.6,480343,OPTIDXNIFTY22-09-2026CE23900,OPTIDX,51.72
21907,22-Sep-2026,Index Options,41950,8.2,Call,-24.42,2452.28841,10.85,20043,23850,NIFTY,2452.28841,RS,23217.6,381086,OPTIDXNIFTY22-09-2026CE23850,OPTIDX,109.3
20618,22-Sep-2026,Index Options,38928,109.4,Put,-28.1,120747.6335,152.15,18310,23150,NIFTY,120747.6335,RS,23217.6,1489700,OPTIDXNIFTY22-09-2026PE23150,OPTIDX,112.61
20018,22-Sep-2026,Index Options,48182,8.3,Put,-27.83,1290.68888,11.5,28164,22200,NIFTY,1290.68888,RS,23217.6,240980,OPTIDXNIFTY22-09-2026PE22200,OPTIDX,71.08
19689,22-Sep-2026,Index Options,31421,1.5,Call,-28.57,183.44157,2.1,11732,24600,NIFTY,183.44157,RS,23217.6,182076,OPTIDXNIFTY22-09-2026CE24600,OPTIDX,167.82
19370,22-Sep-2026,Index Options,31507,79.75,Put,-30.89,51228.72275,115.4,12137,23050,NIFTY,51228.72275,RS,23217.6,864277,OPTIDXNIFTY22-09-2026PE23050,OPTIDX,159.59
18333,22-Sep-2026,Index Options,57146,20.65,Put,-33.81,6695.08456,31.2,38813,22600,NIFTY,6695.08456,RS,23217.6,455355,OPTIDXNIFTY22-09-2026PE22600,OPTIDX,47.23
17966,22-Sep-2026,Index Options,66837,28.05,Put,-32.89,12125.28312,41.8,48871,22700,NIFTY,12125.28312,RS,23217.6,606249,OPTIDXNIFTY22-09-2026PE22700,OPTIDX,36.76
17315,22-Sep-2026,Index Options,59787,2.9,Call,-32.56,724.46845,4.3,42472,24200,NIFTY,724.46845,RS,23217.6,349394,OPTIDXNIFTY22-09-2026CE24200,OPTIDX,40.77
16413,22-Sep-2026,Index Options,75200,29.4,Call,-13.4,26207.83372,33.95,58787,23600,NIFTY,26207.83372,RS,23217.6,1120927,OPTIDXNIFTY22-09-2026CE23600,OPTIDX,27.92
16325,22-Sep-2026,Index Options,66946,3.7,Call,-30.84,1285.5735,5.35,50621,24100,NIFTY,1285.5735,RS,23217.6,483571,OPTIDXNIFTY22-09-2026CE24100,OPTIDX,32.25
