changeInOI,expiryDate,instrument,latestOI,ltp,optionType,pChange,premTurnover,prevClose,prevOI,strikePrice,symbol,turnover,type,underlyingValue,volume,identifier,instrumentType,pChangeInOI
-70677,21-Jul-2026,Index Options,45840,279.6,Call,134.66,196187.59342,119.15,116517,24100,NIFTY,196187.59342,SR,24334.3,1556612,OPTIDXNIFTY21-07-2026CE24100,OPTIDX,-60.66
-60113,21-Jul-2026,Index Options,81773,204.85,Call,166.38,428161.05985,76.9,141886,24200,NIFTY,428161.05985,SR,24334.3,4716521,OPTIDXNIFTY21-07-2026CE24200,OPTIDX,-42.37
-48444,21-Jul-2026,Index Options,31596,250,Call,158.13,188589.18707,96.85,80040,24150,NIFTY,188589.18707,SR,24334.3,1770857,OPTIDXNIFTY21-07-2026CE24150,OPTIDX,-60.52
-27316,21-Jul-2026,Index Options,31742,363.05,Call,107.4,123254.00321,175.05,59058,24000,NIFTY,123254.00321,SR,24334.3,698911,OPTIDXNIFTY21-07-2026CE24000,OPTIDX,-46.25
-21345,21-Jul-2026,Index Options,12885,321.75,Call,121.13,58474.54966,145.5,34230,24050,NIFTY,58474.54966,SR,24334.3,397828,OPTIDXNIFTY21-07-2026CE24050,OPTIDX,-62.36
-16288,21-Jul-2026,Index Options,104372,51.5,Call,247.97,81106.21855,14.8,120660,24500,NIFTY,81106.21855,SR,24334.3,3729193,OPTIDXNIFTY21-07-2026CE24500,OPTIDX,-13.5
-13306,28-Jul-2026,Index Options,64532,438.95,Call,67.54,20060.32501,262,77838,24000,NIFTY,20060.32501,SR,24334.3,86296,OPTIDXNIFTY28-07-2026CE24000,OPTIDX,-17.09
-9148,28-Jul-2026,Index Options,30961,368.4,Call,78.1,16409.55556,206.85,40109,24100,NIFTY,16409.55556,SR,24334.3,88534,OPTIDXNIFTY28-07-2026CE24100,OPTIDX,-22.81
-8934,28-Jul-2026,Index Options,41466,963,Call,78.35,44354.08051,539.95,50400,58000,BANKNIFTY,44354.08051,SR,58521.4,206444,OPTIDXBANKNIFTY28-07-2026CE58000,OPTIDX,-17.73
-6835,28-Jul-2026,Index Options,71896,415.7,Call,118.96,13425.19434,189.85,78731,59000,BANKNIFTY,13425.19434,SR,58521.4,146892,OPTIDXBANKNIFTY28-07-2026CE59000,OPTIDX,-8.68
-6206,28-Jul-2026,Index Options,75249,137.15,Call,124.65,16165.96694,61.05,81455,24500,NIFTY,16165.96694,SR,24334.3,237929,OPTIDXNIFTY28-07-2026CE24500,OPTIDX,-7.62
-5927,21-Jul-2026,Index Options,52026,2.95,Call,15.69,3360.17576,2.55,57953,24900,NIFTY,3360.17576,SR,24334.3,1706106,OPTIDXNIFTY21-07-2026CE24900,OPTIDX,-10.23
-5056,28-Jul-2026,Index Futures,232367,24345,-,1.03,1295661.45637,24096.4,237423,0,NIFTY,1295661.45637,SR,24334.3,82210,FUTIDXNIFTY28-07-2026XX0,FUTIDX,-2.13
-4510,28-Jul-2026,Index Options,11948,1321.35,Call,63.4,12012.44562,808.65,16458,57500,BANKNIFTY,12012.44562,SR,58521.4,40166,OPTIDXBANKNIFTY28-07-2026CE57500,OPTIDX,-27.4
-4236,21-Jul-2026,Index Options,97154,4.55,Put,15.19,2494.80954,3.95,101390,23300,NIFTY,2494.80954,SR,24334.3,870333,OPTIDXNIFTY21-07-2026PE23300,OPTIDX,-4.18
-4150,28-Jul-2026,Index Options,12152,1740,Call,52.34,8477.76058,1142.2,16302,57000,BANKNIFTY,8477.76058,SR,58521.4,19778,OPTIDXBANKNIFTY28-07-2026CE57000,OPTIDX,-25.46
-4099,29-Sep-2026,Index Options,18425,174.85,Call,34.29,1716.52812,130.2,22524,25500,NIFTY,1716.52812,SR,24334.3,18125,OPTIDXNIFTY29-09-2026CE25500,OPTIDX,-18.2
-4039,21-Jul-2026,Index Options,5277,451.15,Call,85.85,20068.32027,242.75,9316,23900,NIFTY,20068.32027,SR,24334.3,87791,OPTIDXNIFTY21-07-2026CE23900,OPTIDX,-43.36
-3955,28-Jul-2026,Stock Options,5635,22.05,Call,57.5,1997.49412,14,9590,1200,HCLTECH,1997.49412,SR,1203,19951,OPTSTKHCLTECH28-07-2026CE1200,OPTSTK,-41.24
-3920,28-Jul-2026,Stock Options,10622,40.7,Call,62.15,4910.7312,25.1,14542,1300,RELIANCE,4910.7312,SR,1328.8,27488,OPTSTKRELIANCE28-07-2026CE1300,OPTSTK,-26.96
-3424,28-Jul-2026,Index Options,2526,1227.35,Call,63.36,7081.04023,751.3,5950,57600,BANKNIFTY,7081.04023,SR,58521.4,25572,OPTIDXBANKNIFTY28-07-2026CE57600,OPTIDX,-57.55
-3397,28-Jul-2026,Index Options,30523,5.6,Put,9.8,100.48231,5.1,33920,22500,NIFTY,100.48231,SR,24334.3,29901,OPTIDXNIFTY28-07-2026PE22500,OPTIDX,-10.01
-3062,28-Jul-2026,Index Options,6266,901,Call,82.02,15817.61817,495,9328,58100,BANKNIFTY,15817.61817,SR,58521.4,79444,OPTIDXBANKNIFTY28-07-2026CE58100,OPTIDX,-32.83
-2967,28-Jul-2026,Index Options,4220,1166.9,Call,67.92,9664.80643,694.9,7187,57700,BANKNIFTY,9664.80643,SR,58521.4,38394,OPTIDXBANKNIFTY28-07-2026CE57700,OPTIDX,-41.28
-2881,28-Jul-2026,Index Options,2751,400,Call,71.12,1915.34443,233.75,5632,24050,NIFTY,1915.34443,SR,24334.3,9373,OPTIDXNIFTY28-07-2026CE24050,OPTIDX,-51.15
