symbol,shortName,price,change,changePct,volume,avgVolume,marketCap
ONDS,Ondas Inc,6.525,-0.12,-1.88,213636481,74416103,3718196992
AAL,"American Airlines Group, Inc.",14.98,-0.62,-3.97,176722073,102461431,9907549184
NFLX,"Netflix, Inc.",68.95,-5.4,-7.26,141231076,40977172,290334539776
NVDA,NVIDIA Corporation,202.81,-4.59,-2.21,138213660,156889875,4912260841472
NU,Nu Holdings Ltd.,13.59,-0.2,-1.45,112287916,63315527,65646284800
INTC,Intel Corporation,95.04,-1.94,-2.0,120108222,134395727,477671030784
SKHYV,SK hynix Inc. - American Deposi,168.01,168.01,0.0,107674661,78177284,1192627142656
OPEN,Opendoor Technologies Inc,4.5,-0.07,-1.53,106419159,52619970,4341315072
NOK,Nokia Corporation Sponsored,10.12,-0.26,-2.5,115510979,113420978,56495243264
PATH,"UiPath, Inc.",12.15,0.12,1.0,90610126,48657883,6295160832
JOBY,"Joby Aviation, Inc.",7.23,-0.11,-1.5,89546970,36903508,7111737856
SOFI,"SoFi Technologies, Inc.",17.28,-0.04,-0.23,89520407,76415042,22165770240
SPCX,Space Exploration Technologies ,123.99,-7.12,-5.43,83231703,131608530,1633467367424
SKHY,SK hynix Inc.,154.03,1.72,1.13,71991315,73852760,1093389451264
T,AT&T Inc.,21.81,-0.17,-0.77,70400888,53292208,151543267328
HL,Hecla Mining Company,14.33,-0.19,-1.31,66976189,22369329,9611308032
MU,"Micron Technology, Inc.",848.95,-4.25,-0.5,62804973,51569185,958798299136
PLUG,"Plug Power, Inc.",2.17,0.02,0.93,56533295,70818781,3027299840
AAPL,Apple Inc.,333.74,0.48,0.14,63325386,54686906,4901757779968
LCID,"Lucid Group, Inc.",7.36,0.9,13.93,47786233,20284418,2872290048
SOUN,"SoundHound AI, Inc.",6.27,-0.04,-0.63,44267698,28997783,2731677184
MARA,"MARA Holdings, Inc.",10.69,-0.73,-6.39,43030675,43346519,4075781376
F,Ford Motor Company,14.23,0.04,0.28,40983666,60985968,56702177280
ATAI,AtaiBeckley Inc.,7.22,0.07,0.98,41553401,10441168,2658163456
GRAB,Grab Holdings Limited,3.57,-0.16,-4.29,41058482,50319588,14601298944
