changeInOI,expiryDate,instrument,latestOI,ltp,optionType,pChange,premTurnover,prevClose,prevOI,strikePrice,symbol,turnover,type,underlyingValue,volume,identifier,instrumentType,pChangeInOI
53898,23-Jun-2026,Index Options,86158,134.35,Call,20.28,207586.82077,111.7,32260,24100,NIFTY,207586.82077,RR,24085.7,2356063,OPTIDXNIFTY23-06-2026CE24100,OPTIDX,167.07
34742,23-Jun-2026,Index Options,45856,158.5,Call,19.98,197492.78991,132.1,11114,24050,NIFTY,197492.78991,RR,24085.7,1927276,OPTIDXNIFTY23-06-2026CE24050,OPTIDX,312.6
31611,23-Jun-2026,Index Options,100150,25.8,Call,7.05,19525.58579,24.1,68539,24500,NIFTY,19525.58579,RR,24085.7,1062588,OPTIDXNIFTY23-06-2026CE24500,OPTIDX,46.12
21144,23-Jun-2026,Index Options,61200,92.25,Call,19.03,82604.08102,77.5,40056,24200,NIFTY,82604.08102,RR,24085.7,1344369,OPTIDXNIFTY23-06-2026CE24200,OPTIDX,52.79
17671,23-Jun-2026,Index Options,53961,61.2,Call,15.47,35339.85252,53,36290,24300,NIFTY,35339.85252,RR,24085.7,843061,OPTIDXNIFTY23-06-2026CE24300,OPTIDX,48.69
15203,23-Jun-2026,Index Options,26022,111.2,Call,18.36,61486.40809,93.95,10819,24150,NIFTY,61486.40809,RR,24085.7,834829,OPTIDXNIFTY23-06-2026CE24150,OPTIDX,140.52
12508,23-Jun-2026,Index Options,41144,16.35,Call,1.87,4222.85464,16.05,28636,24600,NIFTY,4222.85464,RR,24085.7,355205,OPTIDXNIFTY23-06-2026CE24600,OPTIDX,43.68
11959,28-Jul-2026,Stock Futures,29296,1157,-,0.91,68495.3566,1146.6,17337,0,INFY,68495.3566,RR,1156,14785,FUTSTKINFY28-07-2026XX0,FUTSTK,68.98
11835,23-Jun-2026,Index Options,43306,39.5,Call,11.11,16201.02948,35.55,31471,24400,NIFTY,16201.02948,RR,24085.7,583033,OPTIDXNIFTY23-06-2026CE24400,OPTIDX,37.61
9331,30-Jun-2026,Index Options,24606,209.1,Call,16.98,9647.99805,178.75,15275,24100,NIFTY,9647.99805,RR,24085.7,71633,OPTIDXNIFTY30-06-2026CE24100,OPTIDX,61.09
9095,23-Jun-2026,Index Options,31793,74.65,Call,17.56,30663.2409,63.5,22698,24250,NIFTY,30663.2409,RR,24085.7,601022,OPTIDXNIFTY23-06-2026CE24250,OPTIDX,40.07
8296,23-Jun-2026,Index Options,16948,49,Call,12.77,13418.99465,43.45,8652,24350,NIFTY,13418.99465,RR,24085.7,391887,OPTIDXNIFTY23-06-2026CE24350,OPTIDX,95.89
7304,30-Jun-2026,Index Options,12030,616,Call,13.85,12831.29586,541.05,4726,57600,BANKNIFTY,12831.29586,RR,57585.05,68971,OPTIDXBANKNIFTY30-06-2026CE57600,OPTIDX,154.55
6731,23-Jun-2026,Index Options,14964,20.3,Call,3.31,4054.1883,19.65,8233,24550,NIFTY,4054.1883,RR,24085.7,273682,OPTIDXNIFTY23-06-2026CE24550,OPTIDX,81.76
6217,30-Jun-2026,Index Options,19149,36.1,Call,15.89,800.82366,31.15,12932,24700,NIFTY,800.82366,RR,24085.7,33810,OPTIDXNIFTY30-06-2026CE24700,OPTIDX,48.07
5700,23-Jun-2026,Index Options,14590,31.8,Call,8.72,8121.32292,29.25,8890,24450,NIFTY,8121.32292,RR,24085.7,359446,OPTIDXNIFTY23-06-2026CE24450,OPTIDX,64.12
5686,28-Jul-2026,Index Options,31427,105.2,Call,13.61,1874.26885,92.6,25741,25000,NIFTY,1874.26885,RR,24085.7,27355,OPTIDXNIFTY28-07-2026CE25000,OPTIDX,22.09
5232,30-Jun-2026,Index Options,38496,163,Call,18.67,6360.76024,137.35,33264,24200,NIFTY,6360.76024,RR,24085.7,61511,OPTIDXNIFTY30-06-2026CE24200,OPTIDX,15.73
5166,23-Jun-2026,Index Options,16511,1.15,Call,4.55,57.99011,1.1,11345,25600,NIFTY,57.99011,RR,24085.7,70806,OPTIDXNIFTY23-06-2026CE25600,OPTIDX,45.54
4614,23-Jun-2026,Index Options,9361,1.45,Call,7.41,55.614,1.35,4747,25450,NIFTY,55.614,RR,24085.7,53475,OPTIDXNIFTY23-06-2026CE25450,OPTIDX,97.2
4241,30-Jun-2026,Index Options,58953,46.95,Call,1.73,971.22135,46.15,54712,60000,BANKNIFTY,971.22135,RR,57585.05,66164,OPTIDXBANKNIFTY30-06-2026CE60000,OPTIDX,7.75
4132,30-Jun-2026,Stock Options,12349,7.95,Call,3.92,1845.52379,7.65,8217,790,HDFCBANK,1845.52379,RR,787,39154,OPTSTKHDFCBANK30-06-2026CE790,OPTSTK,50.29
4085,28-Jul-2026,Index Options,55940,321.85,Call,9.53,1192.77984,293.85,51855,60000,BANKNIFTY,1192.77984,RR,57585.05,12608,OPTIDXBANKNIFTY28-07-2026CE60000,OPTIDX,7.88
4028,28-Jul-2026,Stock Futures,75138,779.4,-,0.17,35291.05242,778.1,71110,0,HDFCBANK,35291.05242,RR,787,6949,FUTSTKHDFCBANK28-07-2026XX0,FUTSTK,5.66
3443,28-Jul-2026,Index Options,24016,505.2,Call,8.38,5363.13519,466.15,20573,24000,NIFTY,5363.13519,RR,24085.7,16629,OPTIDXNIFTY28-07-2026CE24000,OPTIDX,16.74
