changeInOI,expiryDate,instrument,latestOI,ltp,optionType,pChange,premTurnover,prevClose,prevOI,strikePrice,symbol,turnover,type,underlyingValue,volume,identifier,instrumentType,pChangeInOI
-10259,30-Jun-2026,Stock Futures,645889,774.95,-,0.16,172329.53474,773.7,656148,0,HDFCBANK,172329.53474,SR,787,40321,FUTSTKHDFCBANK30-06-2026XX0,FUTSTK,-1.56
-8116,23-Jun-2026,Index Options,34406,250.3,Call,19.82,71487.46885,208.9,42522,23900,NIFTY,71487.46885,SR,24085.7,457719,OPTIDXNIFTY23-06-2026CE23900,OPTIDX,-19.09
-7524,30-Jun-2026,Index Options,112257,264,Call,16.27,26076.18787,227.05,119782,24000,NIFTY,26076.18787,SR,24085.7,156378,OPTIDXNIFTY30-06-2026CE24000,OPTIDX,-6.28
-5749,30-Jun-2026,Index Futures,258571,24089.9,-,0.37,603217.20102,24001,264320,0,NIFTY,603217.20102,SR,24085.7,38564,FUTIDXNIFTY30-06-2026XX0,FUTIDX,-2.18
-4896,23-Jun-2026,Index Options,12362,216,Call,19.17,63204.56054,181.25,17258,23950,NIFTY,63204.56054,SR,24085.7,466033,OPTIDXNIFTY23-06-2026CE23950,OPTIDX,-28.37
-4188,30-Jun-2026,Index Options,22194,965.05,Call,12.93,18650.17739,854.55,26382,57000,BANKNIFTY,18650.17739,SR,57585.05,66362,OPTIDXBANKNIFTY30-06-2026CE57000,OPTIDX,-15.87
-3990,30-Jun-2026,Stock Futures,233158,2221.8,-,0.91,54075.4032,2201.7,237148,0,TCS,54075.4032,SR,2221,13910,FUTSTKTCS30-06-2026XX0,FUTSTK,-1.68
-3813,30-Jun-2026,Stock Options,12532,54,Call,13.21,1605.3997,47.7,16345,2200,TCS,1605.3997,SR,2221,16601,OPTSTKTCS30-06-2026CE2200,OPTSTK,-23.33
-3624,30-Jun-2026,Stock Futures,230262,1333,-,0.22,106990.02345,1330.1,233886,0,RELIANCE,106990.02345,SR,1332.1,16077,FUTSTKRELIANCE30-06-2026XX0,FUTSTK,-1.55
-3484,30-Jun-2026,Index Futures,69066,57565,-,0.42,338339.30096,57322.4,72550,0,BANKNIFTY,338339.30096,SR,57585.05,19612,FUTIDXBANKNIFTY30-06-2026XX0,FUTIDX,-4.8
-3474,30-Jun-2026,Index Options,7537,773,Call,12.4,12745.7136,687.75,11011,57300,BANKNIFTY,12745.7136,SR,57585.05,57550,OPTIDXBANKNIFTY30-06-2026CE57300,OPTIDX,-31.55
-3134,30-Jun-2026,Stock Futures,105037,1877.8,-,1.08,92752.57274,1857.7,108171,0,BHARTIARTL,92752.57274,SR,1874.2,10451,FUTSTKBHARTIARTL30-06-2026XX0,FUTSTK,-2.9
-2921,30-Jun-2026,Stock Futures,95734,184.06,-,0.94,57879.6669,182.35,98655,0,WIPRO,57879.6669,SR,184.3,10461,FUTSTKWIPRO30-06-2026XX0,FUTSTK,-2.96
-2906,30-Jun-2026,Stock Options,20107,17.5,Call,7.03,640.7086,16.35,23013,2300,TCS,640.7086,SR,2221,19952,OPTSTKTCS30-06-2026CE2300,OPTSTK,-12.63
-2531,30-Jun-2026,Stock Futures,191002,1339.9,-,0.07,99608.9619,1338.9,193533,0,ICICIBANK,99608.9619,SR,1336.5,10609,FUTSTKICICIBANK30-06-2026XX0,FUTSTK,-1.31
-2483,30-Jun-2026,Stock Futures,99294,1028.45,-,1.1,74324.7714,1017.3,101777,0,SBIN,74324.7714,SR,1026.5,9683,FUTSTKSBIN30-06-2026XX0,FUTSTK,-2.44
-2421,30-Jun-2026,Stock Futures,48866,12851,-,4.68,171033.04288,12277,51287,0,DIXON,171033.04288,SR,12840,26824,FUTSTKDIXON30-06-2026XX0,FUTSTK,-4.72
-2084,30-Jun-2026,Stock Options,13198,29.4,Call,5.38,897.70021,27.9,15282,750,HDFCBANK,897.70021,SR,787,5401,OPTSTKHDFCBANK30-06-2026CE750,OPTSTK,-13.64
-1978,30-Jun-2026,Stock Futures,46240,1008,-,0.1,45935.7129,1006.95,48218,0,SHRIRAMFIN,45935.7129,SR,1005,5510,FUTSTKSHRIRAMFIN30-06-2026XX0,FUTSTK,-4.1
-1895,30-Jun-2026,Stock Futures,19677,4303.1,-,2.24,42281.12826,4208.9,21572,0,DMART,42281.12826,SR,4300,6612,FUTSTKDMART30-06-2026XX0,FUTSTK,-8.78
-1827,30-Jun-2026,Stock Options,7642,15.4,Call,3.01,927.9749,14.95,9469,770,HDFCBANK,927.9749,SR,787,10049,OPTSTKHDFCBANK30-06-2026CE770,OPTSTK,-19.29
-1817,30-Jun-2026,Index Options,4944,831.5,Call,12.55,8676.03638,738.8,6761,57200,BANKNIFTY,8676.03638,SR,57585.05,36592,OPTIDXBANKNIFTY30-06-2026CE57200,OPTIDX,-26.87
-1736,30-Jun-2026,Stock Options,2267,32,Call,27.49,1616.36358,25.1,4003,1860,BHARTIARTL,1616.36358,SR,1874.2,13093,OPTSTKBHARTIARTL30-06-2026CE1860,OPTSTK,-43.37
-1723,30-Jun-2026,Index Options,3876,295.45,Call,16.11,2050.41042,254.45,5599,23950,NIFTY,2050.41042,SR,24085.7,10987,OPTIDXNIFTY30-06-2026CE23950,OPTIDX,-30.77
-1715,23-Jun-2026,Index Options,6821,1074.55,Call,9.12,2494.27791,984.7,8536,23000,NIFTY,2494.27791,SR,24085.7,3644,OPTIDXNIFTY23-06-2026CE23000,OPTIDX,-20.09
