symbol,series,ltp,change,pChange,priceBand,highPrice,lowPrice,yearHigh,yearLow,totalTradedVol,turnover
EMCURE,EQ,2083,173.2,   9.07,10,2100.7,1915.1,2100.7,1260,17.44754,349.079911796
LALITHAA,EQ,304.9,14.5,   4.99,5,304.9,277,343.9,240.35,85.05145,250.01724241999997
THANGAMAYL,EQ,5051.5,240.5,   5.00,5,5051.5,4794.5,7430,1939.5,3.86791,194.576372923
TBZ,EQ,603.55,28.7,   4.99,5,603.55,585.1,603.55,110.5,14.36925,86.4166695
HLEGLAS,EQ,447,31.35,   7.54,10,457.2,413,661.95,250,10.20903,45.459789687
CMRGREEN,EQ,232.5,19.24,   9.02,10,234.58,214.79,268.96,205.25,18.40718,42.424868464
RAMBHAJO,EQ,290.5,24.33,   9.14,10,292.78,265.01,292.78,161.6,14.39325,40.95455355
BODALCHEM,EQ,191.23,9.1,   5.00,5,191.23,184.05,191.23,42.81,16.86113,31.980505271
CORDELIA,EQ,115.1,5.42,   4.94,5,115.16,109.68,115.49,62.31,24.35983,27.96508484
SUDEEPPHRM,EQ,1150,44.6,   4.03,5,1160.6,1107.2,1378,524.05,2.17226,24.911260454
HEG,BE,237.05,11.25,   4.98,5,237.05,226.25,753.9,214.1,9.30482,21.981706768000002
DEEDEV,EQ,668.75,31.8,   4.99,5,668.75,636.8,760,183,2.88664,19.231950336
GVPIL,EQ,656.1,31.2,   4.99,5,656.1,628.85,1084,270.9,1.28144,8.331025872
WAAREEINDO,EQ,268,9.2,   3.55,5,271.7,253.3,725,241.1,2.93556,7.884033492
VALIANTORG,BE,427.6,19.15,   4.69,5,428.85,413,428.85,195,1.61458,6.896839928
STLNETWORK,EQ,42.95,2.04,   4.99,5,42.95,42.95,42.95,15.75,12.50147,5.369381365
PRIORITY,BE,232.22,11.05,   5.00,5,232.22,217.1,245,209.61,2.29769,5.256655182
RADHIKAJWE,BE,71.52,3.4,   4.99,5,71.52,66,99.65,50.01,7.03327,4.839593087
QUINT,EQ,70.02,6.36,   9.99,10,70.02,58.56,70.02,33.45,6.68824,4.613547952
WEL,EQ,72.94,3.47,   4.99,5,72.94,68.01,183.53,68.01,5.46636,3.9128204880000004
GAYAPROJ,EQ,24.6,0.98,   4.15,5,24.8,23.57,27.33,10.99,15.72098,3.8689331780000003
KAMDHENU,BE,41.05,1.95,   4.99,5,41.05,39,41.05,16.15,9.47462,3.834378714
SAHASRA,SM,336.1,16,   5.00,5,336.1,318,369,188.35,1.112,3.7025152
NRL,BE,143.98,6.85,   5.00,5,143.98,132.9,143.98,45.1,2.10713,2.94787487
ACSTECH,BE,66.15,3.15,   5.00,5,66.15,64.99,66.15,31.71,4.30625,2.8438475
KSHITIJPOL,EQ,4.21,0.2,   4.99,5,4.21,4.2,7.2,1.88,66.75034,2.80351428
VETO,BE,139.15,6.62,   5.00,5,139.15,131.15,153.95,82.32,1.89474,2.609814876
