symbol,shortName,price,changePct,volume
AEHR,Aehr Test Systems,107.96,-12.41,2911849
FSLY,"Fastly, Inc.",23.66,-11.02,6744237
AXTI,AXT Inc,73.43,-10.79,15052562
VICR,Vicor Corporation,217.35,-10.34,1464180
NBIS,Nebius Group N.V.,223.9,-9.87,49444471
PENG,"Penguin Solutions, Inc.",52.95,-9.27,1649681
SITM,SiTime Corporation,618.71,-9.02,512131
MXL,"MaxLinear, Inc",66.43,-8.54,2851687
UCTT,"Ultra Clean Holdings, Inc.",75.01,-8.32,1154733
ACMR,"ACM Research, Inc.",77.59,-8.04,1110619
VOYG,"Voyager Technologies, Inc.",38.85,-8.03,1412970
STX,Seagate Technology Holdings PLC,832.56,-7.87,5923710
MTSI,MACOM Technology Solutions Hold,269.98,-7.82,1797093
FG,"F&G Annuities & Life, Inc.",23.56,-7.79,633412
VIK,Viking Holdings Ltd,90.77,-7.65,5404918
