symbol,identifier,lastPrice,pChange,quantityTraded,totalTradedVolume,totalTradedValue,previousClose,exDate,purpose,yearHigh,yearLow,change,open,closePrice,dayHigh,dayLow,lastUpdateTime
ICICIBANK,ICICIBANKEQN,1242.5,-0.69,38929053,38929053,48138109777.68,1251.1,12-Aug-2025,,1500,1187.6,-8.6,1251.1,1240.8,1256.3,1229.8,2026-05-19 16:00:27
APOLLO,APOLLOEQN,342.5,10.13,114856385,114856385,38969622866.65,311,08-Sep-2025,,357.7,130.73,31.5,326.8,340.7,357.7,317.8,2026-05-19 16:00:27
INFY,INFYEQN,1194,4.51,32175705,32175705,38306785587.75,1142.5,10-Jun-2026,,1728,1089,51.5,1162,1196.9,1198.4,1162,2026-05-19 16:00:27
HDFCBANK,HDFCBANKEQN,762.8,-0.76,40307830,40307830,30869348527.2,768.65,19-Jun-2026,,1020.5,726.65,-5.85,766.7,762.45,770.8,760.25,2026-05-19 16:00:27
BSE,BSEEQN,4198.9,1.9,7088657,7088657,29935044078.15,4120.7,10-Jul-2026,,4298.9,2021.5,78.2,4155.4,4190.8,4298.9,4119,2026-05-19 16:00:27
RELIANCE,RELIANCEEQN,1322.8,-0.98,21665501,21665501,28861480502.14,1335.9,14-Aug-2025,,1611.8,1290,-13.1,1338.7,1322.7,1344,1318.4,2026-05-19 16:00:27
TCS,TCSEQN,2330,2.05,10394707,10394707,24399807582.31,2283.2,25-May-2026,,3600,2206.4,46.8,2300,2327.1,2377.6,2297.1,2026-05-19 16:00:27
IDEA,IDEAEQN,13.45,4.59,1543430179,1543430179,20589358587.86,12.86,20-Aug-2024,,13.68,6.12,0.59,12.98,13.52,13.68,12.86,2026-05-19 16:00:27
BHARTIARTL,BHARTIARTLEQN,1911,-1.4,8962228,8962228,17195557996.76,1938.1,18-Jul-2025,,2174.5,1740.5,-27.1,1928.4,1913.5,1942,1907.8,2026-05-19 16:00:27
SBIN,SBINEQN,946.9,0.8,17280869,17280869,16380190107.72,939.4,15-May-2026,,1234.7,779.1,7.5,942,948.8,956.6,939.5,2026-05-19 16:00:27
TRITURBINE,TRITURBINEEQN,648,8.61,23988920,23988920,15206576388,596.65,09-Feb-2026,,675.2,428.35,51.35,587.8,638.05,655.4,560.85,2026-05-19 16:00:27
GESHIP,GESHIPEQN,1706.9,0.61,7326701,7326701,12805388206.77,1696.5,20-May-2026,,1798,903.6,10.4,1705,1715.9,1798,1676.5,2026-05-19 16:00:27
ADANIGREEN,ADANIGREENEQN,1374,0.37,8654467,8654467,12155025812.16,1369,14-Jun-2024,,1471,765,5,1390,1377.8,1443,1369,2026-05-19 16:00:27
HSCL,HSCLEQN,560.85,1.7,20865976,20865976,11951822393.04,551.5,22-May-2026,,654.45,418.5,9.35,557,563.75,596.6,539.6,2026-05-19 16:00:27
JINDRILL,JINDRILLEQN,654,0.89,17505781,17505781,11719070032.64,648.25,14-Aug-2025,,759.9,440.1,5.75,654.9,655.45,693.5,645.65,2026-05-19 16:00:27
VEDL,VEDLEQN,337.7,3.27,35074019,35074019,11673335003.58,327,30-Apr-2026,,795,268.7,10.7,325.4,337.65,339,325.4,2026-05-19 16:00:27
COFORGE,COFORGEEQN,1411.9,4.73,8133656,8133656,11554021021.12,1348.1,30-Jan-2026,,1994,1008.1,63.8,1365,1412,1447,1360.3,2026-05-19 16:00:27
ADANIENT,ADANIENTEQN,2712.7,0.85,4204144,4204144,11519901098.72,2689.8,12-Jun-2026,,2803.1,1753,22.9,2734.7,2725,2774.5,2697,2026-05-19 16:00:27
AXISBANK,AXISBANKEQN,1237.9,0,9200314,9200314,11406825306.62,1237.9,10-Jul-2026,,1418.3,1042.5,0,1238.5,1238.3,1249.8,1231.3,2026-05-19 16:00:27
TECHM,TECHMEQN,1467,2.59,6697277,6697277,9935611347.81,1430,03-Jul-2026,,1854,1304.1,37,1446.3,1467.1,1506.8,1445.6,2026-05-19 16:00:27
