symbol,latestOI,prevOI,changeInOI,avgInOI,volume,futValue,optValue,total,premValue,underlyingValue
ZYDUSLIFE,29321,21894,7427,33.92,116778,127224.20709,97621043985,141947.81694,14723.60985,1017
ASTRAL,46284,34849,11435,32.81,121271,71765.22477,70136753876,81252.56853,9487.34376,1444
FINNIFTY,19179,15662,3517,22.46,31912,1676.34588,49155897396,4263.69984,2587.35396,25283
NIFTY,11463442,9525005,1938437,20.35,417084146,968282.75787,642416381695241,8319554.77529,7351272.01741,23618
AUROPHARMA,55653,46301,9352,20.2,24304,86952.16106,11597252408,88427.33515,1475.17408,1513
POLICYBZR,42635,36179,6456,17.84,55150,50737.26,30020780667,55334.43667,4597.17667,1790
MOTILALOFS,11154,9546,1608,16.84,11689,7559.66178,7147410824,8405.77252,846.11074,853
ANGELONE,30174,25945,4229,16.3,89748,64122.708,67343739175,75443.09975,11320.39175,329
PIIND,30458,26320,4138,15.72,50154,34975.36047,24794790676,39560.11223,4584.75176,3120
PGEL,34738,30458,4280,14.05,42856,22891.41973,17525922078,27300.83552,4409.41578,465
BOSCHLTD,20704,18254,2450,13.42,15514,13515.89547,13566312427,14477.89475,961.99927,37000
GAIL,42625,37796,4829,12.78,20355,28876.72615,7518906675,29943.5839,1066.85775,155
MIDCPNIFTY,144503,128286,16217,12.64,305533,65483.23231,515177923551,96307.04782,30823.81551,14298
AXISBANK,186027,166401,19626,11.79,131694,230996.44106,80815279562,239949.11168,8952.67062,1237
FORCEMOT,23127,20732,2395,11.55,23532,16591.14853,10369825816,17334.1567,743.00816,19220
AMBER,79119,71153,7966,11.2,141154,108770.46185,93849648261,122321.04446,13550.58261,7115
BSE,73940,67041,6899,10.29,253271,283478.09957,374331416658,350168.32866,66690.22908,4198
CHOLAFIN,44369,40460,3909,9.66,16804,46607.42443,11747826693,48252.31637,1644.89193,1511
BEL,166184,151578,14606,9.64,165156,114277.17062,92405642097,130111.1241,15833.95347,424
INDUSINDBK,83080,75933,7147,9.41,43878,96731.34065,18075542303,99084.20368,2352.86303,896
MOTHERSON,41873,38325,3548,9.26,21060,41850.89268,13117749940,44771.24908,2920.3564,131
TORNTPHARM,35242,32274,2968,9.2,24957,28186.11,11396455561,29688.35311,1502.24311,4450
RBLBANK,41676,38215,3461,9.06,14485,59329.9515,9485418418,60690.06943,1360.11793,323
MANKIND,33148,30489,2659,8.72,29426,25397.41227,14408488863,27808.5309,2411.11863,2470
UNOMINDA,21228,19558,1670,8.54,46663,26807.39209,25240274229,29490.11439,2682.72229,1049
ICICIBANK,340766,314836,25930,8.24,203348,327677.10514,147850689028,340439.15542,12762.05028,1242
TECHM,65429,60484,4945,8.18,108224,86750.62386,88411467300,97660.81686,10910.193,1467
DMART,44701,41343,3358,8.12,38963,21943.49181,23285590300,23977.29481,2033.803,4233
SBILIFE,43414,40249,3165,7.86,16339,22205.1822,9472074450,22981.7517,776.5695,1887
COFORGE,109082,101603,7479,7.36,294534,116797.91757,146806986930,144207.78687,27409.8693,1411
HDFCLIFE,86268,80532,5736,7.12,27413,47798.6322,13973990910,49155.7913,1357.1591,611
TATASTEEL,163267,152482,10785,7.07,182867,142514.40775,94245890310,150531.28585,8016.8781,209
BANKNIFTY,1443886,1352147,91739,6.78,2981653,433420.66899,4836584017776,801258.15676,367837.48776,53409
TATAPOWER,94845,89137,5708,6.4,108007,91396.10594,57454985672,97781.58766,6385.48172,413
COCHINSHIP,19371,18207,1164,6.39,10979,13705.11248,5611820872,14457.3212,752.20872,1488
TATACONSUM,42140,39686,2454,6.18,32032,27686.17533,19142702892,29147.10925,1460.93392,1211
ALKEM,15039,14175,864,6.1,10692,14912.95696,6065742406,15585.00602,672.04906,5467
