symbol,shortName,price,changePct,volume
ALAB,"Astera Labs, Inc.",244.26,13.3,9381744
AGYS,"Agilysys, Inc.",78.94,12.45,2719162
RXO,"RXO, Inc.",21.13,10.63,5432220
CMBT,CMB.TECH NV,16.61,10.29,7520178
CLSK,"CleanSpark, Inc.",14.69,9.3,34190164
TENB,"Tenable Holdings, Inc.",25.25,9.21,6347358
MXL,"MaxLinear, Inc",94.86,8.46,4850200
CRDO,Credo Technology Group Holding ,168.99,8.14,8178406
MAAS,Maase Inc.,10.24,7.56,47285
SHAK,"Shake Shack, Inc.",64.12,7.42,3081612
AXTI,AXT Inc,112.88,6.61,9570059
HIMX,"Himax Technologies, Inc.",19.29,6.57,5708449
IPGP,IPG Photonics Corporation,113.33,6.56,627717
CENX,Century Aluminum Company,58.44,6.41,1646713
OPCH,"Option Care Health, Inc.",20.86,5.94,6533031
