type,symbol,instrument,expiryDate,optionType,strikePrice,ltp,prevClose,pChange,latestOI,prevOI,changeInOI,volume,turnover,premTurnover,underlyingValue,identifier,instrumentType,pChangeInOI
SS,NIFTY,Index Options,26-May-2026,Call,24800,3,4.5,-33.33,42823,56650,-13827,283288,629.74922,629.74922,23659,OPTIDXNIFTY26-05-2026CE24800,OPTIDX,-24.41
SS,NIFTY,Index Options,26-May-2026,Put,24000,375.9,457.15,-17.77,56479,64873,-8394,87258,26809.88961,26809.88961,23659,OPTIDXNIFTY26-05-2026PE24000,OPTIDX,-12.94
SS,NIFTY,Index Options,26-May-2026,Put,22150,4.7,6.1,-22.95,7485,13307,-5822,93975,364.05915,364.05915,23659,OPTIDXNIFTY26-05-2026PE22150,OPTIDX,-43.75
SS,NIFTY,Index Options,26-May-2026,Call,24700,4.1,5.8,-29.31,46019,51815,-5796,404115,1195.17011,1195.17011,23659,OPTIDXNIFTY26-05-2026CE24700,OPTIDX,-11.19
SS,BANKNIFTY,Index Options,26-May-2026,Put,60000,6291.65,6506.45,-3.3,18991,23482,-4491,5461,10879.68817,10879.68817,53562.2,OPTIDXBANKNIFTY26-05-2026PE60000,OPTIDX,-19.13
SS,BANKNIFTY,Index Options,26-May-2026,Call,60000,3.8,4.55,-16.48,57409,60882,-3473,31895,35.30776,35.30776,53562.2,OPTIDXBANKNIFTY26-05-2026CE60000,OPTIDX,-5.7
SS,SBIN,Stock Options,26-May-2026,Call,1100,0.25,0.4,-37.5,18996,21547,-2551,8809,19.82025,19.82025,950,OPTSTKSBIN26-05-2026CE1100,OPTSTK,-11.84
SS,BANKNIFTY,Index Options,26-May-2026,Call,57500,10.5,11.6,-9.48,19142,21503,-2361,68856,189.62942,189.62942,53562.2,OPTIDXBANKNIFTY26-05-2026CE57500,OPTIDX,-10.98
SS,NTPC,Stock Options,26-May-2026,Call,450,0.05,0.15,-66.67,2316,4348,-2032,2602,1.9515,1.9515,392.5,OPTSTKNTPC26-05-2026CE450,OPTSTK,-46.73
SS,BANKNIFTY,Index Options,26-May-2026,Put,51500,70.6,122.65,-42.44,13237,15223,-1986,58705,2094.00735,2094.00735,53562.2,OPTIDXBANKNIFTY26-05-2026PE51500,OPTIDX,-13.05
SS,BANKNIFTY,Index Options,26-May-2026,Call,57000,15.55,17.5,-11.14,37931,39785,-1854,99550,393.32205,393.32205,53562.2,OPTIDXBANKNIFTY26-05-2026CE57000,OPTIDX,-4.66
SS,BANKNIFTY,Index Options,26-May-2026,Put,54000,706.85,924.75,-23.56,21429,23282,-1853,44996,12862.46656,12862.46656,53562.2,OPTIDXBANKNIFTY26-05-2026PE54000,OPTIDX,-7.96
SS,NIFTY,Index Options,26-May-2026,Put,26000,2296.65,2382.6,-3.61,24562,26306,-1744,2313,3635.64279,3635.64279,23659,OPTIDXNIFTY26-05-2026PE26000,OPTIDX,-6.63
SS,BANKNIFTY,Index Options,26-May-2026,Put,58000,4260.85,4505.4,-5.43,6320,7982,-1662,2127,2875.90393,2875.90393,53562.2,OPTIDXBANKNIFTY26-05-2026PE58000,OPTIDX,-20.82
SS,BANKNIFTY,Index Options,26-May-2026,Call,59500,4.45,4.95,-10.1,8211,9870,-1659,10065,11.65527,11.65527,53562.2,OPTIDXBANKNIFTY26-05-2026CE59500,OPTIDX,-16.81
SS,RELIANCE,Stock Options,26-May-2026,Call,1500,0.5,0.55,-9.09,14479,16108,-1629,7464,18.2868,18.2868,1360.3,OPTSTKRELIANCE26-05-2026CE1500,OPTSTK,-10.11
SS,BANKNIFTY,Index Options,26-May-2026,Call,55500,77.8,80.35,-3.17,17865,19463,-1598,76589,1311.0505,1311.0505,53562.2,OPTIDXBANKNIFTY26-05-2026CE55500,OPTIDX,-8.21
SS,NIFTY,Index Options,26-May-2026,Call,24750,3.65,4.95,-26.26,6055,7533,-1478,75471,193.77179,193.77179,23659,OPTIDXNIFTY26-05-2026CE24750,OPTIDX,-19.62
SS,BANKNIFTY,Index Options,26-May-2026,Put,55000,1400.2,1645.95,-14.93,10735,12211,-1476,6301,3309.65065,3309.65065,53562.2,OPTIDXBANKNIFTY26-05-2026PE55000,OPTIDX,-12.09
SS,NIFTY,Index Options,26-May-2026,Put,25000,1300,1388.8,-6.39,26375,27786,-1411,2722,2544.89034,2544.89034,23659,OPTIDXNIFTY26-05-2026PE25000,OPTIDX,-5.08
SS,BEL,Stock Options,26-May-2026,Call,520,0.1,0.3,-66.67,1587,2989,-1402,3105,4.86708,4.86708,413.35,OPTSTKBEL26-05-2026CE520,OPTSTK,-46.91
SS,TCS,Stock Futures,26-May-2026,-,0,2296.3,2305.1,-0.38,216329,217711,-1382,28017,113062.1132,113062.1132,2324.1,FUTSTKTCS26-05-2026XX0,FUTSTK,-0.63
SS,NIFTY,Index Options,26-May-2026,Put,24800,1120.15,1185.45,-5.51,4329,5706,-1377,2183,1738.52591,1738.52591,23659,OPTIDXNIFTY26-05-2026PE24800,OPTIDX,-24.13
SS,NIFTY,Index Options,26-May-2026,Put,24500,806.6,896.55,-10.03,43626,44990,-1364,6101,3736.63371,3736.63371,23659,OPTIDXNIFTY26-05-2026PE24500,OPTIDX,-3.03
SS,SBIN,Stock Options,26-May-2026,Call,1050,0.4,0.75,-46.67,8123,9401,-1278,10303,36.31807,36.31807,950,OPTSTKSBIN26-05-2026CE1050,OPTSTK,-13.59
