type,symbol,instrument,expiryDate,optionType,strikePrice,ltp,prevClose,pChange,latestOI,prevOI,changeInOI,volume,turnover,premTurnover,underlyingValue,identifier,instrumentType,pChangeInOI
RS,HDFCBANK,Stock Futures,30-Jun-2026,-,0,754.5,755.8,-0.17,297101,214033,83068,87284,360915.41222,360915.41222,760.1,FUTSTKHDFCBANK30-06-2026XX0,FUTSTK,38.81
RS,NIFTY,Index Options,26-May-2026,Put,23400,92.35,135.95,-32.07,87053,39758,47295,1389975,142298.69062,142298.69062,23659,OPTIDXNIFTY26-05-2026PE23400,OPTIDX,118.96
RS,NIFTY,Index Options,26-May-2026,Put,23500,121,171.35,-29.38,123232,75972,47260,2219615,279806.88651,279806.88651,23659,OPTIDXNIFTY26-05-2026PE23500,OPTIDX,62.21
RS,NIFTY,Index Options,26-May-2026,Call,24500,9.5,10.95,-13.24,138356,106726,31630,759581,4557.1062,4557.1062,23659,OPTIDXNIFTY26-05-2026CE24500,OPTIDX,29.64
RS,NIFTY,Index Options,26-May-2026,Put,23600,156.1,215.75,-27.65,80903,50341,30562,1574841,227577.12322,227577.12322,23659,OPTIDXNIFTY26-05-2026PE23600,OPTIDX,60.71
RS,NIFTY,Index Options,26-May-2026,Put,22000,3.95,4.9,-19.39,133634,105834,27800,353575,1139.9258,1139.9258,23659,OPTIDXNIFTY26-05-2026PE22000,OPTIDX,26.27
RS,NIFTY,Index Options,26-May-2026,Put,22500,8.1,12.8,-36.72,136379,109029,27350,508253,4522.68932,4522.68932,23659,OPTIDXNIFTY26-05-2026PE22500,OPTIDX,25.09
RS,NIFTY,Index Options,26-May-2026,Put,22100,4.5,5.5,-18.18,42842,17088,25754,173057,617.5539,617.5539,23659,OPTIDXNIFTY26-05-2026PE22100,OPTIDX,150.71
RS,NIFTY,Index Options,26-May-2026,Put,23300,69.9,105.6,-33.81,71126,46852,24274,1014550,78824.95497,78824.95497,23659,OPTIDXNIFTY26-05-2026PE23300,OPTIDX,51.81
RS,NIFTY,Index Options,26-May-2026,Put,23450,106,153,-30.72,30853,7705,23148,937634,109063.24279,109063.24279,23659,OPTIDXNIFTY26-05-2026PE23450,OPTIDX,300.43
RS,INFY,Stock Futures,30-Jun-2026,-,0,1181.3,1189.8,-0.71,67053,44269,22784,27330,129631.656,129631.656,1190,FUTSTKINFY30-06-2026XX0,FUTSTK,51.47
RS,NIFTY,Index Options,26-May-2026,Put,23350,80.2,120.6,-33.5,29656,7759,21897,479165,42133.93678,42133.93678,23659,OPTIDXNIFTY26-05-2026PE23350,OPTIDX,282.21
RS,NIFTY,Index Options,26-May-2026,Put,23000,30.3,48.7,-37.78,132609,111134,21475,1209135,42252.01344,42252.01344,23659,OPTIDXNIFTY26-05-2026PE23000,OPTIDX,19.32
RS,NIFTY,Index Options,26-May-2026,Put,22600,10,16.15,-38.08,62485,43192,19293,285931,3152.10334,3152.10334,23659,OPTIDXNIFTY26-05-2026PE22600,OPTIDX,44.67
RS,NIFTY,Index Options,26-May-2026,Put,22200,5.1,6.45,-20.93,43626,24745,18881,170666,723.2825,723.2825,23659,OPTIDXNIFTY26-05-2026PE22200,OPTIDX,76.3
RS,NIFTY,Index Options,26-May-2026,Put,22350,6.35,8.75,-27.43,21731,3466,18265,95709,544.34493,544.34493,23659,OPTIDXNIFTY26-05-2026PE22350,OPTIDX,526.98
RS,NIFTY,Index Options,26-May-2026,Put,21500,2.5,3,-16.67,75540,57374,18166,193910,350.39537,350.39537,23659,OPTIDXNIFTY26-05-2026PE21500,OPTIDX,31.66
RS,NIFTY,Index Options,26-May-2026,Put,23550,137.55,194.45,-29.26,28512,10820,17692,950714,129148.31725,129148.31725,23659,OPTIDXNIFTY26-05-2026PE23550,OPTIDX,163.51
RS,NIFTY,Index Options,26-May-2026,Put,23200,52.75,82.55,-36.1,62819,45174,17645,793697,46988.44979,46988.44979,23659,OPTIDXNIFTY26-05-2026PE23200,OPTIDX,39.06
RS,ICICIBANK,Stock Futures,30-Jun-2026,-,0,1247.8,1251.8,-0.32,77304,60148,17156,19382,168570.87478,168570.87478,1236.5,FUTSTKICICIBANK30-06-2026XX0,FUTSTK,28.52
RS,ICICIBANK,Stock Futures,26-May-2026,-,0,1240.7,1245,-0.35,197097,179964,17133,33021,285339.41415,285339.41415,1236.5,FUTSTKICICIBANK26-05-2026XX0,FUTSTK,9.52
RS,NIFTY,Index Options,26-May-2026,Call,24400,14.3,15.65,-8.63,50943,33987,16956,449106,3885.44055,3885.44055,23659,OPTIDXNIFTY26-05-2026CE24400,OPTIDX,49.89
RS,TCS,Stock Futures,30-Jun-2026,-,0,2300.8,2307.2,-0.28,48853,32118,16735,19909,80323.25868,80323.25868,2324.1,FUTSTKTCS30-06-2026XX0,FUTSTK,52.1
RS,NIFTY,Index Options,26-May-2026,Put,21000,2.15,2.35,-8.51,83473,66972,16501,124427,173.88673,173.88673,23659,OPTIDXNIFTY26-05-2026PE21000,OPTIDX,24.64
RS,NIFTY,Index Options,26-May-2026,Put,23650,176.25,235.75,-25.24,29976,14332,15644,591793,88669.23287,88669.23287,23659,OPTIDXNIFTY26-05-2026PE23650,OPTIDX,109.15
