symbol,series,ltp,change,pChange,priceBand,highPrice,lowPrice,yearHigh,yearLow,totalTradedVol,turnover
UFBL,EQ,480.95,80.15,  20.00,20,480.95,405.45,480.95,172.34,71.03895,327.18409201500003
PROTEAN,EQ,654.2,109,  19.99,20,654.2,601,1091.9,444,45.92822,296.664151446
WEWORK,EQ,580,93.2,  19.15,20,584.15,485.3,664,420,50.88473,283.555157925
NIBE,EQ,1295.7,121.1,  10.31,20,1409.5,1190,2001,809.6,19.80696,264.072332808
GOCOLORS,EQ,300.7,46.3,  18.20,20,305.25,256.15,943.75,237.05,83.23686,244.782957888
EXICOM,EQ,137.91,22.98,  19.99,20,137.91,116.35,208.65,75.6,104.28662,139.79621411
GENESYS,EQ,241.55,40.25,  20.00,20,241.55,202.15,757.5,198.05,46.17501,105.97164795
INDOBORAX,EQ,321.6,46.65,  16.97,20,329.9,275.2,329.9,178.47,22.28243,71.002963195
JNKINDIA,EQ,410.45,37.3,  10.00,10,410.45,394,410.45,200.92,14.58707,59.678620784
CENTENKA,EQ,540.1,90,  20.00,20,540.1,450.15,540.1,371.2,9.89143,51.505665152999995
QPOWER,BE,1121.8,53.4,   5.00,5,1121.8,1090.1,1441,359.1,1.66722,18.658025742
KRN,BE,1098,52.2,   4.99,5,1098,1030,1405,589.8,1.73876,18.482844924000002
ELITECON,EQ,32,0.33,   1.04,5,33.25,31.81,46.4,28.58,51.68358,17.034907968000002
IZMO,EQ,717.5,18.2,   2.60,5,734.25,710,1374.7,295,1.90746,13.907100113999999
MSPL,EQ,43.11,2.05,   4.99,5,43.11,41.25,43.2,26.16,32.08619,13.697594511000002
ELECTHERM,EQ,850.6,141.75,  20.00,20,850.6,680.1,1280.4,551,1.61995,13.1766733
MON100,EQ,325.74,-1.35,  -0.41,20,325.74,325.74,331.62,175.71,3.68534,12.004626516
GVPIL,EQ,697.55,33.2,   5.00,5,697.55,678.95,748.4,238.3,1.39248,9.625518
MODINATUR,EQ,486.05,81,  20.00,20,486.05,407.8,486.05,252.3,1.64376,7.6886874
RFBL,ST,60.7,2.85,   4.93,5,60.7,60.65,60.7,52.5,9.69,5.880861
IBULLSLTD,BE,18.28,0.87,   5.00,5,18.28,17.5,22.78,8.9,31.91571,5.7448278
SIGMAADV,BE,332.95,15.85,   5.00,5,332.95,331,354.9,70.15,1.09984,3.661807296
DPEL,SM,521,22.6,   4.53,5,523.3,510,547.8,123,0.56,2.914576
SIMCA,ST,163.85,7.8,   5.00,5,163.85,153,163.85,147.9,1.782,2.8847016
BCG,EQ,10.51,0.5,   5.00,5,10.51,10.43,22,7.97,24.56917,2.57976285
NIMBSPROJ,EQ,222.37,10.58,   5.00,5,222.37,212.4,226.91,165.81,1.14104,2.488722344
TERASOFT,EQ,340,6.35,   1.90,5,350.3,335.2,598,252.4,0.54379,1.869658778
MAXVOLT,ST,433.9,20.65,   5.00,5,433.9,413.25,509,194.5,0.42,1.813602
MAFANG,EQ,192.61,-1.34,  -0.69,20,192.61,192.61,197.89,129.58,0.91855,1.769219155
FRESHARA,ST,212.7,10,   4.93,5,212.8,200.6,230,130,0.756,1.5780744
REGAAL,BE,83.26,3.96,   4.99,5,83.26,79.3,145.7,57.27,1.87814,1.5438310800000001
LAXMIINDIA,BE,118,1.23,   1.05,5,122.6,115,180.9,71.06,1.22274,1.47645855
INSPIRISYS,EQ,132.05,6.28,   4.99,5,132.05,127.9,132.05,69.92,1.08276,1.424045952
KESORAMIND,BE,12.43,0.59,   4.98,5,12.43,11.84,14.26,4.55,11.54801,1.42040523
TECHERA,SM,182.55,7.3,   4.17,5,184,172.5,325.7,151.5,0.784,1.4145712
BGRENERGY,BE,295.55,14.05,   4.99,5,295.55,295.55,490.8,94,0.46199,1.365411445
SUBEXLTD,BE,10.72,0.51,   5.00,5,10.72,10.01,17.19,6.61,12.07474,1.272677596
PREMIERPOL,BE,57.6,1.73,   3.10,5,58.66,56,68.87,38,1.78649,1.0384866369999999
MASPTOP50,EQ,81.63,-0.61,  -0.74,20,81.63,81.63,82.69,52.52,1.25346,1.023199398
PARTH,ST,409.7,19.5,   5.00,5,409.7,398,409.7,169,0.244,0.9871996
PRIMECAB,ST,118.85,5.65,   4.99,5,118.85,109,136.7,70.4,0.832,0.9743552
WOL3D,SM,195.85,17.8,  10.00,10,195.85,183.5,209.95,106.65,0.5,0.96395
CKKRETAIL,ST,128.6,6.05,   4.94,5,128.65,126.2,265.25,112.2,0.712,0.9151336
HITECHCORP,EQ,169.05,28.17,  20.00,20,169.05,155.01,223.44,112,0.5422,0.8983169599999999
BFUTILITIE,EQ,543.45,25.85,   4.99,5,543.45,527,898.7,368.7,0.16302,0.8788245179999999
OMAXAUTO,BE,206.62,9.83,   5.00,5,206.62,197,240,82.91,0.41347,0.840667204
KECL,BE,113.99,5.42,   4.99,5,113.99,109,151.92,75.47,0.70689,0.794685738
TAKE,BE,28.14,1.34,   5.00,5,28.14,28.14,50.14,8.33,2.33952,0.658340928
KAVDEFENCE,EQ,62.56,0.42,   0.68,5,65.24,61.85,162.87,42.93,0.96381,0.6130795410000001
ZODIAC,BE,305,11.3,   3.85,5,308.35,295,560,205.55,0.19072,0.578911488
LOKESHMACH,BE,256.2,12.2,   5.00,5,256.2,245.77,286.8,138.96,0.22494,0.569728032
DCMSIL,BE,62.95,2.5,   4.14,5,63.47,59,105.27,49.5,0.81092,0.49717505199999995
A2ZINFRA,EQ,15.05,0.71,   4.95,5,15.05,14.34,23.25,13.12,2.93904,0.440562096
DISHTV,BE,3.52,0.16,   4.76,5,3.52,3.36,6.54,1.82,12.3863,0.43104324000000005
MONQ50,EQ,131.08,-0.12,  -0.09,20,131.08,131.08,135.01,71.26,0.32214,0.422261112
LRRPL,SM,95.5,4,   4.37,5,96.05,89.05,99.5,59.15,0.42,0.40047
ACSTECH,EQ,33.84,0.66,   1.99,2,33.84,32.99,42.2,32.67,1.07536,0.362073712
MAHKTECH,EQ,24.07,0.1,   0.42,20,24.07,24.07,35.59,20.51,1.45125,0.349315875
TREJHARA,EQ,158.5,6.51,   4.28,5,159.58,150.47,284.85,137.7,0.22306,0.348843534
IFBAGRO,BE,932.7,44.4,   5.00,5,932.7,892.75,1790,516,0.03737,0.346984187
ESCONET,ST,135.9,6.3,   4.86,5,136.05,127,280,91.25,0.248,0.3256488
ESSENTIA,BE,1.66,0.06,   3.75,5,1.68,1.55,2.39,0.95,19.74492,0.31986770400000003
FILATFASH,BE,0.24,0.01,   4.35,5,0.24,0.23,0.74,0.14,114.70461,0.263820603
NOIDATOLL,EQ,6.76,0.61,   9.92,10,6.76,6.47,6.76,2.87,3.93329,0.26353043
SPCENET,EQ,3.7,0.07,   1.93,5,3.81,3.61,11.24,3,6.40301,0.23819197200000003
BYKE,EQ,35.85,0.92,   2.63,5,36.67,35.11,100.8,26.25,0.64842,0.231356256
KDL,SM,134.55,4.85,   3.74,5,136.15,125.35,374.9,100.85,0.171,0.2312946
JAYBEE,ST,97.45,4.6,   4.95,5,97.45,97.45,295,70,0.235,0.2290075
RSDFIN,EQ,101.92,16.98,  19.99,20,101.92,90.16,101.92,73.05,0.20643,0.20742086399999998
GVKPIL,BE,3.19,0.06,   1.92,2,3.19,3.17,4.48,2.37,6.33522,0.201459996
PURPLEUTED,SM,390.1,18.55,   4.99,5,390.1,390.1,587.95,244.45,0.05,0.19505
DCMNVL,BE,145.7,2.46,   1.72,5,150.4,141.6,203.8,95.6,0.13191,0.194936598
SAIFL,SM,5.7,0.25,   4.59,5,5.7,5.5,32.75,5.45,3.32,0.187248
KRITINUT,BE,86.7,2.64,   3.14,5,88.26,83,125.01,51.36,0.21251,0.183799899
AHLWEST,BE,715.65,34.05,   5.00,5,715.65,715.65,715.65,137,0.02295,0.164241675
MOBILISE,ST,110.45,5.25,   4.99,5,110.45,110.25,117.8,45,0.144,0.158976
KANANIIND,EQ,1.66,0.15,   9.93,10,1.66,1.5,2.32,1.02,8.29806,0.13359876599999998
MANUGRAPH,EQ,16.3,1.48,   9.99,10,16.3,16,25.3,9.65,0.78653,0.12812573700000002
ONELIFECAP,EQ,23.91,1.13,   4.96,5,23.91,23.91,23.91,10.15,0.5328,0.12739248
TARAPUR,EQ,22.05,-0.76,  -3.33,5,23.95,21.87,39.99,20.21,0.52376,0.120831432
GLOBECIVIL,BE,44.5,1.24,   2.87,5,45.42,43.16,95,33.5,0.2533,0.11274383
APSISAERO,ST,297,14.1,   4.98,5,297,297,316.45,147.2,0.036,0.10692
BLUEPEBBLE,ST,97,2.3,   2.43,5,99.4,97,218,88,0.104,0.1029912
ABANSENT,BE,27,1.03,   3.97,5,27.26,24.76,48.85,22.3,0.37642,0.099788942
IL&FSENGG,BZ,27.3,1.3,   5.00,5,27.3,25,42.21,21,0.33425,0.088242
ACCURACY,EQ,5.55,0.26,   4.91,5,5.55,5.21,9.61,3.4,1.30172,0.071464428
MARALOVER,BE,57.07,2.71,   4.99,5,57.07,56.25,82.15,34.11,0.12443,0.070614025
UNILEX,SM,27.5,3.8,  16.03,20,28.4,26,48.9,20.05,0.256,0.0694272
GJL,ST,133.85,6.35,   4.98,5,133.85,130.05,276.45,91.4,0.04,0.053236
MORARJEE,BZ,10.16,0.48,   4.96,5,10.16,9.26,10.16,5.58,0.53327,0.053220345999999995
POLYSIL,ST,148.7,7.05,   4.98,5,148.7,144.9,356.75,42,0.035,0.051814
CAPTRUST,BE,14.05,0.66,   4.93,5,14.05,13.62,68.34,10.98,0.30085,0.04199866
CLASSICEIL,ST,50.85,2.4,   4.95,5,50.85,50.75,113.9,34.75,0.08,0.040664
KRIDHANINF,EQ,3.19,0.14,   4.59,5,3.2,3.01,5.39,1.81,1.2667,0.03990105
