type,symbol,instrument,expiryDate,optionType,strikePrice,ltp,prevClose,pChange,latestOI,prevOI,changeInOI,volume,turnover,premTurnover,underlyingValue,identifier,instrumentType,pChangeInOI
SR,NIFTY,Index Options,26-May-2026,Call,23700,182.7,141.45,29.16,78663,116344,-37681,3128753,378591.62801,378591.62801,23719.3,OPTIDXNIFTY26-05-2026CE23700,OPTIDX,-32.39
SR,NIFTY,Index Options,26-May-2026,Call,24700,4.15,4.1,1.22,55050,88230,-33180,477835,965.94345,965.94345,23719.3,OPTIDXNIFTY26-05-2026CE24700,OPTIDX,-37.61
SR,NIFTY,Index Options,26-May-2026,Call,23600,246.75,189.75,30.04,37466,66943,-29477,849211,138730.9304,138730.9304,23719.3,OPTIDXNIFTY26-05-2026CE23600,OPTIDX,-44.03
SR,NIFTY,Index Options,26-May-2026,Call,23650,213.55,164.4,29.9,17317,45322,-28005,807505,113625.64356,113625.64356,23719.3,OPTIDXNIFTY26-05-2026CE23650,OPTIDX,-61.79
SR,NIFTY,Index Options,26-May-2026,Call,23500,324.65,248.3,30.75,42021,56235,-14214,389923,82295.19876,82295.19876,23719.3,OPTIDXNIFTY26-05-2026CE23500,OPTIDX,-25.28
SR,NIFTY,Index Options,26-May-2026,Call,23800,128.4,101.4,26.63,117106,129141,-12035,5098919,459295.32676,459295.32676,23719.3,OPTIDXNIFTY26-05-2026CE23800,OPTIDX,-9.32
SR,NIFTY,Index Options,26-May-2026,Call,24300,17.2,13.8,24.64,83913,94927,-11014,981620,8977.40571,8977.40571,23719.3,OPTIDXNIFTY26-05-2026CE24300,OPTIDX,-11.6
SR,KAYNES,Stock Futures,26-May-2026,-,0,3308.5,3120.1,6.04,27620,38239,-10619,20516,66942.06672,66942.06672,3325.8,FUTSTKKAYNES26-05-2026XX0,FUTSTK,-27.77
SR,WIPRO,Stock Futures,26-May-2026,-,0,202.8,198.45,2.19,55131,65359,-10228,36616,222541.0632,222541.0632,202.97,FUTSTKWIPRO26-05-2026XX0,FUTSTK,-15.65
SR,RVNL,Stock Futures,26-May-2026,-,0,272,271.05,0.35,13594,21842,-8248,17211,71280.99154,71280.99154,272,FUTSTKRVNL26-05-2026XX0,FUTSTK,-37.76
SR,NIFTY,Index Options,26-May-2026,Call,24600,5.85,5.25,11.43,52572,60700,-8128,441995,1203.77338,1203.77338,23719.3,OPTIDXNIFTY26-05-2026CE24600,OPTIDX,-13.39
SR,BANKNIFTY,Index Options,26-May-2026,Call,53500,962.35,500.5,92.28,16894,24285,-7391,100231,22644.58844,22644.58844,54055.35,OPTIDXBANKNIFTY26-05-2026CE53500,OPTIDX,-30.43
SR,NIFTY,Index Options,26-May-2026,Call,24650,4.8,4.6,4.35,20223,27315,-7092,198792,463.88113,463.88113,23719.3,OPTIDXNIFTY26-05-2026CE24650,OPTIDX,-25.96
SR,BAJFINANCE,Stock Futures,26-May-2026,-,0,918.2,906.5,1.29,40834,47286,-6452,32090,220771.1775,220771.1775,916.55,FUTSTKBAJFINANCE26-05-2026XX0,FUTSTK,-13.64
SR,HYUNDAI,Stock Futures,26-May-2026,-,0,1862.8,1853.5,0.5,21902,28126,-6224,17376,88171.51464,88171.51464,1850.9,FUTSTKHYUNDAI26-05-2026XX0,FUTSTK,-22.13
SR,SBIN,Stock Futures,26-May-2026,-,0,952.8,952.4,0.04,67900,74083,-6183,20669,148123.87177,148123.87177,949.6,FUTSTKSBIN26-05-2026XX0,FUTSTK,-8.35
SR,TRENT,Stock Futures,26-May-2026,-,0,4306,4172.7,3.19,30340,36194,-5854,26320,112165.312,112165.312,4303,FUTSTKTRENT26-05-2026XX0,FUTSTK,-16.17
SR,HINDUNILVR,Stock Futures,26-May-2026,-,0,2210.6,2184.5,1.19,27817,33148,-5331,19680,130480.7616,130480.7616,2205,FUTSTKHINDUNILVR26-05-2026XX0,FUTSTK,-16.08
SR,ULTRACEMCO,Stock Futures,26-May-2026,-,0,11589,11488,0.88,23368,28670,-5302,12667,73609.2037,73609.2037,11588,FUTSTKULTRACEMCO26-05-2026XX0,FUTSTK,-18.49
SR,SUZLON,Stock Futures,26-May-2026,-,0,53.55,52.94,1.15,13898,18781,-4883,11169,53817.24012,53817.24012,53.9,FUTSTKSUZLON26-05-2026XX0,FUTSTK,-26
SR,NIFTY,Index Options,26-May-2026,Call,24200,25.4,20.85,21.82,87067,91869,-4802,1678168,25175.87633,25175.87633,23719.3,OPTIDXNIFTY26-05-2026CE24200,OPTIDX,-5.23
SR,JSWENERGY,Stock Futures,26-May-2026,-,0,551,549,0.36,10595,15225,-4630,10532,57893.3508,57893.3508,551,FUTSTKJSWENERGY26-05-2026XX0,FUTSTK,-30.41
SR,SBICARD,Stock Futures,26-May-2026,-,0,620,619.1,0.15,13470,18043,-4573,13185,65594.8476,65594.8476,620.1,FUTSTKSBICARD26-05-2026XX0,FUTSTK,-25.35
SR,NIFTY,Index Options,26-May-2026,Call,23550,284.5,217.7,30.68,5180,9637,-4457,144017,26619.23817,26619.23817,23719.3,OPTIDXNIFTY26-05-2026CE23550,OPTIDX,-46.25
SR,NIFTY,Index Options,26-May-2026,Call,23400,408.6,315.6,29.47,17997,22283,-4286,78034,20479.55509,20479.55509,23719.3,OPTIDXNIFTY26-05-2026CE23400,OPTIDX,-19.23
