symbol,shortName,price,changePct,volume
NVCR,NovoCure Limited,19.99,28.39,8933610
CLF,Cleveland-Cliffs Inc.,10.96,15.98,67264781
MEDP,"Medpace Holdings, Inc.",605.82,14.71,1177125
EQPT,EquipmentShare.com Inc,19.4,11.88,6635728
IMAX,Imax Corporation,43.96,11.86,6404448
LMT,Lockheed Martin Corporation,568.59,10.54,2972616
ALLE,Allegion plc,154.57,10.45,3123878
WEX,WEX Inc.,171.47,10.14,1574680
URI,"United Rentals, Inc.",1139.71,10.11,1038489
KALU,Kaiser Aluminum Corporation,180.6,9.91,504623
MBX,"MBX Biosciences, Inc.",63.57,9.04,537679
TMO,Thermo Fisher Scientific Inc,572.32,8.71,5800404
DGX,Quest Diagnostics Incorporated,227.9,8.61,3750691
ARGX,argenx SE,924.6,8.56,606539
HRI,Herc Holdings Inc.,163.25,8.08,1049962
