changeInOI,expiryDate,instrument,latestOI,ltp,optionType,pChange,premTurnover,prevClose,prevOI,strikePrice,symbol,turnover,type,underlyingValue,volume,identifier,instrumentType,pChangeInOI
100272,25-Aug-2026,Stock Futures,340020,749,-,-0.43,546106.8184,752.25,239748,0,HDFCBANK,546106.8184,RS,743.5,112520,FUTSTKHDFCBANK25-08-2026XX0,FUTSTK,41.82
69730,25-Aug-2026,Stock Futures,175524,1038.1,-,-0.9,533731.347,1047.5,105794,0,INFY,533731.347,RS,1039,129825,FUTSTKINFY25-08-2026XX0,FUTSTK,65.91
61638,28-Jul-2026,Index Options,114035,122.65,Call,-26.14,377785.87222,166.05,52397,23800,NIFTY,377785.87222,RS,23767.45,5287083,OPTIDXNIFTY28-07-2026CE23800,OPTIDX,117.64
52216,28-Jul-2026,Index Options,64463,182.9,Call,-21.52,399779.38618,233.05,12247,23700,NIFTY,399779.38618,RS,23767.45,4230604,OPTIDXNIFTY28-07-2026CE23700,OPTIDX,426.36
47577,25-Aug-2026,Stock Futures,113964,1428.5,-,-0.1,506068.4622,1429.9,66387,0,ICICIBANK,506068.4622,RS,1436,50785,FUTSTKICICIBANK25-08-2026XX0,FUTSTK,71.67
34253,25-Aug-2026,Index Futures,126585,23890,-,-0.18,948815.85043,23934.2,92332,0,NIFTY,948815.85043,RS,23767.45,61334,FUTIDXNIFTY25-08-2026XX0,FUTIDX,37.1
31132,25-Aug-2026,Stock Futures,59838,1024.9,-,-2.03,302847.20235,1046.1,28706,0,BAJFINANCE,302847.20235,RS,1019,39638,FUTSTKBAJFINANCE25-08-2026XX0,FUTSTK,108.45
24763,25-Aug-2026,Stock Futures,54949,3883.1,-,-1.37,186441.6331,3936.9,30186,0,TVSMOTOR,186441.6331,RS,3869.2,27429,FUTSTKTVSMOTOR25-08-2026XX0,FUTSTK,82.03
23406,28-Jul-2026,Index Options,29189,152.1,Call,-23.57,242184.7467,199,5783,23750,NIFTY,242184.7467,RS,23767.45,2899548,OPTIDXNIFTY28-07-2026CE23750,OPTIDX,404.74
21404,28-Jul-2026,Index Options,41982,18.9,Put,-0.79,28533.33372,19.05,20578,23450,NIFTY,28533.33372,RS,23767.45,1162846,OPTIDXNIFTY28-07-2026PE23450,OPTIDX,104.01
21151,25-Aug-2026,Stock Futures,49580,3177.5,-,-1.98,160346.5902,3241.8,28429,0,M&M,160346.5902,RS,3165,25257,FUTSTKM&M25-08-2026XX0,FUTSTK,74.4
19051,25-Aug-2026,Stock Futures,69098,1019.2,-,-0.01,175578.624,1019.3,50047,0,SBIN,175578.624,RS,1012,23040,FUTSTKSBIN25-08-2026XX0,FUTSTK,38.07
18216,25-Aug-2026,Stock Futures,41312,3811.4,-,-0.03,146428.67681,3812.7,23096,0,LT,146428.67681,RS,3787.9,22049,FUTSTKLT25-08-2026XX0,FUTSTK,78.87
17400,25-Aug-2026,Stock Futures,53611,950.65,-,-1.08,128321.40867,961,36211,0,HINDALCO,128321.40867,RS,943.75,19293,FUTSTKHINDALCO25-08-2026XX0,FUTSTK,48.05
17400,28-Jul-2026,Index Options,94586,0.75,Call,-54.55,238.44496,1.65,77186,25300,NIFTY,238.44496,RS,23767.45,336549,OPTIDXNIFTY28-07-2026CE25300,OPTIDX,22.54
17208,28-Jul-2026,Index Options,144870,7.9,Call,-56.47,7222.76304,18.15,127662,24300,NIFTY,7222.76304,RS,23767.45,1175867,OPTIDXNIFTY28-07-2026CE24300,OPTIDX,13.48
16694,25-Aug-2026,Stock Futures,37042,1003.45,-,-0.45,136903.10697,1007.95,20348,0,INDUSINDBK,136903.10697,RS,997.45,19557,FUTSTKINDUSINDBK25-08-2026XX0,FUTSTK,82.04
16653,28-Jul-2026,Index Options,18713,218.5,Call,-19.58,222219.84803,271.7,2060,23650,NIFTY,222219.84803,RS,23767.45,2080048,OPTIDXNIFTY28-07-2026CE23650,OPTIDX,808.4
16008,28-Jul-2026,Index Options,215211,44.3,Call,-41.05,101242.00651,75.15,199203,24000,NIFTY,101242.00651,RS,23767.45,3682197,OPTIDXNIFTY28-07-2026CE24000,OPTIDX,8.04
15120,25-Aug-2026,Stock Futures,50715,13.21,-,-0.83,178785.35642,13.32,35595,0,IDEA,178785.35642,RS,13.13,19197,FUTSTKIDEA25-08-2026XX0,FUTSTK,42.48
14970,25-Aug-2026,Stock Futures,46619,1250.7,-,-0.14,132177.58301,1252.5,31649,0,JSWSTEEL,132177.58301,RS,1241,15765,FUTSTKJSWSTEEL25-08-2026XX0,FUTSTK,47.3
14913,25-Aug-2026,Stock Futures,37299,2157.7,-,-0.67,109787.97024,2172.3,22386,0,HINDUNILVR,109787.97024,RS,2146.5,16944,FUTSTKHINDUNILVR25-08-2026XX0,FUTSTK,66.62
14911,25-Aug-2026,Stock Futures,39560,184.05,-,-0.69,85744.5028,185.32,24649,0,TATASTEEL,85744.5028,RS,182.75,16976,FUTSTKTATASTEEL25-08-2026XX0,FUTSTK,60.49
14562,25-Aug-2026,Stock Futures,101340,1913,-,-0.37,159526.94048,1920.2,86778,0,BHARTIARTL,159526.94048,RS,1901,17671,FUTSTKBHARTIARTL25-08-2026XX0,FUTSTK,16.78
14416,25-Aug-2026,Stock Futures,34397,349.7,-,-0.03,83612.0871,349.8,19981,0,NTPC,83612.0871,RS,347.7,15969,FUTSTKNTPC25-08-2026XX0,FUTSTK,72.15
