symbol,shortName,price,change,changePct,volume,avgVolume,marketCap
AAL,"American Airlines Group, Inc.",17.44,1.3,8.05,207169194,76382888,11534557184
SOFI,"SoFi Technologies, Inc.",17.31,0.02,0.12,119083264,68395488,22204250112
NVDA,NVIDIA Corporation,199.0,-1.0,-0.5,149005898,161916554,4819978813440
INTC,Intel Corporation,131.65,-0.63,-0.48,101683749,134774574,661672820736
NOK,Nokia Corporation Sponsored,13.81,0.11,0.8,89033459,110126093,77094797312
PATH,"UiPath, Inc.",10.31,0.15,1.48,77943522,34261146,5341819904
SPCX,Space Exploration Technologies ,154.54,-1.57,-1.01,74811433,252738257,2035938754560
ONDS,Ondas Inc,7.68,-0.85,-9.96,72026119,67001791,4043833088
PFE,"Pfizer, Inc.",24.04,-0.68,-2.75,75223623,37348525,137014640640
KEEL,Keel Infrastructure Corp.,6.12,-0.48,-7.27,66422594,43136083,3695431424
RKT,"Rocket Companies, Inc.",14.73,1.26,9.35,57952005,25836140,41677500416
AMZN,"Amazon.com, Inc.",234.27,0.16,0.07,62415490,45746998,2520068128768
GRAB,Grab Holdings Limited,3.49,0.03,0.87,51775889,53967858,14274099200
RUN,Sunrun Inc.,14.42,1.61,12.57,52595763,8354548,3439880704
PLUG,"Plug Power, Inc.",2.61,-0.1,-3.69,52952399,73913708,3641129984
MU,"Micron Technology, Inc.",1048.51,-3.26,-0.31,57301842,50893654,1182440357888
JOBY,"Joby Aviation, Inc.",9.28,-0.27,-2.83,50525958,29946619,9128205312
MARA,"MARA Holdings, Inc.",14.0,-0.7,-4.76,51448061,43900064,5337786880
F,Ford Motor Company,13.84,-0.16,-1.14,51231234,57557185,55148146688
SMCI,"Super Micro Computer, Inc.",32.45,-0.87,-2.61,49708199,49060641,20991029248
KVUE,Kenvue Inc.,18.8,0.39,2.12,43265421,19411745,36096163840
SNAP,Snap Inc.,4.53,0.07,1.57,42621406,52751461,7506939392
RIG,Transocean Ltd (Switzerland),5.04,-0.25,-4.73,42277721,32982406,5578072064
T,AT&T Inc.,22.37,-0.44,-1.93,42235503,41866475,155434336256
PLTR,Palantir Technologies Inc.,113.5,-3.2,-2.74,45608183,44216511,272094904320
