symbol,regPrice,postPrice,postChange,direction
MU,1048.51,1199.0,14.35,UP
QCOM,197.41,223.4,13.17,UP
SNDK,1914.46,2123.99,10.94,UP
STX,993.25,1093.89,10.13,UP
ARM,359.08,383.51,6.8,UP
AMAT,588.97,628.45,6.7,UP
LRCX,374.8,399.7,6.64,UP
KLAC,240.48,253.51,5.42,UP
ASML,1762.77,1850.0,4.95,UP
MRVL,276.7,290.29,4.91,UP
INTC,131.65,137.65,4.56,UP
SMCI,32.45,33.71,3.88,UP
IREN,50.3,52.15,3.68,UP
CRWV,100.88,104.51,3.6,UP
AMD,519.74,537.38,3.39,UP
TSM,440.83,454.68,3.14,UP
SEZL,159.27,163.0,2.34,UP
CRCL,70.98,72.57,2.24,UP
COIN,150.11,153.2,2.06,UP
COIN,150.11,153.15,2.03,UP
SBUX,103.53,101.45,-2.01,DOWN
