changeInOI,expiryDate,instrument,latestOI,ltp,optionType,pChange,premTurnover,prevClose,prevOI,strikePrice,symbol,turnover,type,underlyingValue,volume,identifier,instrumentType,pChangeInOI
-84895,26-May-2026,Index Options,114778,85.85,Put,45.63,634528.4673,58.95,199673,24000,NIFTY,634528.4673,SR,23913.7,23242801,OPTIDXNIFTY26-05-2026PE24000,OPTIDX,-42.52
-15437,26-May-2026,Index Options,27011,136.15,Put,68.82,428806.68006,80.65,42448,24050,NIFTY,428806.68006,SR,23913.7,11302083,OPTIDXNIFTY26-05-2026PE24050,OPTIDX,-36.37
-7404,26-May-2026,Index Options,13881,285.05,Put,63.45,136657.27392,174.4,21285,24200,NIFTY,136657.27392,SR,23913.7,1176113,OPTIDXNIFTY26-05-2026PE24200,OPTIDX,-34.79
-6379,26-May-2026,Stock Futures,3424,1464.7,-,3.61,91934.65008,1413.6,9803,0,ADANIGREEN,91934.65008,SR,1464.8,10686,FUTSTKADANIGREEN26-05-2026XX0,FUTSTK,-65.07
-5815,26-May-2026,Index Options,19703,586.9,Put,30.86,11698.64572,448.5,25518,24500,NIFTY,11698.64572,SR,23913.7,36450,OPTIDXNIFTY26-05-2026PE24500,OPTIDX,-22.79
-4631,26-May-2026,Stock Futures,9394,250.06,-,0.78,99601.16558,248.13,14025,0,ETERNAL,99601.16558,SR,251,16376,FUTSTKETERNAL26-05-2026XX0,FUTSTK,-33.02
-4429,26-May-2026,Stock Futures,1549,1217.9,-,0.31,49495.13643,1214.1,5978,0,JINDALSTEL,49495.13643,SR,1225,6513,FUTSTKJINDALSTEL26-05-2026XX0,FUTSTK,-74.09
-4316,26-May-2026,Stock Futures,8860,2968.9,-,4.23,118116.72393,2848.3,13176,0,ADANIENT,118116.72393,SR,2973,13135,FUTSTKADANIENT26-05-2026XX0,FUTSTK,-32.76
-4025,26-May-2026,Stock Futures,6254,448.35,-,1.17,53278.63999,443.15,10279,0,AMBUJACEM,53278.63999,SR,450.4,11327,FUTSTKAMBUJACEM26-05-2026XX0,FUTSTK,-39.16
-3594,26-May-2026,Index Options,32247,185.65,Put,74.07,402489.68073,106.65,35841,24100,NIFTY,402489.68073,SR,23913.7,6765897,OPTIDXNIFTY26-05-2026PE24100,OPTIDX,-10.03
-3521,26-May-2026,Stock Futures,1599,203.25,-,2.26,50332.27885,198.76,5120,0,SAIL,50332.27885,SR,203.58,5285,FUTSTKSAIL26-05-2026XX0,FUTSTK,-68.77
-3412,26-May-2026,Index Options,9658,1089.7,Put,14.85,8622.27979,948.8,13070,25000,NIFTY,8622.27979,SR,23913.7,13198,OPTIDXNIFTY26-05-2026PE25000,OPTIDX,-26.11
-3396,26-May-2026,Stock Futures,6130,645.5,-,1.49,70435.8977,636,9526,0,HINDZINC,70435.8977,SR,647.65,8936,FUTSTKHINDZINC26-05-2026XX0,FUTSTK,-35.65
-3314,26-May-2026,Stock Futures,4072,416.45,-,3.39,64590.36862,402.8,7386,0,NATIONALUM,64590.36862,SR,417.75,8373,FUTSTKNATIONALUM26-05-2026XX0,FUTSTK,-44.87
-3074,26-May-2026,Stock Options,723,4.9,Call,988.89,183.26,0.45,3797,380,TMPV,183.26,SR,385.6,12250,OPTSTKTMPV26-05-2026CE380,OPTSTK,-80.96
-3045,26-May-2026,Stock Futures,1821,54.6,-,0.78,41540.0895,54.18,4866,0,SUZLON,41540.0895,SR,54.6,8430,FUTSTKSUZLON26-05-2026XX0,FUTSTK,-62.58
-2930,26-May-2026,Stock Futures,4372,22.76,-,1.97,57111.5424,22.32,7302,0,YESBANK,57111.5424,SR,22.8,8140,FUTSTKYESBANK26-05-2026XX0,FUTSTK,-40.13
-2864,26-May-2026,Stock Futures,2354,1231.3,-,0.78,37891.09912,1221.8,5218,0,CDSL,37891.09912,SR,1232,6525,FUTSTKCDSL26-05-2026XX0,FUTSTK,-54.89
-2826,26-May-2026,Stock Futures,5268,3062.4,-,2.5,46904.90003,2987.8,8094,0,WAAREEENER,46904.90003,SR,3087.9,8698,FUTSTKWAAREEENER26-05-2026XX0,FUTSTK,-34.91
-2723,26-May-2026,Stock Futures,5937,345.1,-,3.79,38557.50061,332.5,8660,0,VEDL,38557.50061,SR,344.8,9722,FUTSTKVEDL26-05-2026XX0,FUTSTK,-31.44
-2693,26-May-2026,Index Options,9210,908.35,Put,44.61,13937.97566,628.15,11903,56000,BANKNIFTY,13937.97566,SR,55092.9,66819,OPTIDXBANKNIFTY26-05-2026PE56000,OPTIDX,-22.62
-2583,26-May-2026,Index Options,6901,1590.15,Put,9.45,7015.11679,1452.85,9484,25500,NIFTY,7015.11679,SR,23913.7,7127,OPTIDXNIFTY26-05-2026PE25500,OPTIDX,-27.24
-2560,26-May-2026,Index Options,9876,684.4,Put,26.68,7307.1856,540.25,12436,24600,NIFTY,7307.1856,SR,23913.7,18752,OPTIDXNIFTY26-05-2026PE24600,OPTIDX,-20.59
-2541,26-May-2026,Stock Options,868,5.65,Call,707.14,358.179,0.7,3409,340,VEDL,358.179,SR,344.8,7160,OPTSTKVEDL26-05-2026CE340,OPTSTK,-74.54
-2483,26-May-2026,Stock Futures,7613,1817,-,0.68,51036.53555,1804.8,10096,0,ADANIPORTS,51036.53555,SR,1809.9,5929,FUTSTKADANIPORTS26-05-2026XX0,FUTSTK,-24.59
