symbol,latestOI,prevOI,changeInOI,avgInOI,volume,futValue,optValue,total,premValue,underlyingValue
HINDUNILVR,178598,123348,55250,44.79,452254,497070.61605,240014324838,527111.26443,30040.64838,2020
RADICO,13883,9705,4178,43.05,52206,82793.84031,25091019084,88547.25615,5753.41584,4344
FINNIFTY,63315,44526,18789,42.2,2692444,14192.82277,4212414513759,56608.66036,42415.83759,26024
NIFTYNXT50,3204,2281,923,40.46,13027,11160.50239,22474256263,11359.41503,198.91263,72087
VBL,97861,70794,27067,38.23,238970,361554.38619,104371164305,382657.76174,21103.37555,429
BANKNIFTY,2445197,1775228,669969,37.74,77290854,889153.36599,132062539081980,2110964.28579,1221810.9198,56755
TATAPOWER,109450,85733,23717,27.66,113498,231066.19971,39999643943,238472.23914,7406.03943,371
DMART,70817,55689,15128,27.17,168713,185201.42047,80976645643,195100.15191,9898.73143,3850
GODFRYPHLP,18060,14309,3751,26.21,69485,63900.65781,33834475963,68942.77744,5042.11963,2038
BEL,174093,148844,25249,16.96,208496,297884.43062,91167796724,312782.18161,14897.75099,389
YESBANK,85223,73804,11419,15.47,38263,184807.74121,9229232890,186591.60611,1783.8649,22
COALINDIA,117134,101489,15645,15.42,125606,179690.48991,53721265324,187016.80315,7326.31324,410
SUZLON,74737,64822,9915,15.3,78949,170590.19476,35870095011,179263.39687,8673.20211,47
INOXWIND,32536,28850,3686,12.78,21523,61102.81024,4964947584,62609.24608,1506.43584,75
CHOLAFIN,39970,35579,4391,12.34,72911,214264.24631,60777188143,224904.00275,10639.75643,1764
PNBHOUSING,19829,17681,2148,12.15,14954,51967.76136,5366439533,52822.77669,855.01533,1072
GVT&D,39400,35235,4165,11.82,50851,74339.04685,19021497193,77721.01878,3381.97193,4111
TITAN,87762,79017,8745,11.07,81896,146792.40798,54251351392,155337.2594,8544.85142,4858
AMBUJACEM,99076,89654,9422,10.51,93492,174967.95828,31969502172,181324.14,6356.18172,425
NIFTY,10389365,9420210,969155,10.29,282039065,2311450.09295,439990310653158,6840875.28954,4529425.19658,23985
MARICO,20679,18792,1887,10.04,16949,68155.44264,11183681844,69970.80108,1815.35844,885
INFY,583006,533444,49562,9.29,779913,771491.482,271967781000,801803.792,30312.31,1105
PETRONET,30146,27609,2537,9.19,19002,45967.77255,5586676932,47138.62437,1170.85182,278
GLENMARK,44415,40735,3680,9.03,24029,116286.14887,8358741408,117378.66296,1092.51408,2182
NMDC,85349,78365,6984,8.91,33429,116271.35415,7611723697,117746.07862,1474.72447,84
ONGC,89461,82257,7204,8.76,55816,104150.47837,19930570650,106692.16612,2541.68775,238
360ONE,18340,16908,1432,8.47,11921,24158.274,4434369245,24459.56645,301.29245,1126
MIDCPNIFTY,195869,180732,15137,8.38,4432302,180214.70601,7741459815355,276634.94956,96420.24355,14541
PFC,69241,64089,5152,8.04,34797,100936.21044,9174468901,102452.83945,1516.62901,419
SWIGGY,55027,50949,4078,8,94117,129305.16024,33860873924,136892.20573,7587.04549,270
PRESTIGE,17987,16689,1298,7.78,10552,39697.31412,4035634515,40407.57927,710.26515,1688
ADANIPORTS,75252,69826,5426,7.77,44047,115008.46722,26186840055,118297.69778,3289.23055,1779
RELIANCE,550456,511679,38777,7.58,329300,630894.43115,153054964450,656750.77565,25856.3445,1271
BANKBARODA,100041,93069,6972,7.49,49461,132324.95279,22839776124,137841.37029,5516.41749,239
COFORGE,79579,74077,5502,7.43,298576,338729.16786,202610687452,381827.03738,43097.86952,1683
LT,211066,196818,14248,7.24,150573,275397.87098,75356007849,286426.47447,11028.60349,3830
MUTHOOTFIN,43304,40390,2914,7.21,26058,79950.37083,14007668812,82527.05895,2576.68812,3026
BAJAJFINSV,73475,68599,4876,7.11,44497,61970.96937,19792213929,65293.84866,3322.87929,1929
MFSL,30885,28874,2011,6.96,12425,47720.07792,2777377720,47948.81512,228.7372,1511
CAMS,18372,17255,1117,6.47,13996,28653.29395,6555898783,29653.80429,1000.51033,800
ADANIENT,99569,93571,5998,6.41,74366,212230.69087,49516875445,221072.19392,8841.50305,3002
ABCAPITAL,20497,19266,1231,6.39,12561,79171.45335,7622274017,80210.51352,1039.06017,391
JINDALSTEL,34422,32380,2042,6.31,22024,72211.62537,7578957612,73237.5765,1025.95112,1053
NBCC,27661,26031,1630,6.26,15722,56379.3451,4320337385,57265.18395,885.83885,94
CUMMINSIND,34193,32194,1999,6.21,21245,82626.69158,15303188030,84156.87188,1530.1803,5452
APLAPOLLO,23945,22567,1378,6.11,14111,34342.00707,5688682786,34731.20493,389.19786,1847
TMPV,130739,123231,7508,6.09,64197,157377.55312,18834272704,161883.16016,4505.60704,324
ITC,210438,198479,11959,6.03,122382,223355.17574,39414745955,230531.83279,7176.65705,285
GMRAIRPORT,33327,31445,1882,5.99,14960,67147.22992,4689101943,67657.56835,510.33843,107
ADANIENSOL,49729,46987,2742,5.84,45967,180235.84556,34423643196,184289.01752,4053.17196,1642
NAUKRI,46615,44131,2484,5.63,55806,96483.02515,28648025961,101488.35477,5005.32961,1234
SBIN,250700,237471,13229,5.57,150681,272352.5412,90148293345,284508.42465,12155.88345,1014
IDEA,129416,122711,6705,5.46,54900,307793.4858,22291381414,315567.54995,7774.06414,12
INDUSTOWER,96043,91156,4887,5.36,58502,138988.62516,25253494662,141792.97678,2804.35162,380
M&M,170622,162066,8556,5.28,99986,203134.7358,45712948554,210222.70134,7087.96554,3280
SIEMENS,34627,32902,1725,5.24,28200,54315.96367,12746046202,55715.0882,1399.12452,3684
JSWENERGY,38295,36414,1881,5.17,16763,48110.46421,5166733413,48621.12834,510.66413,545
BIOCON,40431,38468,1963,5.1,22181,102662.8985,14015386075,104563.50925,1900.61075,433
TATASTEEL,138754,132076,6678,5.06,64854,128723.1561,20846148372,133132.16482,4409.00872,182
MANAPPURAM,30006,28580,1426,4.99,16277,97248.9651,7913650560,99739.8207,2490.8556,362
RECLTD,50768,48358,2410,4.98,32362,63344.40068,12677474045,65200.85113,1856.45045,368
SUPREMEIND,23897,22765,1132,4.97,62213,74641.46949,30129139141,79728.9984,5087.52891,3405
OIL,24157,23057,1100,4.77,17045,54270.25954,5312721540,54984.76494,714.5054,447
ASIANPAINT,67491,64442,3049,4.73,51257,77833.2483,27595900770,81427.256,3594.0077,2739
CROMPTON,38859,37110,1749,4.71,14588,56891.49335,2187829250,57396.74335,505.25,247
HDFCAMC,43353,41415,1938,4.68,19278,51497.20233,9765447810,52546.95243,1049.7501,2535
CANBK,99780,95467,4313,4.52,63380,182574.91395,36781770127,187249.79722,4674.88327,124
NTPC,142210,136095,6115,4.49,69541,184263.19815,18019268595,186616.3716,2353.17345,343
HINDPETRO,43143,41314,1829,4.43,21308,66777.51415,10643718654,68242.44694,1464.93279,400
DABUR,44582,42737,1845,4.32,29964,58205.82262,10614629162,60031.23925,1825.41662,425
LICHSGFIN,37556,36025,1531,4.25,10794,32282.4546,2719910670,32750.1113,467.6567,547
NATIONALUM,52698,50551,2147,4.25,30142,89548.09087,10615360406,92027.78868,2479.69781,335
COLPAL,30126,28939,1187,4.1,23391,43456.21216,9602050345,44478.84562,1022.63345,2143
GODREJCP,28296,27182,1114,4.1,9657,25684.91875,2653501500,25955.68375,270.765,1067
PIDILITIND,22126,21261,865,4.07,14675,39266.2344,8141573385,40173.56825,907.33385,1627
TATACONSUM,52725,50686,2039,4.02,29152,69132.74929,10955564675,70557.62604,1424.87675,1087
