changeInOI,expiryDate,instrument,latestOI,ltp,optionType,pChange,premTurnover,prevClose,prevOI,strikePrice,symbol,turnover,type,underlyingValue,volume,identifier,instrumentType,pChangeInOI
21059,30-Jun-2026,Stock Futures,62900,460,-,0.76,573462.28651,456.55,41841,0,COALINDIA,573462.28651,RR,463.6,95037,FUTSTKCOALINDIA30-06-2026XX0,FUTSTK,50.33
4840,30-Jun-2026,Index Futures,227430,24006.2,-,0.11,692958.11967,23978.9,222590,0,NIFTY,692958.11967,RR,23907.15,44461,FUTIDXNIFTY30-06-2026XX0,FUTIDX,2.17
3723,30-Jun-2026,Stock Options,6189,4.2,Put,55.56,193.1787,2.7,2466,700,HDFCBANK,193.1787,RR,759.15,8892,OPTSTKHDFCBANK30-06-2026PE700,OPTSTK,150.97
3693,30-Jun-2026,Stock Futures,123674,1865.2,-,0.19,90081.19925,1861.7,119981,0,BHARTIARTL,90081.19925,RR,1847.4,10150,FUTSTKBHARTIARTL30-06-2026XX0,FUTSTK,3.08
3109,30-Jun-2026,Stock Options,3849,18.7,Call,1.63,5566.49901,18.4,740,450,COALINDIA,5566.49901,RR,463.6,32673,OPTSTKCOALINDIA30-06-2026CE450,OPTSTK,420.14
3042,30-Jun-2026,Stock Futures,14595,398,-,8.11,83799.12528,368.15,11553,0,EXIDEIND,83799.12528,RR,394.6,11947,FUTSTKEXIDEIND30-06-2026XX0,FUTSTK,26.33
2891,30-Jun-2026,Stock Futures,80981,258.29,-,2.33,86759.73425,252.4,78090,0,ETERNAL,86759.73425,RR,255.71,13900,FUTSTKETERNAL30-06-2026XX0,FUTSTK,3.7
2553,28-Jul-2026,Stock Futures,2976,462.65,-,1.24,26414.27496,457,423,0,COALINDIA,26414.27496,RR,463.6,4369,FUTSTKCOALINDIA28-07-2026XX0,FUTSTK,603.55
2526,30-Jun-2026,Index Options,34143,655,Put,0.95,6585.36021,648.85,31617,54000,BANKNIFTY,6585.36021,RR,54853.85,33322,OPTIDXBANKNIFTY30-06-2026PE54000,OPTIDX,7.99
2435,30-Jun-2026,Index Options,22725,1031.1,Put,3.21,31967.46944,999.05,20290,55000,BANKNIFTY,31967.46944,RR,54853.85,104843,OPTIDXBANKNIFTY30-06-2026PE55000,OPTIDX,12
2416,30-Jun-2026,Stock Futures,35178,274,-,6.99,40557.43458,256.1,32762,0,SWIGGY,40557.43458,RR,271.55,11609,FUTSTKSWIGGY30-06-2026XX0,FUTSTK,7.37
2385,30-Jun-2026,Stock Options,7469,18.5,Put,62.28,1430.92928,11.4,5084,750,HDFCBANK,1430.92928,RR,759.15,14816,OPTSTKHDFCBANK30-06-2026PE750,OPTSTK,46.91
2160,30-Jun-2026,Index Options,8060,820.9,Put,1.84,5486.97342,806.1,5900,54500,BANKNIFTY,5486.97342,RR,54853.85,22077,OPTIDXBANKNIFTY30-06-2026PE54500,OPTIDX,36.61
2157,30-Jun-2026,Stock Futures,36093,353.55,-,1.86,45785.49222,347.1,33936,0,VEDL,45785.49222,RR,354.95,11293,FUTSTKVEDL30-06-2026XX0,FUTSTK,6.36
2076,30-Jun-2026,Stock Options,7594,24.3,Put,62,1622.79084,15,5518,760,HDFCBANK,1622.79084,RR,759.15,13096,OPTSTKHDFCBANK30-06-2026PE760,OPTSTK,37.62
2022,30-Jun-2026,Stock Options,2185,6.15,Call,44.71,479.2116,4.25,163,405,NTPC,479.2116,RR,397.85,4984,OPTSTKNTPC30-06-2026CE405,OPTSTK,1240.49
2011,30-Jun-2026,Stock Futures,83555,181.5,-,0.05,69202.518,181.41,81544,0,WIPRO,69202.518,RR,201.7,12748,FUTSTKWIPRO30-06-2026XX0,FUTSTK,2.47
1983,02-Jun-2026,Index Options,3940,970.75,Call,2.19,3064.03935,949.9,1957,23000,NIFTY,3064.03935,RR,23907.15,4973,OPTIDXNIFTY02-06-2026CE23000,OPTIDX,101.33
1942,30-Jun-2026,Stock Futures,23832,607.8,-,5.06,55912.4238,578.5,21890,0,JSWENERGY,55912.4238,RR,604.9,9322,FUTSTKJSWENERGY30-06-2026XX0,FUTSTK,8.87
1941,30-Jun-2026,Stock Futures,23803,436.2,-,4.24,84604.2165,418.45,21862,0,NATIONALUM,84604.2165,RR,433.5,10393,FUTSTKNATIONALUM30-06-2026XX0,FUTSTK,8.88
1898,30-Jun-2026,Index Options,11159,518.05,Put,0.1,2171.46887,517.55,9261,53500,BANKNIFTY,2171.46887,RR,54853.85,13943,OPTIDXBANKNIFTY30-06-2026PE53500,OPTIDX,20.49
1871,30-Jun-2026,Stock Options,3202,10.65,Put,66.41,347.07667,6.4,1331,730,HDFCBANK,347.07667,RR,759.15,6205,OPTSTKHDFCBANK30-06-2026PE730,OPTSTK,140.57
1773,30-Jun-2026,Index Options,11073,1528.65,Put,5.07,4606.64388,1454.9,9300,56000,BANKNIFTY,4606.64388,RR,54853.85,10170,OPTIDXBANKNIFTY30-06-2026PE56000,OPTIDX,19.06
1754,30-Jun-2026,Index Options,11885,1264.25,Put,4.31,11082.26201,1212.05,10131,55500,BANKNIFTY,11082.26201,RR,54853.85,30102,OPTIDXBANKNIFTY30-06-2026PE55500,OPTIDX,17.31
1709,30-Jun-2026,Stock Options,3460,7.85,Put,65.26,213.69012,4.75,1751,720,HDFCBANK,213.69012,RR,759.15,5359,OPTSTKHDFCBANK30-06-2026PE720,OPTSTK,97.6
