changeInOI,expiryDate,instrument,latestOI,ltp,optionType,pChange,premTurnover,prevClose,prevOI,strikePrice,symbol,turnover,type,underlyingValue,volume,identifier,instrumentType,pChangeInOI
-8300,02-Jun-2026,Index Options,16732,0.5,Put,-28.57,22.46865,0.7,25032,21100,NIFTY,22.46865,SS,23547.75,75146,OPTIDXNIFTY02-06-2026PE21100,OPTIDX,-33.16
-5104,02-Jun-2026,Index Options,3487,0.55,Put,-31.25,9.0585,0.8,8591,21200,NIFTY,9.0585,SS,23547.75,30296,OPTIDXNIFTY02-06-2026PE21200,OPTIDX,-59.41
-4470,02-Jun-2026,Index Options,10100,1.2,Put,-7.69,77.92632,1.3,14570,22300,NIFTY,77.92632,SS,23547.75,108006,OPTIDXNIFTY02-06-2026PE22300,OPTIDX,-30.68
-4425,02-Jun-2026,Index Options,25074,2.95,Call,-3.28,316.11459,3.05,29499,24950,NIFTY,316.11459,SS,23547.75,206949,OPTIDXNIFTY02-06-2026CE24950,OPTIDX,-15
-4130,02-Jun-2026,Index Options,20130,0.55,Put,-35.29,19.45119,0.85,24260,21500,NIFTY,19.45119,SS,23547.75,48266,OPTIDXNIFTY02-06-2026PE21500,OPTIDX,-17.02
-2961,02-Jun-2026,Index Options,4531,0.9,Put,-10,20.18101,1,7492,21900,NIFTY,20.18101,SS,23547.75,36102,OPTIDXNIFTY02-06-2026PE21900,OPTIDX,-39.52
-2900,30-Jun-2026,Stock Options,3257,3.19,Put,-43.24,961.9146,5.62,6157,180,WIPRO,961.9146,SS,204.1,9267,OPTSTKWIPRO30-06-2026PE180,OPTSTK,-47.1
-2684,30-Jun-2026,Stock Futures,48440,2154,-,-1.64,181646.69292,2190,51124,0,HINDUNILVR,181646.69292,SS,2161,28021,FUTSTKHINDUNILVR30-06-2026XX0,FUTSTK,-5.25
-2537,30-Jun-2026,Stock Futures,47193,11633,-,-1.09,90486.86751,11761,49730,0,ULTRACEMCO,90486.86751,SS,11501,15531,FUTSTKULTRACEMCO30-06-2026XX0,FUTSTK,-5.1
-2054,30-Jun-2026,Stock Futures,121620,1838,-,-1.59,318544.91586,1867.7,123674,0,BHARTIARTL,318544.91586,SS,1827,36349,FUTSTKBHARTIARTL30-06-2026XX0,FUTSTK,-1.66
-1993,30-Jun-2026,Stock Futures,23955,4442,-,-1.42,75824.9485,4505.9,25948,0,TORNTPHARM,75824.9485,SS,4418,13580,FUTSTKTORNTPHARM30-06-2026XX0,FUTSTK,-7.68
-1860,30-Jun-2026,Index Options,11836,1775.55,Call,-10.8,5825.66019,1990.45,13696,22000,NIFTY,5825.66019,SS,23547.75,4967,OPTIDXNIFTY30-06-2026CE22000,OPTIDX,-13.58
-1818,30-Jun-2026,Index Options,43364,17.2,Call,-19.25,410.94175,21.3,45182,25500,NIFTY,410.94175,SS,23547.75,34248,OPTIDXNIFTY30-06-2026CE25500,OPTIDX,-4.02
-1764,02-Jun-2026,Index Options,3369,1.05,Put,-8.7,18.64525,1.15,5133,22100,NIFTY,18.64525,SS,23547.75,28401,OPTIDXNIFTY02-06-2026PE22100,OPTIDX,-34.37
-1668,30-Jun-2026,Stock Futures,24330,975.25,-,-2.52,53459.66808,1000.45,25998,0,MAXHEALTH,53459.66808,SS,965,10394,FUTSTKMAXHEALTH30-06-2026XX0,FUTSTK,-6.42
-1502,30-Jun-2026,Stock Options,2728,2.5,Put,-34.21,241.07004,3.8,4230,430,COALINDIA,241.07004,SS,458.3,7697,OPTSTKCOALINDIA30-06-2026PE430,OPTSTK,-35.51
-1334,30-Jun-2026,Stock Futures,15527,2728.8,-,-0.81,33468.24936,2751,16861,0,SRF,33468.24936,SS,2711,6142,FUTSTKSRF30-06-2026XX0,FUTSTK,-7.91
-1332,30-Jun-2026,Stock Futures,19650,927.65,-,-1.45,47961.84687,941.3,20982,0,CGPOWER,47961.84687,SS,921.15,6062,FUTSTKCGPOWER30-06-2026XX0,FUTSTK,-6.35
-1323,30-Jun-2026,Stock Futures,15215,1601,-,-0.17,27962.98482,1603.7,16538,0,ASTRAL,27962.98482,SS,1585,4119,FUTSTKASTRAL30-06-2026XX0,FUTSTK,-8
-1315,30-Jun-2026,Stock Futures,44488,419.35,-,-1.65,68741.2782,426.4,45803,0,BHEL,68741.2782,SS,415.45,6222,FUTSTKBHEL30-06-2026XX0,FUTSTK,-2.87
-1310,30-Jun-2026,Stock Futures,29073,3141.9,-,-0.15,74057.51808,3146.6,30383,0,WAAREEENER,74057.51808,SS,3129.1,13456,FUTSTKWAAREEENER30-06-2026XX0,FUTSTK,-4.31
-1293,30-Jun-2026,Stock Options,692,3.45,Put,-53.38,26.23944,7.4,1985,3600,LT,26.23944,SS,4090,4423,OPTSTKLT30-06-2026PE3600,OPTSTK,-65.14
-1279,30-Jun-2026,Stock Futures,17600,79.49,-,-0.59,21530.6848,79.96,18879,0,NHPC,21530.6848,SS,78.5,4229,FUTSTKNHPC30-06-2026XX0,FUTSTK,-6.77
-1247,30-Jun-2026,Index Options,4784,10.5,Call,-7.08,50.9964,11.3,6031,25800,NIFTY,50.9964,SS,23547.75,7472,OPTIDXNIFTY30-06-2026CE25800,OPTIDX,-20.68
-1133,30-Jun-2026,Stock Futures,41503,4372,-,-1.61,96451.28352,4443.7,42636,0,HAL,96451.28352,SS,4306.9,14712,FUTSTKHAL30-06-2026XX0,FUTSTK,-2.66
