changeInOI,expiryDate,instrument,latestOI,ltp,optionType,pChange,premTurnover,prevClose,prevOI,strikePrice,symbol,turnover,type,underlyingValue,volume,identifier,instrumentType,pChangeInOI
103391,02-Jun-2026,Index Options,236473,47.25,Call,-64.18,314844.21056,131.9,133082,24000,NIFTY,314844.21056,RS,23547.75,5107832,OPTIDXNIFTY02-06-2026CE24000,OPTIDX,77.69
99652,02-Jun-2026,Index Options,235118,2.7,Call,-1.82,1727.27714,2.75,135466,25000,NIFTY,1727.27714,RS,23547.75,1224585,OPTIDXNIFTY02-06-2026CE25000,OPTIDX,73.56
79130,02-Jun-2026,Index Options,101578,106.9,Call,-55.55,289163.0873,240.5,22448,23800,NIFTY,289163.0873,RS,23547.75,2707152,OPTIDXNIFTY02-06-2026CE23800,OPTIDX,352.5
78220,02-Jun-2026,Index Options,160889,20,Call,-67.19,60661.69287,60.95,82669,24200,NIFTY,60661.69287,RS,23547.75,2535335,OPTIDXNIFTY02-06-2026CE24200,OPTIDX,94.62
77128,02-Jun-2026,Index Options,140529,4.8,Call,-21.95,2416.87098,6.15,63401,24700,NIFTY,2416.87098,RS,23547.75,895967,OPTIDXNIFTY02-06-2026CE24700,OPTIDX,121.65
65941,02-Jun-2026,Index Options,77040,152.1,Call,-50.86,126817.49158,309.55,11099,23700,NIFTY,126817.49158,RS,23547.75,968738,OPTIDXNIFTY02-06-2026CE23700,OPTIDX,594.12
64804,02-Jun-2026,Index Options,141784,71.5,Call,-60.22,402027.70982,179.75,76980,23900,NIFTY,402027.70982,RS,23547.75,4528512,OPTIDXNIFTY02-06-2026CE23900,OPTIDX,84.18
60580,02-Jun-2026,Index Options,127441,30.6,Call,-66.48,104092.77252,91.3,66861,24100,NIFTY,104092.77252,RS,23547.75,2670826,OPTIDXNIFTY02-06-2026CE24100,OPTIDX,90.61
54950,02-Jun-2026,Index Options,88630,58.65,Call,-62.08,225132.94377,154.65,33680,23950,NIFTY,225132.94377,RS,23547.75,2892104,OPTIDXNIFTY02-06-2026CE23950,OPTIDX,163.15
49765,02-Jun-2026,Index Options,59079,87.75,Call,-57.7,174724.43049,207.45,9314,23850,NIFTY,174724.43049,RS,23547.75,1816385,OPTIDXNIFTY02-06-2026CE23850,OPTIDX,534.3
40247,30-Jun-2026,Stock Futures,648750,742.2,-,-1.39,446362.7025,752.65,608503,0,HDFCBANK,446362.7025,RS,747.25,108950,FUTSTKHDFCBANK30-06-2026XX0,FUTSTK,6.61
40116,02-Jun-2026,Index Options,105405,13.85,Call,-64.4,24174.84797,38.9,65289,24300,NIFTY,24174.84797,RS,23547.75,1667806,OPTIDXNIFTY02-06-2026CE24300,OPTIDX,61.44
37271,30-Jun-2026,Index Futures,264701,23740,-,-1.07,2083146.29746,23996.7,227430,0,NIFTY,2083146.29746,RS,23547.75,134249,FUTIDXNIFTY30-06-2026XX0,FUTIDX,16.39
37090,02-Jun-2026,Index Options,40456,128.5,Call,-53.5,121406.45153,276.35,3366,23750,NIFTY,121406.45153,RS,23547.75,1070429,OPTIDXNIFTY02-06-2026CE23750,OPTIDX,1101.9
33468,02-Jun-2026,Index Options,153829,8.2,Call,-45.7,6993.22852,15.1,120361,24500,NIFTY,6993.22852,RS,23547.75,1245233,OPTIDXNIFTY02-06-2026CE24500,OPTIDX,27.81
30924,02-Jun-2026,Index Options,107643,3.75,Call,-12.79,1823.56492,4.3,76719,24800,NIFTY,1823.56492,RS,23547.75,890630,OPTIDXNIFTY02-06-2026CE24800,OPTIDX,40.31
26971,02-Jun-2026,Index Options,56474,38.05,Call,-65.41,89769.01897,110,29503,24050,NIFTY,89769.01897,RS,23547.75,1813369,OPTIDXNIFTY02-06-2026CE24050,OPTIDX,91.42
25001,02-Jun-2026,Index Options,57437,3.05,Call,-8.96,947.42003,3.35,32436,24900,NIFTY,947.42003,RS,23547.75,569363,OPTIDXNIFTY02-06-2026CE24900,OPTIDX,77.08
24594,09-Jun-2026,Index Options,25977,272.4,Call,-33.28,10980.25197,408.25,1383,23700,NIFTY,10980.25197,RS,23547.75,58515,OPTIDXNIFTY09-06-2026CE23700,OPTIDX,1778.31
24354,02-Jun-2026,Index Options,45953,24.85,Call,-67.22,37937.16221,75.8,21599,24150,NIFTY,37937.16221,RS,23547.75,1224609,OPTIDXNIFTY02-06-2026CE24150,OPTIDX,112.76
23725,02-Jun-2026,Index Options,44854,16.45,Call,-66.73,19918.38642,49.45,21129,24250,NIFTY,19918.38642,RS,23547.75,1083198,OPTIDXNIFTY02-06-2026CE24250,OPTIDX,112.29
22518,02-Jun-2026,Index Options,43679,11.7,Call,-62.01,10291.25424,30.8,21161,24350,NIFTY,10291.25424,RS,23547.75,890478,OPTIDXNIFTY02-06-2026CE24350,OPTIDX,106.41
22292,30-Jun-2026,Index Options,103292,291.75,Call,-25.92,27398.03566,393.85,81000,24000,NIFTY,27398.03566,RS,23547.75,124130,OPTIDXNIFTY30-06-2026CE24000,OPTIDX,27.52
21463,02-Jun-2026,Index Options,41317,7.05,Call,-40.25,1982.35765,11.8,19854,24550,NIFTY,1982.35765,RS,23547.75,435683,OPTIDXNIFTY02-06-2026CE24550,OPTIDX,108.1
21068,02-Jun-2026,Index Options,85945,10.2,Call,-58.37,11654.70543,24.5,64877,24400,NIFTY,11654.70543,RS,23547.75,1333109,OPTIDXNIFTY02-06-2026CE24400,OPTIDX,32.47
