symbol,shortName,price,change,changePct,volume,avgVolume,marketCap
NVDA,NVIDIA Corporation,211.14,-3.11,-1.45,230465710,164380275,5114022068224
SOFI,"SoFi Technologies, Inc.",18.22,1.25,7.37,150003756,65144248,23371544576
ONDS,Ondas Inc,13.22,-0.03,-0.23,140097759,76875172,6585148416
F,Ford Motor Company,17.44,0.79,4.74,149712598,58316308,69493047296
NOK,Nokia Corporation Sponsored,14.84,-0.44,-2.88,112356743,92387004,82844811264
INTC,Intel Corporation,114.68,-6.21,-5.14,153853296,119496779,576381648896
SMCI,"Super Micro Computer, Inc.",46.09,4.79,11.6,92968360,39283343,27719378944
PLTR,Palantir Technologies Inc.,156.54,13.2,9.21,91550284,46100745,375275192320
AAL,"American Airlines Group, Inc.",14.64,-0.01,-0.07,70507646,68435429,9682678784
HPE,Hewlett Packard Enterprise Comp,43.04,4.83,12.64,85219777,17574000,57107804160
PLUG,"Plug Power, Inc.",3.95,-0.17,-4.13,65781247,82527191,5510522880
PATH,"UiPath, Inc.",11.72,0.14,1.21,64609308,32928474,6099596800
RDW,Redwire Corporation,24.57,-1.33,-5.14,64290587,30597064,4887432704
HOOD,"Robinhood Markets, Inc.",94.3,9.46,11.15,63619530,28624206,84917633024
NOW,"ServiceNow, Inc.",124.37,15.64,14.38,67031644,24298875,128263782400
RIVN,"Rivian Automotive, Inc.",16.3,1.1,7.24,59280803,27968791,21888720896
AAPL,Apple Inc.,312.06,-0.45,-0.14,56454230,43851148,4583336181760
RGTI,"Rigetti Computing, Inc.",25.54,-1.49,-5.51,60918562,35544940,8489465856
AMZN,"Amazon.com, Inc.",270.64,-3.36,-1.23,54582943,44730654,2911304417280
ACHR,Archer Aviation Inc.,6.81,0.0,0.0,56702428,35169554,5195109888
GRAB,Grab Holdings Limited,3.54,0.0,0.0,51379307,49946256,14478599168
MU,"Micron Technology, Inc.",971.0,47.48,5.14,60134240,47601069,1095029751808
IREN,IREN LIMITED,63.54,-0.51,-0.8,48265582,41208064,22707843072
ASTS,"AST SpaceMobile, Inc.",113.41,-19.68,-14.79,47834406,18030920,44017209344
MARA,"MARA Holdings, Inc.",14.38,0.31,2.2,47631875,45887617,5482669568
