buySell,clientName,date,name,qty,remarks,symbol,watp
BUY,SANATAN FINANCIAL ADVISORY SERVICES PRIVATE LIMITED,14-Jul-2026,Biocon Limited,626000,,BIOCON,400
BUY,UTI MUTUAL FUND,14-Jul-2026,Biocon Limited,626000,,BIOCON,400
BUY,ADITYA BIRLA SUNLIFE MUTUAL FUND,14-Jul-2026,Biocon Limited,1250000,,BIOCON,400
BUY,AXIS MAX LIFE INSURANCE LIMITED,14-Jul-2026,Biocon Limited,626000,,BIOCON,400
BUY,AXIS MUTUAL FUND,14-Jul-2026,Biocon Limited,626000,,BIOCON,400
BUY,BAJAJ LIFE INSURANCE LIMITED,14-Jul-2026,Biocon Limited,626000,,BIOCON,400
BUY,BNP PARIBAS ARBITRAGE,14-Jul-2026,Biocon Limited,750000,,BIOCON,400
BUY,CITIGROUP GLOBAL MARKETS SINGAPORE PTE LIMITED,14-Jul-2026,Biocon Limited,750000,,BIOCON,400
BUY,EDELWEISS MUTUAL FUND,14-Jul-2026,Biocon Limited,626000,,BIOCON,400
BUY,FRANKLIN TEMPLETON MUTUAL FUND,14-Jul-2026,Biocon Limited,937500,,BIOCON,400
BUY,GHISALLO MASTER FUND LP,14-Jul-2026,Biocon Limited,626000,,BIOCON,400
BUY,GOLDMAN SACHS BANK EUROPE SE,14-Jul-2026,Biocon Limited,626000,,BIOCON,400
BUY,HDFC MUTUAL FUND,14-Jul-2026,Biocon Limited,5829005,,BIOCON,400
BUY,ICICI PRUDENTIAL LIFE INSURANCECOMPANY LTD.,14-Jul-2026,Biocon Limited,1250000,,BIOCON,400
BUY,ICICI PRUDENTIAL MUTUAL FUND,14-Jul-2026,Biocon Limited,18437500,,BIOCON,400
BUY,KOTAK MAHINDRA MUTUAL FUND,14-Jul-2026,Biocon Limited,5829004,,BIOCON,400
BUY,MIRAE ASSET MUTUAL FUND,14-Jul-2026,Biocon Limited,937500,,BIOCON,400
BUY,MOTILAL OSWAL MUTUAL FUND,14-Jul-2026,Biocon Limited,626000,,BIOCON,400
BUY,360 ONE MUTUAL FUND,14-Jul-2026,Biocon Limited,626000,,BIOCON,400
BUY,NORGES BANK ON ACCOUNT OF THE GOVERNMENT PENSION FUND GLOBAL,14-Jul-2026,Biocon Limited,626000,,BIOCON,400
BUY,NRSGVCC,14-Jul-2026,Biocon Limited,626000,,BIOCON,400
BUY,SBI MUTUAL FUND,14-Jul-2026,Biocon Limited,1875000,,BIOCON,400
BUY,TATA MUTUAL FUND,14-Jul-2026,Biocon Limited,626000,,BIOCON,400
SELL,MYLAN INC.,14-Jul-2026,Biocon Limited,45983509,,BIOCON,400
