buySell,clientName,date,name,qty,remarks,symbol,watp
BUY,ABERDEEN ASIAN SMALLER COMPANIES INVESTMENT TRUST PLC,17-Jun-2026,CORONA Remedies Limited,450868,,CORONA,1730
BUY,ABERDEEN STANDARD SICAV I - ASIAN SMALLER COMPANIES FUND,17-Jun-2026,CORONA Remedies Limited,274132,,CORONA,1730
BUY,ABU DHABI INVESTMENT AUTHORITY - WAY,17-Jun-2026,CORONA Remedies Limited,39130,,CORONA,1730
BUY,ADITYA BIRLA SUN LIFE MUTUAL FUND,17-Jun-2026,CORONA Remedies Limited,490000,,CORONA,1730
BUY,FACTORY MUTUAL INSURANCE COMPANY,17-Jun-2026,CORONA Remedies Limited,10670,,CORONA,1730
BUY,TCW WHITE OAK EMERGING MARKETS EQUITY FUND,17-Jun-2026,CORONA Remedies Limited,1920,,CORONA,1730
BUY,ASHOKA WHITEOAK EMERGING MARKETS EQUITY EX CHINA FUND,17-Jun-2026,CORONA Remedies Limited,29520,,CORONA,1730
BUY,WHITEOAK CAPITAL MUTUAL FUND,17-Jun-2026,CORONA Remedies Limited,145000,,CORONA,1730
BUY,HDFC MUTUAL FUND,17-Jun-2026,CORONA Remedies Limited,2450000,,CORONA,1730
BUY,INDIA ACORN ICAV - ASHOKA WHITEOAK EMERGING MARKETS EQUITY FUND,17-Jun-2026,CORONA Remedies Limited,148686,,CORONA,1730
BUY,INVESCO MUTUAL FUND,17-Jun-2026,CORONA Remedies Limited,289017,,CORONA,1730
BUY,KOTAK MAHINDRA MUTUAL FUND,17-Jun-2026,CORONA Remedies Limited,161861,,CORONA,1730
SELL,SEPIA INVESTMENTS LIMITED,17-Jun-2026,CORONA Remedies Limited,4328943,,CORONA,1730
SELL,ANCHOR PARTNERS,17-Jun-2026,CORONA Remedies Limited,161861,,CORONA,1730
